OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14048228,16000737,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,14/10/2016,"2,600.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14048229,16000738,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,14/10/2016,"1,599.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14048581,16000742,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,28/10/2016,"3,199.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048609,10957,Massie Electrics Limited,R2062-REC111,R & M of Build Cyclical Electrical Remedials,28/10/2016,862.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14048032,FT_Inv00012878,Masterdor Limited,C1107-CAH017,Building Works,07/10/2016,"50,029.70 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14048331,FT_Inv00013216,Masterdor Limited,C1107-CAH017,Building Works,28/10/2016,"23,381.64 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048268,12256,Maylarch Environmental Limited,R2004-REC111,R & M of Build Programmed,21/10/2016,"4,451.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14048097,12276,Maylarch Environmental Limited,R2004-ADB101,R & M of Build Programmed,21/10/2016,"5,820.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14048226,27572,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,21/10/2016,"1,320.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14048301,180716b,Mr Clarke-Duguid (General Builder),R2072-CCM001,Signs and Notices,21/10/2016,"1,287.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14048089,300916,Mr J Sureda,R4401-CCM001,Services - Fees and Charges,07/10/2016,780.60 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14047797,16090109,Nationwide Windows Limited,R2083-HRA100,R&M of Build - Routine,07/10/2016,"151,123.95 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14048330,16090420,Nationwide Windows Limited,C1107-CAH017,Building Works,28/10/2016,"181,641.56 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14048329,16090421,Nationwide Windows Limited,C1107-CAH017,Building Works,28/10/2016,"36,580.84 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Project Management,14048103,1729,Ninian Solutions T/A Huddle,R4531-SUP036,IT - Purchase of Software,07/10/2016,"14,157.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Internal Improvements,14048137,9892,NKS Contracts (Central) Limited,C1107-CAH004,Building Works,14/10/2016,"45,412.87 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048302,1236067,Otis Limited,R2010-REC111,R & M of Plant Lifts,21/10/2016,"3,542.04 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048471,RTS 10851593,Otis Limited,R2008-REC111,R & M of Build - Reactive Repairs,28/10/2016,"1,089.06 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14047748,415929,Ove Arup & Partners Limited,R4400-CPK001,Services - Professional Fees,07/10/2016,"1,467.00 ",,
