Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
NMH,125,58.96%,35,16.51%,*,1.89%,16,7.55%,8,3.77%,24,11.32%,0,0.00%,*,0.00%,*,111,46.6%,127,53.4%,238,*,99.6%,*,0.4%,*,*,1.6%,*,98.4%,*,11,6.0%,173,94.0%,184,217,100.0%,0,0.0%,217,217,100.0%,0,0.0%,217,190,75.4%,62,24.6%,252,205,81.35%,47,18.65%,252,176,69.84%,76,30.16%,252,50,28.41%,126,71.59%,176,70,27.78%,182,72.22%,252,13,18.57%,57,81.43%,70,0,0.00%,104,100.00%,104,28,58.33%,20,41.67%,48,86,74.14%,30,25.86%,116,*,76.92%,*,23.08%,*,252,152,165.79%,230,18.2,0.6,18.7,97,45.75%,115,54.25%,212,*,1.21%,*,98.79%,*,6,2.76%,211,97.24%,217,0,0.00%,217,100.00%,217,12,4.76%,240,95.24%,252,40,30,2,0,No,ND,ND,Yes,AED;AN,No,No,Monthly,ORC;OGC;ANC;PH;AES,MM;DS;LOS;PSf;CI;LQ,OG,Unknown,Unknown,No,Unknown,NA,No
NOB,14,58.33%,*,8.33%,*,4.17%,*,12.50%,*,8.33%,0,0.00%,0,0.00%,*,8.33%,*,54,78.3%,15,21.7%,69,50,68.5%,23,31.5%,73,*,98.6%,*,1.4%,*,*,3.8%,*,96.2%,*,*,98.5%,*,1.5%,*,45,66.2%,23,33.8%,68,No data,No data,No data,No data,No data,63,86.30%,10,13.70%,73,51,69.86%,22,30.14%,73,22,43.14%,29,56.86%,51,*,5.48%,*,94.52%,*,*,25.00%,*,75.00%,*,*,85.19%,*,14.81%,*,*,86.67%,*,13.33%,*,14,56.00%,11,44.00%,25,*,11.11%,*,88.89%,*,73,,#DIV/0!,31,13.3,34.7,47.9,31,58.49%,22,41.51%,53,*,5.71%,*,94.29%,*,*,4.41%,*,95.59%,*,0,0.00%,68,100.00%,68,*,5.48%,*,94.52%,*,0,0,0,0,No,ND,ND,Yes,AN,No,Yes,Quarterly,ORC;NS;PH;TO,MM;LOS;DS,SN,No,Unknown,Yes,Unknown,FPC;CR,No
NOR,338,54.34%,186,29.90%,7,1.13%,19,3.05%,9,1.45%,46,7.40%,17,2.73%,0,0.00%,622,265,35.1%,491,64.9%,756,789,99.2%,6,0.8%,795,48,6.0%,747,94.0%,795,26,4.4%,566,95.6%,592,724,98.9%,8,1.1%,732,726,99.2%,6,0.8%,732,458,57.5%,338,42.5%,796,582,73.21%,213,26.79%,795,512,64.40%,283,35.60%,795,284,55.47%,228,44.53%,512,231,29.06%,564,70.94%,795,40,17.32%,191,82.68%,231,311,76.04%,98,23.96%,409,152,83.06%,31,16.94%,183,181,68.05%,85,31.95%,266,35,76.09%,11,23.91%,46,795,832,95.55%,749,15.1,0.0,15.1,299,47.84%,326,52.16%,625,0,0.00%,771,100.00%,771,15,2.05%,717,97.95%,732,*,0.55%,*,99.45%,*,18,2.26%,777,97.74%,795,30,20,2,0.6,Yes,ND;AD,ND;AD,No,AED;AN,Yes,No,Not routinely,N/A,N/A,OG,No,Unknown,No,Unknown,CR,No
NPH,139,60.70%,39,17.03%,11,4.80%,10,4.37%,10,4.37%,16,6.99%,*,1.75%,*,0.00%,*,126,47.4%,140,52.6%,266,*,99.6%,*,0.4%,*,18,6.4%,265,93.6%,283,102,50.0%,102,50.0%,204,255,97.3%,7,2.7%,262,255,97.3%,7,2.7%,262,213,74.7%,72,25.3%,285,218,77.03%,65,22.97%,283,187,66.08%,96,33.92%,283,*,0.53%,*,99.47%,*,77,27.21%,206,72.79%,283,*,1.30%,*,98.70%,*,79,100.00%,0,0.00%,79,*,90.24%,*,9.76%,*,85,85.86%,14,14.14%,99,28,75.68%,9,24.32%,37,283,347,81.56%,249,9.5,13.6,23.0,122,52.59%,110,47.41%,232,0,0.00%,263,100.00%,263,*,1.91%,*,98.09%,*,25,9.54%,237,90.46%,262,17,6.01%,266,93.99%,283,28,4,2,0,Yes,AD,AD,Yes,AN,Yes,Yes,Monthly,ORC;NS;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,HOS;SIT;TRU,Unknown,No
NTG,198,68.04%,34,11.68%,8,2.75%,15,5.15%,10,3.44%,23,7.90%,*,1.03%,*,0.00%,*,317,79.4%,82,20.6%,399,*,99.3%,*,0.7%,*,44,10.7%,366,89.3%,410,9,3.0%,295,97.0%,304,372,100.0%,0,0.0%,372,*,99.5%,*,0.5%,*,310,74.7%,105,25.3%,415,326,79.51%,84,20.49%,410,69,16.83%,341,83.17%,410,32,46.38%,37,53.62%,69,324,79.02%,86,20.98%,410,71,21.91%,253,78.09%,324,145,73.60%,52,26.40%,197,51,86.44%,8,13.56%,59,98,88.29%,13,11.71%,111,*,88.37%,*,11.63%,*,410,404,101.49%,388,17.0,4.5,21.5,115,39.38%,177,60.62%,292,7,1.75%,394,98.25%,401,24,6.45%,348,93.55%,372,44,11.83%,328,88.17%,372,6,1.46%,404,98.54%,410,26,28,5,0.5,No,ND;AD,AD,Yes,SN,No,Yes,Not routinely,N/A,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN;GP,Both,O,No,Unknown,FPC,No
NTH,157,57.72%,78,28.68%,*,0.37%,*,1.47%,*,0.74%,21,7.72%,9,3.31%,*,0.00%,*,69,19.9%,278,80.1%,347,357,97.8%,8,2.2%,365,23,6.3%,342,93.7%,365,117,42.4%,159,57.6%,276,331,97.9%,7,2.1%,338,*,99.1%,*,0.9%,*,237,64.1%,133,35.9%,370,253,69.32%,112,30.68%,365,139,38.08%,226,61.92%,365,18,12.95%,121,87.05%,139,209,57.26%,156,42.74%,365,139,66.51%,70,33.49%,209,149,94.30%,9,5.70%,158,38,63.33%,22,36.67%,60,107,93.04%,8,6.96%,115,15,60.00%,10,40.00%,25,365,365,100.00%,333,18.8,2.6,21.4,127,46.01%,149,53.99%,276,11,3.16%,337,96.84%,348,27,7.99%,311,92.01%,338,24,7.10%,314,92.90%,338,21,5.75%,344,94.25%,365,20,20,5,0,No,ND,ND,No,AED;AN,Yes,No,Not routinely,N/A,N/A,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
NTY,111,50.23%,75,33.94%,*,0.45%,8,3.62%,7,3.17%,19,8.60%,0,0.00%,*,0.00%,*,134,48.2%,144,51.8%,278,*,98.4%,*,1.6%,*,11,3.6%,295,96.4%,306,16,7.0%,213,93.0%,229,274,100.0%,0,0.0%,274,274,100.0%,0,0.0%,274,242,81.2%,56,18.8%,298,260,84.97%,46,15.03%,306,102,33.33%,204,66.67%,306,38,37.25%,64,62.75%,102,162,52.94%,144,47.06%,306,*,0.62%,*,99.38%,*,*,98.73%,*,1.27%,*,44,81.48%,10,18.52%,54,102,88.70%,13,11.30%,115,*,92.86%,*,7.14%,*,306,310,98.71%,274,11.7,10.6,22.2,121,54.02%,103,45.98%,224,6,2.08%,283,97.92%,289,10,3.65%,264,96.35%,274,0,0.00%,274,100.00%,274,26,8.50%,280,91.50%,306,3,32,2,1,No,ND,ND,Yes,AED;OS,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;PSf;CI;CN;LQ,OG;SN,No,Unknown,Unknown,Unknown,CR,routinely
NUN,150,75.00%,18,9.00%,*,0.50%,9,4.50%,*,0.50%,16,8.00%,*,2.50%,*,0.00%,*,64,24.1%,202,75.9%,266,*,99.3%,*,0.7%,*,14,5.1%,261,94.9%,275,29,14.7%,168,85.3%,197,256,100.0%,0,0.0%,256,256,100.0%,0,0.0%,256,180,65.5%,95,34.5%,275,188,68.36%,87,31.64%,275,84,30.55%,191,69.45%,275,59,70.24%,25,29.76%,84,189,68.73%,86,31.27%,275,39,20.63%,150,79.37%,189,*,99.35%,*,0.65%,*,*,95.31%,*,4.69%,*,*,97.67%,*,2.33%,*,*,75.00%,*,25.00%,*,275,305,90.16%,244,17.8,0.7,18.5,59,29.35%,142,70.65%,201,*,1.47%,*,98.53%,*,20,7.81%,236,92.19%,256,0,0.00%,256,100.00%,256,8,2.91%,267,97.09%,275,8,40,5,0,No,TA,TA,No,AN,Yes,No,Monthly,ORC;OGC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Yes,HOS,FPC;CR,No
NWG,70,66.04%,19,17.92%,0,0.00%,*,3.77%,*,4.72%,8,7.55%,0,0.00%,*,0.00%,*,20,17.9%,92,82.1%,112,*,98.3%,*,1.7%,*,12,10.1%,107,89.9%,119,8,9.2%,79,90.8%,87,110,100.0%,0,0.0%,110,110,100.0%,0,0.0%,110,82,67.8%,39,32.2%,121,92,77.31%,27,22.69%,119,69,57.98%,50,42.02%,119,14,20.29%,55,79.71%,69,34,28.57%,85,71.43%,119,8,23.53%,26,76.47%,34,*,84.62%,*,15.38%,*,*,60.00%,*,40.00%,*,30,62.50%,18,37.50%,48,*,83.33%,*,16.67%,*,119,116,102.59%,105,13.7,4.1,17.8,42,39.25%,65,60.75%,107,*,1.80%,*,98.20%,*,*,3.64%,*,96.36%,*,0,0.00%,110,100.00%,110,*,3.36%,*,96.64%,*,11.25,0,2,0,No,ND,ND,No,AN,No,No,Quarterly,ORC;OGC;NS,MM;DS;CI,OG;GP,No,Unknown,No,TRU,FPC;CR,routinely
OHM,155,54.77%,0,0.00%,*,1.41%,53,18.73%,10,3.53%,20,7.07%,41,14.49%,*,0.00%,*,163,46.8%,185,53.2%,348,346,95.8%,15,4.2%,361,24,6.6%,337,93.4%,361,9,3.8%,228,96.2%,237,*,98.5%,*,1.5%,*,*,98.5%,*,1.5%,*,188,50.9%,181,49.1%,369,239,66.20%,122,33.80%,361,169,46.81%,192,53.19%,361,56,33.14%,113,66.86%,169,172,47.65%,189,52.35%,361,42,24.42%,130,75.58%,172,127,90.71%,13,9.29%,140,51,71.83%,20,28.17%,71,66,73.33%,24,26.67%,90,*,82.35%,*,17.65%,*,361,398,90.70%,343,15.3,3.7,19.0,128,44.76%,158,55.24%,286,9,2.58%,340,97.42%,349,7,2.10%,326,97.90%,333,*,1.20%,*,98.80%,*,*,0.83%,*,99.17%,*,19,32,2,0,No,ND,ND,No,Unknown,No,No,Monthly,ORC;OGC;NS,MM;DS;LOS;DS;PSf,OG,No,Unknown,Unknown,Unknown,FPC;CR;VS,occasionally
OLD,418,85.13%,0,0.00%,*,0.41%,*,0.41%,17,3.46%,30,6.11%,22,4.48%,*,0.00%,*,243,43.4%,317,56.6%,560,*,99.7%,*,0.3%,*,75,12.8%,510,87.2%,585,21,4.9%,411,95.1%,432,*,99.3%,*,0.7%,*,537,97.8%,12,2.2%,549,349,60.7%,226,39.3%,575,393,67.18%,192,32.82%,585,153,26.15%,432,73.85%,585,119,77.78%,34,22.22%,153,75,12.82%,510,87.18%,585,*,4.00%,*,96.00%,*,154,63.90%,87,36.10%,241,141,87.58%,20,12.42%,161,109,72.67%,41,27.33%,150,22,73.33%,8,26.67%,30,585,615,95.12%,538,10.0,16.8,26.8,175,35.35%,320,64.65%,495,*,0.35%,*,99.65%,*,15,2.73%,534,97.27%,549,*,0.18%,*,99.82%,*,17,2.91%,568,97.09%,585,4,43,7,1,Yes,ND,CA,No,AN,No,Yes,Monthly,ORC;OGC;NS;PH;TO,DS;LOS;PSf;CI;LQ,OG,Both,O,No,Unknown,FPC,No
PAH,163,60.15%,71,26.20%,*,0.74%,13,4.80%,*,0.37%,15,5.54%,*,1.85%,*,0.37%,*,81,23.5%,264,76.5%,345,*,99.4%,*,0.6%,*,25,7.1%,329,92.9%,354,8,3.1%,253,96.9%,261,*,99.7%,*,0.3%,*,324,98.2%,6,1.8%,330,260,71.6%,103,28.4%,363,272,76.84%,82,23.16%,354,145,40.96%,209,59.04%,354,29,20.00%,116,80.00%,145,191,53.95%,163,46.05%,354,*,1.57%,*,98.43%,*,98,60.87%,63,39.13%,161,53,79.10%,14,20.90%,67,*,97.90%,*,2.10%,*,*,94.44%,*,5.56%,*,354,365,96.99%,340,18.3,0.3,18.7,121,43.53%,157,56.47%,278,8,2.35%,333,97.65%,341,11,3.33%,319,96.67%,330,48,14.55%,282,85.45%,330,12,3.39%,342,96.61%,354,24,32,5,0,No,ND,ND,No,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES,DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,No,Unknown,CR,occasionally
PET,237,68.70%,71,20.58%,*,1.45%,13,3.77%,*,0.29%,17,4.93%,*,0.29%,*,0.00%,*,255,59.9%,171,40.1%,426,*,99.3%,*,0.7%,*,56,12.8%,380,87.2%,436,13,4.0%,311,96.0%,324,415,100.0%,0,0.0%,415,*,99.5%,*,0.5%,*,304,67.7%,145,32.3%,449,362,83.03%,74,16.97%,436,201,46.10%,235,53.90%,436,145,72.14%,56,27.86%,201,230,52.75%,206,47.25%,436,201,87.39%,29,12.61%,230,41,62.12%,25,37.88%,66,*,91.18%,*,8.82%,*,86,64.66%,47,35.34%,133,28,82.35%,6,17.65%,34,436,454,96.04%,422,12.1,0.7,12.8,113,32.75%,232,67.25%,345,0,0.00%,435,100.00%,435,*,0.48%,*,99.52%,*,0,0.00%,415,100.00%,415,12,2.75%,424,97.25%,436,0,0,0,Unknown,No,ND,ND,No,AED;AN;OS,No,Yes,Not routinely,N/A,N/A,Orthopaedics,Both,O,Yes,Unknown,NA,No
PGH,325,44.34%,338,46.11%,0,0.00%,16,2.18%,11,1.50%,30,4.09%,13,1.77%,0,0.00%,733,518,57.4%,385,42.6%,903,*,99.5%,*,0.5%,*,*,0.2%,*,99.8%,*,10,1.4%,714,98.6%,724,914,100.0%,0,0.0%,914,*,99.5%,*,0.5%,*,786,81.4%,180,18.6%,966,767,79.65%,196,20.35%,963,871,90.45%,92,9.55%,963,131,15.04%,740,84.96%,871,65,6.75%,898,93.25%,963,19,29.23%,46,70.77%,65,443,87.90%,61,12.10%,504,178,87.68%,25,12.32%,203,323,88.98%,40,11.02%,363,*,97.06%,*,2.94%,*,963,858,112.24%,751,11.9,0.0,11.9,342,46.47%,394,53.53%,736,11,1.16%,936,98.84%,947,16,1.75%,898,98.25%,914,0,0.00%,914,100.00%,914,27,2.80%,936,97.20%,963,64,38,22,0,Yes,ND,ND;AD,Yes,AED;SN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;CR;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,RH,No,Unknown,FPC;CR,No
PIL,196,74.81%,41,15.65%,*,0.76%,6,2.29%,*,1.15%,14,5.34%,0,0.00%,*,0.00%,*,264,84.6%,48,15.4%,312,342,100.0%,0,0.0%,342,6,1.8%,336,98.2%,342,90,36.7%,155,63.3%,245,322,100.0%,0,0.0%,322,322,100.0%,0,0.0%,322,310,92.5%,25,7.5%,335,324,94.74%,18,5.26%,342,110,32.16%,232,67.84%,342,66,60.00%,44,40.00%,110,209,61.11%,133,38.89%,342,29,13.88%,180,86.12%,209,167,94.89%,9,5.11%,176,69,84.15%,13,15.85%,82,120,91.60%,11,8.40%,131,14,100.00%,0,0.00%,14,342,351,97.44%,322,13.7,0.1,13.8,65,24.81%,197,75.19%,262,*,1.47%,*,98.53%,*,*,1.24%,*,98.76%,*,0,0.00%,322,100.00%,322,24,7.02%,318,92.98%,342,8,0,5,0,No,ND,ND;AD,No,AED;AN,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC,No
PIN,188,47.00%,145,36.25%,0,0.00%,20,5.00%,*,1.25%,36,9.00%,6,1.50%,*,0.00%,*,115,21.9%,410,78.1%,525,553,98.9%,6,1.1%,559,42,7.5%,517,92.5%,559,230,57.4%,171,42.6%,401,508,100.0%,0,0.0%,508,508,100.0%,0,0.0%,508,334,59.4%,228,40.6%,562,342,61.18%,217,38.82%,559,188,33.63%,371,66.37%,559,156,82.98%,32,17.02%,188,352,62.97%,207,37.03%,559,226,64.20%,126,35.80%,352,185,66.55%,93,33.45%,278,54,68.35%,25,31.65%,79,84,47.19%,94,52.81%,178,*,94.55%,*,5.45%,*,559,598,93.48%,527,20.6,1.0,21.6,210,52.11%,193,47.89%,403,*,0.74%,*,99.26%,*,49,9.65%,459,90.35%,508,0,0.00%,508,100.00%,508,30,5.37%,529,94.63%,559,44,4,5,0,Yes,CA,CA,No,AN;OS,Yes,Yes,Monthly,ORC;OGC;ANC;NS;TO,DS;PSf;LQ,OG,No,Unknown,Unknown,SIT,CR,occasionally
PLY,129,38.51%,164,48.96%,*,0.60%,12,3.58%,10,2.99%,14,4.18%,*,0.90%,*,0.30%,*,235,53.4%,205,46.6%,440,*,99.2%,*,0.8%,*,10,2.1%,474,97.9%,484,33,9.4%,319,90.6%,352,*,99.6%,*,0.4%,*,*,99.6%,*,0.4%,*,378,77.5%,110,22.5%,488,370,76.45%,114,23.55%,484,219,45.25%,265,54.75%,484,191,87.21%,28,12.79%,219,180,37.19%,304,62.81%,484,22,12.22%,158,87.78%,180,211,92.54%,17,7.46%,228,60,64.52%,33,35.48%,93,151,89.88%,17,10.12%,168,19,70.37%,8,29.63%,27,484,620,78.06%,458,12.7,0.4,13.1,178,53.13%,157,46.87%,335,*,0.42%,*,99.58%,*,*,0.43%,*,99.57%,*,16,3.48%,444,96.52%,460,37,7.64%,447,92.36%,484,20,34,5,0,No,CA,CA,No,OS;O,No,Yes,Weekly,ORC;OGC;ANC;NS,MM;DS;PSf;CI;LQ,OG,No,Unknown,No,HOS,NA,No
PMS,182,59.09%,78,25.32%,*,0.65%,*,0.65%,6,1.95%,27,8.77%,6,1.95%,*,1.62%,*,136,33.7%,268,66.3%,404,409,97.8%,9,2.2%,418,19,4.5%,399,95.5%,418,59,18.7%,257,81.3%,316,*,99.7%,*,0.3%,*,373,100.0%,0,0.0%,373,312,76.1%,98,23.9%,410,349,83.49%,69,16.51%,418,110,26.32%,308,73.68%,418,48,43.64%,62,56.36%,110,281,67.22%,137,32.78%,418,97,34.52%,184,65.48%,281,*,98.50%,*,1.50%,*,51,62.96%,30,37.04%,81,125,90.58%,13,9.42%,138,*,96.77%,*,3.23%,*,418,441,94.78%,350,12.8,2.9,15.7,117,36.79%,201,63.21%,318,7,1.74%,395,98.26%,402,7,1.88%,366,98.12%,373,*,0.27%,*,99.73%,*,9,2.15%,409,97.85%,418,12,72,5,0,No,ND,ND,Yes,AED;AN,No,No,Not routinely,N/A,N/A,OG,No,Unknown,Unknown,Unknown,FPC;CR,routinely
QAP,452,76.22%,62,10.46%,*,0.51%,19,3.20%,35,5.90%,22,3.71%,0,0.00%,*,0.00%,*,487,70.9%,200,29.1%,687,737,100.0%,0,0.0%,737,6,0.8%,731,99.2%,737,41,7.5%,503,92.5%,544,706,100.0%,0,0.0%,706,706,100.0%,0,0.0%,706,612,85.6%,103,14.4%,715,631,85.62%,106,14.38%,737,291,39.48%,446,60.52%,737,199,68.38%,92,31.62%,291,412,55.90%,325,44.10%,737,190,46.12%,222,53.88%,412,127,33.69%,250,66.31%,377,126,73.26%,46,26.74%,172,*,98.46%,*,1.54%,*,45,88.24%,6,11.76%,51,737,821,89.77%,681,14.7,2.7,17.4,128,21.59%,465,78.41%,593,14,1.92%,717,98.08%,731,11,1.56%,695,98.44%,706,0,0.00%,706,100.00%,706,18,2.44%,719,97.56%,737,30.5,40,5,1.8,Yes,ND,ND,Yes,AN,No,Yes,Quarterly,ORC;OGC;ANC,DS;PSf;CI,OG;SN,Outpatients,RH,No,Unknown,FPC;CR,routinely
QEB,170,59.44%,67,23.43%,*,1.05%,16,5.59%,13,4.55%,17,5.94%,0,0.00%,*,0.00%,*,225,56.4%,174,43.6%,399,406,93.8%,27,6.2%,433,48,11.1%,385,88.9%,433,154,46.7%,176,53.3%,330,398,100.0%,0,0.0%,398,398,100.0%,0,0.0%,398,248,58.4%,177,41.6%,425,284,65.59%,149,34.41%,433,287,66.28%,146,33.72%,433,140,48.78%,147,51.22%,287,108,24.94%,325,75.06%,433,20,18.52%,88,81.48%,108,*,98.91%,*,1.09%,*,29,60.42%,19,39.58%,48,106,60.23%,70,39.77%,176,16,69.57%,7,30.43%,23,433,498,86.95%,378,23.1,3.5,26.6,174,60.00%,116,40.00%,290,0,0.00%,410,100.00%,410,6,1.51%,392,98.49%,398,0,0.00%,398,100.00%,398,33,7.62%,400,92.38%,433,16,4,4,2,No,ND;TA,TA,Yes,AED;AN,No,Yes,Not routinely,N/A,N/A,OG;SN,Both,END,No,Unknown,CR,routinely
QEG,145,71.43%,22,10.84%,*,0.49%,9,4.43%,*,1.48%,22,10.84%,0,0.00%,*,0.49%,*,210,78.1%,59,21.9%,269,280,96.2%,11,3.8%,291,21,7.2%,270,92.8%,291,26,12.0%,190,88.0%,216,*,99.6%,*,0.4%,*,*,99.2%,*,0.8%,*,210,72.7%,79,27.3%,289,232,79.73%,59,20.27%,291,154,52.92%,137,47.08%,291,140,90.91%,14,9.09%,154,128,43.99%,163,56.01%,291,97,75.78%,31,24.22%,128,*,97.18%,*,2.82%,*,37,77.08%,11,22.92%,48,57,50.00%,57,50.00%,114,*,91.67%,*,8.33%,*,291,325,89.54%,271,17.5,1.4,18.9,77,37.75%,127,62.25%,204,*,0.71%,*,99.29%,*,28,10.81%,231,89.19%,259,0,0.00%,259,100.00%,259,14,4.81%,277,95.19%,291,14,8,5,1,No,ND;TA,TA,Yes,AED;AN;OS,No,Yes,Monthly,ORC;NS;TO,MM;CI;CN,OG,Both,GEM,No,Unknown,FPC;CR,No
QEQ,266,68.21%,30,7.69%,*,1.03%,19,4.87%,42,10.77%,24,6.15%,*,1.28%,*,0.00%,*,237,50.3%,234,49.7%,471,474,98.8%,6,1.3%,480,51,10.6%,429,89.4%,480,183,51.1%,175,48.9%,358,*,99.8%,*,0.2%,*,435,97.5%,11,2.5%,446,262,53.4%,229,46.6%,491,313,65.21%,167,34.79%,480,236,49.17%,244,50.83%,480,204,86.44%,32,13.56%,236,206,42.92%,274,57.08%,480,12,5.83%,194,94.17%,206,157,75.48%,51,24.52%,208,104,88.89%,13,11.11%,117,108,78.26%,30,21.74%,138,13,50.00%,13,50.00%,26,480,473,101.48%,455,16.1,0.1,16.2,141,36.15%,249,63.85%,390,0,0.00%,472,100.00%,472,17,3.81%,429,96.19%,446,81,18.16%,365,81.84%,446,11,2.29%,469,97.71%,480,40,27,5,0,No,TA,TA,Yes,AED;AN;O,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS,OG;SN,Both,GEM,Yes,Unknown,FPC,routinely
QKL,138,47.26%,104,35.62%,*,0.34%,29,9.93%,*,1.37%,14,4.79%,*,0.68%,*,0.00%,*,200,59.0%,139,41.0%,339,*,99.2%,*,0.8%,*,108,29.0%,264,71.0%,372,65,23.9%,207,76.1%,272,309,87.3%,45,12.7%,354,319,90.1%,35,9.9%,354,204,54.5%,170,45.5%,374,299,80.38%,73,19.62%,372,148,39.78%,224,60.22%,372,138,93.24%,10,6.76%,148,220,59.14%,152,40.86%,372,169,76.82%,51,23.18%,220,212,97.25%,6,2.75%,218,56,66.67%,28,33.33%,84,112,100.00%,0,0.00%,112,*,78.57%,*,21.43%,*,372,388,95.88%,358,11.7,0.5,12.2,158,54.11%,134,45.89%,292,*,0.27%,*,99.73%,*,*,1.13%,*,98.87%,*,0,0.00%,354,100.00%,354,7,1.88%,365,98.12%,372,8,0,2,0,No,ND,ND,Yes,AN,No,Yes,Monthly,OGC;ANC;NS;PH;AES,MM;DS;LOS;PSf;CI,OG,No,Unknown,Unknown,Unknown,CR,routinely
