Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,COI COMMUNICATIONS,4023380,"3,810.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4023381,503.94
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Contributions (Programme),Energy Markets & Infrastructure - Energy Development Unit,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4023382,900
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,INCLUSIVE LEARNING LTD T/A SKILL BOOSTERS,4023383,"1,527.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,ASHTON HAYES PARISH COUNCIL,4023384,"43,351.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4023385,"77,535.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4023385,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,SAS SOFTWARE LTD,4023386,"2,240.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023388,565.26
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023389,573
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4023390,996.48
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023391,549.77
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,TYPE & TEST LTD,4023392,"1,350.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023394,580.74
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023395,565.26
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023397,836.27
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DEPARTMENT OF HEALTH,4023398,"3,375.78"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DEPARTMENT OF HEALTH,4023398,"11,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ONE NORTH EAST,4023399,"52,402.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4023403,"217,056.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4023404,"212,545.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4023405,"37,238.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023406,619.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023407,588.49
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023409,580.74
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023410,569.13
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023411,658.18
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023412,724
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4023418,811.52
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GHK CONSULTING LTD,4023419,"7,498.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GHK CONSULTING LTD,4023420,"14,996.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4023421,"40,635.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4023422,"10,150.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4023424,"18,462.46"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023426,"73,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023426,"3,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023427,"90,313.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023427,"6,004.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023429,"26,510.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023430,"7,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,PETER CARROLL,4023432,"12,132.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Cash Consolidated Fund Extra Receipts Paid Over to HM Treasury,Corporate Payments - ,CONSOLIDATED FUND ACCOUNT 6622,4023433,"58,893,542.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4023435,"10,717.27"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023439,648.75
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023441,"7,750.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023442,"211,300.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023443,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023446,"135,819.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4023447,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4023448,619.01
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4023450,"50,717.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023451,607.85
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4023452,863.14
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OVE ARUP & PARTNERS INTERNATIONAL LTD,4023453,"32,701.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4023454,777.84
