,,,,,
Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date
"Stall 8, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511336N,6800,Retail Relief,N & S Rhodes Butchers Ltd,26/04/2014
"Stall 8, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511336N,6800,Small Business Relief England,N & S Rhodes Butchers Ltd,26/04/2014
,,,,,
,,,,,
,,,,,
,,,,,
"Stalls 115 & 116, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511150N,4800,Retail Relief,Sillfield Farm Products Ltd,19/04/1993
,,,,,
,,,,,
"Stalls 37 & 38, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510370N,3300,Small Business Relief England,Ian Ford Books Ltd,03/04/2000
"Stalls 39 & 40, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510264N,3300,Small Business Relief England,Fat Bobs Cds Ltd,09/02/2004
,,,,,
"Stalls 47 & 48, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510470N,3300,Empty Property Rate Non-Industrial,Barrow Borough Council,02/05/2014
,,,,,
,,,,,
"St Andrews Engineering Ltd, St Andrews Crossing, Barrow In Furness, Cumbria, LA14 2SS",103360609110N,11250,Small Business Relief England,"St Andrews Engineering Ltd,",01/04/1990
,,,,,
,,,,,
,,,,,
"St George'S Church Of England Primary School And Nursery, School Street, Barrow In Furness, Cumbria, LA14 2JN",105161609010N,52500,Mandatorary Relief,Cumbria County Council,01/04/1990
"St James C E Jnr School, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",104107309035N,21000,Mandatorary Relief,Cumbria County Council,01/06/2004
"St John Ambulance Brigade, Strand, Barrow In Furness, Cumbria, LA14 2HG",105101109030N,2250,Mandatorary Relief,St John Ambulance Brigade,01/04/1990
"St Matthew'S Community Halls, Highfield Road, Barrow In Furness, Cumbria, LA14 5NZ",106130809060N,11000,Mandatorary Relief,St Matthews Communal Hall Com.,01/04/2002
"Storage Block Spiritualist, Church Grounds, Harley Street, Barrow In Furness, Cumbria, LA14 1JJ",105129409040N,3550,Mandatorary Relief,Thrift Charitable Trust,01/05/2011
,,,,,
"Store, Roanhead, Barrow In Furness, Cumbria, LA14 4QN",112697359021N,550,Mandatorary Relief,C.A.T.M.H.S.,31/05/1994
"St Patrick'S Catholic Club, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",103223609060N,9600,Mandatorary Relief,Lancaster Rc Diocesan Trustees,01/04/2002
"St Paul'S Ce Junior School, Hawcoat Lane, Barrow In Furness, Cumbria, LA14 4HF",109130109080N,18000,Mandatorary Relief,Cumbria County Council,01/10/1993
"St Perrans Scout Troop, Yarlside Road, Barrow In Furness, Cumbria, LA13 OEU",111478209060N,3150,Mandatorary Relief,St Perrans Scout Group,01/04/1990
"St Pius X R C School, Schneider Road, Barrow In Furness, Cumbria, LA14 4AA",106362109430N,22750,Mandatorary Relief,Cumbria County Council,01/04/1990
,,,,,
"Suite 10, Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",104457709111N,1875,Small Business Relief England,Rv Projects (Europe) Ltd,01/10/2012
"Suite 1 At, 22a, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119500224N,11750,Mandatorary Relief,Womens Community Matters,01/10/2013
"Suite 2 Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, ",104457709071N,910,Small Business Relief England,Glazzy Gas Limited,01/07/2012
"Suite 3 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",104233909063N,15000,Mandatorary Relief,Tcv Employment And Training Services Limited,01/05/2013
"Sure Start Community Centre Ormsgill, Millstone Avenue, Barrow In Furness, Cumbria, LA14 4BP",106542969030N,12000,Mandatorary Relief,Action For Children,01/04/2008
,,,,,
"Temperance Hall, Ireleth, Askam In Furness, Cumbria, LA16 7EG",112599000690N,1300,Small Business Relief England,Ireleth Temperance Hall,01/04/1990
"Terry Chemicals Ltd, Beckside, Dalton In Furness, Cumbria, LA15 8DP",113181209050N,14500,Small Business Relief England,"Terry Chemicals Ltd,",01/04/1990
"Tesco, 331, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BS",104457709036N,45750,Retail Relief,Tesco Stores Ltd,07/12/2012
"The Basement At The Canteen, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",103342709240N,5400,Small Business Relief England,The Porthole Community Centre,01/02/2014
,,,,,
"The Blue Lamp, 57, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400610N,12400,Retail Relief,D & D Leisure (Cumbria) Limited,01/08/2012
,,,,,
,,,,,
,,,,,
,,,,,
"The Canteen Media & Arts Cntr, Michaelson Road, Barrow In Furness, Cumbria, LA14  1AD",103342709235N,10250,Empty Property Rate Non-Industrial,Horrocks & Cross Ltd,01/09/2013
,,,,,
,,,,,
,,,,,
,,,,,
"The Custom House, 1, Abbey Road, Barrow In Furness, Cumbria, LA14 5UF",104531209082N,39250,Retail Relief,The Custom House Bw Ltd,03/12/1999
"The Derby, 246, Dalton Road, Barrow In Furness, Cumbria, LA14 1DN",104417302460N,10250,Empty Property Rate Non-Industrial,Selshaw Investments Limited,01/04/2014
,,,,,
,,,,,
,,,,,
,,,,,
"The Drawing Room, Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501212N,12400,Retail Relief,Kirkstall Ventures Ltd,20/08/2012
"The Drawing Room, Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501212N,12400,Small Business Relief England,Kirkstall Ventures Ltd,20/08/2012
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"The Last Orders Inn, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",105457701400N,16150,Retail Relief,Nectar Taverns Ltd,01/09/2008
"The Lounge,, 59-61, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500610N,5700,Small Business Relief England,The Buddha Lounge Bar Ltd,17/02/2014
"The Lyric Hall, Clifford Street, Barrow In Furness, Cumbria, LA14 2NJ",104512909030N,4200,Small Business Relief England,Transition Wholesale Ltd,20/01/2014
,,,,,
"The National Trust Near Sandscale Cottages, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",112697359080N,1500,Mandatorary Relief,The National Trust,01/04/2003
,,,,,
,,,,,
"The Old Dairy, Roose Road, Barrow In Furness, Cumbria, LA13 0EP",111458879013N,5500,Small Business Relief England,Woodbine Dairy Ltd,06/05/2013
"The Old Methodist Chapel, Roose Road, Barrow In Furness, Cumbria, LA13 9RG",108359009021N,4200,Small Business Relief England,Barrow Central Construction Ltd,01/07/2012
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"The Soccer Bar Barrow Football Supporters Club, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UQ",109118508014N,12250,Retail Relief,"Barrow Afc Supporters Club,",01/04/1990
,,,,,
,,,,,
,,,,,
"The Workshop, Briggs Street, Barrow In Furness, Cumbria, LA12 2BE",108247409280N,1575,Small Business Relief England,Harries Motor Repairs Ltd,13/02/2012
,,,,,
"Thrift Charitable Trust, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",103223609040N,800,Mandatorary Relief,Thrift Charitable Trust,01/09/2001
"Topps Tiles, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209400N,47250,Retail Relief,Multi Tile Ltd T/A Topps Tiles,15/11/1999
,,,,,
"Tyre Services Great Britain Ltd, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",111559009361N,22000,Empty Property Rate Industrial,Goodyear Dunlop Tyres Uk Ltd,05/12/2009
,,,,,
,,,,,
,,,,,
"Underwater Diving Services, Anchorline Basin, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",103357209034N,4750,Small Business Relief England,"Underwater Diving Services,",01/04/2005
"Unit 10, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",104253570100N,10500,Small Business Relief England,Subconsult Ltd,01/06/2013
"Unit 10 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552709083N,4450,Small Business Relief England,Kendall Bros Ltd,24/01/1996
"Unit 11 & 12, Meetings Ind Est, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552700011N,5500,Small Business Relief England,Furness M.O.T Ltd,01/10/2013
"Unit 13, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909163N,3700,Small Business Relief England,Redhall Marine Limited,02/04/2011
"Unit 14, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",104253570140N,10500,Small Business Relief England,Kingfisher Seafoods Limited,05/03/2010
"Unit 15, Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552700131N,2950,Small Business Relief England,K Salisbury Etc Ltd,01/03/2006
"Unit 16 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552700133N,5400,Small Business Relief England,Cumbria Car Centre Ltd,01/11/2007
"Unit 1 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JJ",105117300780N,32250,Empty Property Rate Non-Industrial,Cash Converters Limited,27/01/2012
"Unit 17, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",106552700134N,3650,Small Business Relief England,Furness Tile Supplies Ltd,15/11/2010
"Unit 18, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",106552700135N,3650,Small Business Relief England,Ocean Construction Uk Ltd,26/02/2009
,,,,,
"Unit 1 At Greengate Bridge, Marsh Street, Barrow In Furness, Cumbria, ",107427609080N,0,Empty Property Rate Industrial,Network Rail,01/04/1995
"Unit 1a The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",104500108239N,3250,Small Business Relief England,Gravity Solutions Limited,01/04/2012
,,,,,
"Unit 1b The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",104500108241N,3850,Small Business Relief England,Knox Accounting Ltd,01/04/2012
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Unit 1f, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",104274209244N,8700,Small Business Relief England,Vexstar Trading Ltd T/A Execost Engineering,01/06/2012
,,,,,
,,,,,
,,,,,
,,,,,
"Unit 1 The Canteen Media & Arts Centre, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",103342709225N,2850,Empty Property Rate Non-Industrial,Horrocks & Cross Ltd,01/09/2013
"Unit 1 The Ginnell, Portland Crescent, Barrow In Furness, Cumbria, LA14 1DB",105154100015N,4650,Small Business Relief England,Got It Covered Ltd,18/07/2005
,,,,,
"Unit 2 & 3 Station Yard, Duddon Road, Askam In Furness, Cumbria, LA16 7AL",112595509160N,8900,Small Business Relief England,H Barker Props Ltd,01/03/2001
"Unit 23, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909123N,3700,Small Business Relief England,Dean Property Estates Limited,16/09/2013
"Unit 25, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909125N,3700,Small Business Relief England,Optionhouse Limited,16/09/2013
"Unit 2, 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117300781N,32000,Retail Relief,Whitley-Hall Limited,21/06/2013
"Unit 27 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909228N,3700,Mandatorary Relief,Creative Support Ltd,01/01/2012
"Unit 28, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909128N,4950,Small Business Relief England,Johnston Recruitment Ltd,06/07/1998
"Unit 29 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909229N,3700,Mandatorary Relief,Creative Support Ltd,01/01/2012
"Unit 2 At Horrocks And  Cross, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",108361609719N,10500,Empty Property Rate Industrial,Barrow Borough Council,02/07/2012
,,,,,
,,,,,
"Unit 2, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",106552709333N,4750,Small Business Relief England,Compass Const. Serv. Ltd,15/06/2009
,,,,,
"Unit 2 Greengate Bridge,  , Marsh Street, Barrow In Furness, Cumbria, ",107427609070N,0,Empty Property Rate Industrial,Network Rail,01/04/1990
"Unit 2, Long Lane Ind Estate, Billings Road, Long Lane, Barrow In Furness, LA13 0SG",113487309114N,10250,Empty Property Rate Industrial,E Sutton &Son Ltd,23/09/2013
,,,,,
"Unit 30 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909233N,5100,Mandatorary Relief,Creative Support Ltd,24/04/2009
"Unit 3, 121-135, Dalton Road, Barrow In Furness, Cumbria, LA14 1H",105117301213N,40750,Retail Relief,Partners The Stationers Ltd,24/01/2007
,,,,,
,,,,,
,,,,,
"Unit 36, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909136N,4550,Mandatorary Relief,Age Uk,19/06/2007
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Unit 3d,, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709271N,7900,Small Business Relief England,Freelance Mechanics Ltd,29/04/2013
"Unit 3e, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709278N,8400,Small Business Relief England,Park Road Autos Ltd,01/04/2009
"Unit 3f, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709181N,9400,Mandatorary Relief,Pitstop,18/02/2004
"Unit 3g, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709600N,15500,Mandatorary Relief,Pitstop,18/09/2007
,,,,,
"Unit 3 R/0, 331, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BS",104457709040N,11500,Empty Property Rate Non-Industrial,J R Gabriel Properties Ltd,24/12/2013
,,,,,
"Unit 3 Steele'S Yard, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",104274209123N,2550,Small Business Relief England,R S Properties Ltd,23/03/2007
,,,,,
"Unit 40a, Salthouse Mills, Salthouse Road, Barrow In Furness, Cumbria, LA13 ODH",111561609602N,5900,Small Business Relief England,Barrow & District Historical Vintage Vehicle Society,08/11/2007
,,,,,
,,,,,
"Unit 4,121-135, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117301211N,46750,Retail Relief,Shoe Zone Ltd,05/06/2007
"Unit 43, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909143N,8500,Mandatorary Relief,Age Uk,01/03/2004
"Unit 44, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909144N,7900,Small Business Relief England,Fell View Joinery Ltd,25/04/2009
"Unit 45, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909145N,4550,Mandatorary Relief,Age Uk Trading Ltd T/A Age Uk Training,21/09/2011
,,,,,
"Unit 46, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909146N,4600,Small Business Relief England,Pc Supplies Limited,27/06/2011
,,,,,
,,,,,
"Unit 49 T.E.C, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909349N,10000,Mandatorary Relief,Age Uk Trading Ltd T/A Age Uk Training,29/11/2012
"Unit 4, Andrews Court, Andrews Way, Barrow In Furness, Cumbria, LA14 2UE",105253570004N,11500,Small Business Relief England,Albion Bros (Dalton) Ltd,01/11/2004
"Unit 4, Andrews Way, Barrow In Furness, Cumbria, LA14 2UD",105253570040N,12500,Small Business Relief England,Optech Fibres Ltd,01/07/2004
,,,,,
,,,,,
"Unit 4 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909213N,3250,Small Business Relief England,Etail Systems Limited,03/07/2012
"Unit 50 T.E.C., Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909350N,6200,Mandatorary Relief,Furness College,29/01/2007
,,,,,
,,,,,
"Unit 54, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909255N,7800,Empty Property Rate Industrial,Trinity Enterprise Centre Ltd,30/06/2014
"Unit 5a, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",104233909044N,14000,Empty Property Rate Industrial,Northern Trust Co Ltd,10/11/2013
"Unit 5, Andrews Court, Andrews Way, Barrow In Furness, Cumbria, LA14 2UE",105253570005N,11500,Small Business Relief England,Barrow Training Partners Ltd,01/11/2004
,,,,,
"Unit 5, James Freel Court, Barrow In Furness, Cumbria, LA14 2NG",104233910005N,10250,Empty Property Rate Industrial,Barrow Borough Council,01/05/2009
,,,,,
,,,,,
"Unit 6, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",104253570060N,8900,Small Business Relief England,Sts Electrical Limited,15/07/2011
,,,,,
,,,,,
,,,,,
"Unit 8, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",104253570080N,10500,Empty Property Rate Industrial,Barrow Borough Council,07/09/2013
,,,,,
"Unit B At 1a, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",104253570014N,3900,Small Business Relief England,Tsg Cumbria Ltd T/A The Sofa Group,01/04/2014
,,,,,
,,,,,
"United Club And Institute, Friars Lane, Barrow In Furness, Cumbria, LA13 9NN",110525109040N,10250,Empty Property Rate Non-Industrial,T W R Developments Ltd,20/09/2010
"Units 1,2 & R/O Unit 3, Meetings Ind Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552709014N,12750,Small Business Relief England,Gilmour Fabrications Ltd,01/04/2001
"Units 1 & 2, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",105163209035N,9300,Small Business Relief England,Favourstate Ltd T/A Mw Flooring,02/09/1998
,,,,,
,,,,,
"Units 21 & 22 , Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",106552700211N,6300,Small Business Relief England,Larkin Engineering Services Limited,06/09/2013
"Units 23 24 & 25, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",106552700139N,14500,Small Business Relief England,Searle Audio Ltd,01/04/2009
,,,,,
,,,,,
"Units 3-5 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709460N,15500,Small Business Relief England,Joss Engineering Ltd,18/07/2005
"Units 41 & 42 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909154N,12500,Small Business Relief England,"Schofield Construction Ltd,",08/04/2003
,,,,,
,,,,,
"Units 6 7 8 & 8a, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",105163209038N,12000,Small Business Relief England,Rovtech Systems Ltd,01/04/2005
"Units 7 & 8, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",106552709086N,9800,Small Business Relief England,Mike Hughes Kitchens And Bedrooms Limited,08/07/2013
"Urban Extreme Ltd Indoor Skate Park, James Freel Close, Barrow In Furness, Cumbria, ",104233409205N,44500,Mandatorary Relief,Urban Extreme Ltd,28/07/2014
"Vickerstown Pub, Central Drive, Barrow In Furness, Cumbria, LA14 3HU",102411900192N,14750,Retail Relief,Inn-Assist Limited,18/08/2011
"Vickerstown Pub, Central Drive, Barrow In Furness, Cumbria, LA14 3HU",102411900192N,14750,Small Business Relief England,Inn-Assist Limited,18/08/2011
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Walney Central Pre School,, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",102411901042N,5500,Mandatorary Relief,Walney Central Pre-School,01/09/2013
"Walney Central Rfc,, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101311909060N,3400,Mandatory CASC Relief,Walney Central Arlfc,01/04/1990
"Walney Island Football Club, Ocean Road, Barrow In Furness, Cumbria, LA14 3HN",102106809011N,1425,Mandatory CASC Relief,Walney Island Fc,01/04/1990
"Walney Marine Club, Promenade, Barrow In Furness, Cumbria, LA14 3PE",101254809090N,4500,Small Business Relief England,Walney Marine Club,01/04/1990
"Walney Road Offices (Tb Group Yard), Unit 1, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209068N,6800,Small Business Relief England,Turnstone Consulting Ltd,01/04/2012
"Walney School, Sandy Gap Lane, Barrow In Furness, Cumbria, LA14 3JL",102407209020N,312500,Mandatorary Relief,Walney School,01/04/2010
"Warehouse Adj Bridgegate Garage, Flass Lane, Barrow In Furness, Cumbria, LA13 OBZ",110224209200N,7900,Small Business Relief England,T W & A Pullin Ltd,25/02/2004
"Warehouse And Premises, Tippins Lane, Tippings Lane, Askam In Furness, Cumbria, LA16 7HA",112599002554N,14250,Small Business Relief England,Furness Cars & Commercials Ltd,19/11/1991
"Washington Hotel, Roose Road, Barrow In Furness, Cumbria, LA13 9RG",108359009010N,28000,Retail Relief,Rrwb Ltd T/A Washington Hotel,22/10/2012
,,,,,
"West Mount Lawn Tennis & Bowling, Abbey Road, Barrow In Furness, Cumbria, LA14 5LF",107100109360N,1750,Mandatory CASC Relief,West Mount Tennis & Bowling Club,01/04/1990
"West Shore Bowling Club, 32, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3YF",102106800320N,9700,Small Business Relief England,West Shore Bowling Club,01/04/1990
,,,,,
,,,,,
,,,,,
"White Horse Inn, 6-8, Market Street, Dalton In Furness, Cumbria, LA15 8AT",113187600060N,10350,Retail Relief,Specpride Limited,29/06/2012
"White Horse Inn, 6-8, Market Street, Dalton In Furness, Cumbria, LA15 8AT",113187600060N,10350,Small Business Relief England,Specpride Limited,29/06/2012
,,,,,
,,,,,
,,,,,
"Yarlside Stores, Yarlside Road, Barrow In Furness, Cumbria, LA13 OEY",111478209050N,10500,Retail Relief,Holbeck Stores Limited T/A Yarlside Stores,28/10/2013
"Yarlside Stores, Yarlside Road, Barrow In Furness, Cumbria, LA13 OEY",111478209050N,10500,Small Business Relief England,Holbeck Stores Limited T/A Yarlside Stores,28/10/2013
,,,,,
