Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Care Payments,Social Community Care Supplies & Services  ,06.07.2015,16.08.2015,GPC07150000137,139.99
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521425,Care Payments,Social Community Care Supplies & Services  ,06.07.2015,16.08.2015,GPC07150000138,94.00
Stockport MBC,Services to People,Childrens & Educational Services,TVLICENSING.CO.UK,Care Payments,Social Community Care Supplies & Services  ,06.07.2015,16.08.2015,GPC07150000139,145.50
Stockport MBC,Services to People,Childrens & Educational Services,TVLICENSING.CO.UK,Care Payments,Social Community Care Supplies & Services  ,07.07.2015,16.08.2015,GPC07150000140,145.50
Stockport MBC,Services to People,Childrens & Educational Services,WWW.JUMPNATION.COM,Expenses and Allowances,Catering  ,20.07.2015,16.08.2015,GPC07150000141,62.50
Stockport MBC,Services to Place,Housing (General Fund) Services,CIEH,Staff Training,Human Resources  ,06.07.2015,16.08.2015,GPC07150000142,175.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,VIRGINTRAINS.CO.UK,Travelling Expenses,Human Resources Travel & Subsistence ,22.07.2015,16.08.2015,GPC07150000143,84.00
Stockport MBC,Corporate and Support Services,Central Services to the public,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,07.07.2015,16.08.2015,GPC07150000144,138.95
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,08.07.2015,16.08.2015,GPC07150000145,95.78
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT BED & SO,Care Payments,Social Community Care Supplies & Services  ,06.07.2015,16.08.2015,GPC07150000146,249.80
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,06.07.2015,16.08.2015,GPC07150000147,65.28
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,07.07.2015,16.08.2015,GPC07150000148,18.31
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,07.07.2015,16.08.2015,GPC07150000149,75.38
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,08.07.2015,16.08.2015,GPC07150000150,80.74
Stockport MBC,Services to People,Childrens & Educational Services,DISPUTE REFUND REVERSAL,Care Payments,Social Community Care Supplies & Services  ,09.07.2015,16.08.2015,GPC07150000151,210.00
