VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
St Joseph's Primary School Crossgar,Ballynahinch Road,Crossgar,Down,BT30 9HS,"Newry City, Mourne and Down District",345237,352208,028 4483 0810,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Joseph's Primary School Crumlin,Glenavy Road,Crumlin,Antrim,BT29 4LA,Antrim and Newtownabbey District,314723,375661,028 9442 2345,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Drumquin,Omagh Road,Drumquin,Tyrone,BT78 4QY,Fermanagh and Omagh District,233084,373776,028 8283 1311,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Joseph's Primary School Dungannon,Lurgylea Road,Dungannon,Tyrone,BT70 2NX,Mid Ulster District,271808,366261,028 8775 8204,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Joseph's Primary School Dunloy,Bridge Road,Dunloy,Antrim,BT44 9EF,Causeway Coast and Glens District,301577,418926,028 2765 7270,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Enniskillen,Ardvarney Road,Enniskillen,Fermanagh,BT93 0HA,Fermanagh and Omagh District,222105,364781,028 6863 1403,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Joseph's Primary School Holland Drive,Holland Drive,Belfast,Down,BT5 6EH,Belfast City,337637,373904,028 9065 0039,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Kilkeel,Ballymartin Village,Kilkeel,Down,BT34 4PA,"Newry City, Mourne and Down District",334054,316613,028 4176 2076,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Joseph's Primary School Killeavy,Seafin Road,Newry,Down,BT35 8LA,"Newry City, Mourne and Down District",305304,320909,028 3084 8331,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Killough,Main Street,Killough,Down,BT30 7QD,"Newry City, Mourne and Down District",353477,336713,028 4484 2072,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Joseph's Primary School Lisburn,Castle Street,Lisburn,Antrim,BT27 4XE,Lisburn and Castlereagh District,327178,364454,028 9267 4901,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Lisnaskea,Donagh,Lisnaskea,Fermanagh,BT92 5BG,Fermanagh and Omagh District,239742,330013,028 6772 1077,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Poyntzpass,Chapel Street,Poyntzpass,Down,BT35 6SY,"Armagh City, Banbridge and Craigavon District",305806,339795,028 3831 8261,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Joseph's Primary School Slate Street,Slate Street,Belfast,Antrim,BT12 4LD,Belfast City,332761,373896,028 9032 3683,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Joseph's Primary School Strangford,Downpatrick Road,Strangford,Down,BT30 7LZ,"Newry City, Mourne and Down District",355153,337906,028 4488 1615,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Joseph's Primary School Tyrella Road,Tyrella Road,Downpatrick,Down,BT30 8DF,"Newry City, Mourne and Down District",344183,338060,028 4485 1600,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Julians Road Football Pitch,St Julians Road,Omagh,Tyrone,BT79 7HF,Fermanagh and Omagh District,245956,373787,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Kierans Primary School,Bell Steel Road,Dunmurry,Antrim,BT17 0PB,Belfast City,327443,369855,028 9060 1294,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Killian's College,Tower Road,Larne,Antrim,BT40 1AB,Mid and East Antrim District,341129,402843,,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Killian's GFC,Tullyah Road,Newry,Armagh,BT60 2TG,"Newry City, Mourne and Down District",298862,331292,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Laurence O Toole's Primary School,Main Street,Belleeks,Armagh,BT35 7PH,"Newry City, Mourne and Down District",298724,327187,028 3087 8387,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Lawrences Primary School,Tattymoyle Road,Fintona,Tyrone,BT78 2NR,Fermanagh and Omagh District,243811,360873,028 8284 1427,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Louis Grammar School,Cullybackey Road,Ballymena,Antrim,BT43 5DW,Mid and East Antrim District,310102,403788,028 2565 6113,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
St Louis Grammar School Newry,Newry Road,Kilkeel,Down,BT34 4EU,"Newry City, Mourne and Down District",328918,314662,028 4176 2747,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Louises Comprehensive College,Falls Road,Belfast,Antrim,BT12 6EN,Belfast City,331301,372782,028 9032 5631,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
St Lukes Primary School,Glasvey Drive,Dunmurry,Antrim,BT17 0DB,Belfast City,328072,369336,028 9061 9941,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Macartans Aghadrumsee GFC,Aghadrumsee,Enniskillen,Fermanagh,BT92 7AU,Fermanagh and Omagh District,247486,331381,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Macartans Primary School Loughinisland,Loughinisland Road,Downpatrick,Down,BT30 8PZ,"Newry City, Mourne and Down District",341803,345470,028 4481 1364,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
St Macnisius  Primary School,Chapeltown Road,Tannaghmore,Antrim,BT41 2LD,Antrim and Newtownabbey District,313336,394368,028 2589 8086,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Macnissis College,Garron Tower,Carnlough,Antrim,BT44 0JS,Mid and East Antrim District,329959,423620,028 2888 5202,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Macnissis Primary School Larne,Agnew Street,Larne,Antrim,BT40 1RF,Mid and East Antrim District,340430,402772,028 2827 3571,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Macnissis Primary School Newtownabbey,Christine Road,Newtownabbey,Antrim,BT36 6UE,Antrim and Newtownabbey District,332805,384657,028 9034 2166,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Malachys College,Antrim Road,Belfast,Antrim,BT15 2AE,Belfast City,333257,375377,028 9074 8285,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
St Malachy's GAC,Bells Court,Castledawson,Londonderry,BT45 8BF,Mid Ulster District,293226,392519,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Malachys GFC Youth Club,Dundalk Street,Newtownhamilton,Armagh,BT35 0PB,"Newry City, Mourne and Down District",293080,327365,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Malachy's High School Castlewellan,Dublin Road,Castlewellan,Down,BT31 9AG,"Newry City, Mourne and Down District",333810,336273,028 4377 8255,Education,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Malachy's Primary School Armagh,Chapel Lane,Armagh,Armagh,BT61 7EG,"Armagh City, Banbridge and Craigavon District",287468,344999,028 3752 3847,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Malachys Primary School Belfast,Eliza Street,Belfast,Antrim,BT7 2BJ,Belfast City,334272,373650,028 9032 7460,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Malachy's Primary School Carnagat,Martins Lane,Newry,Down,BT35 8PJ,"Newry City, Mourne and Down District",307424,326385,028 3026 8314,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Malachy's Primary School Castlewellan,Lower Square,Castlewellan,Down,BT31 9DN,"Newry City, Mourne and Down District",333910,336268,028 4377 8537,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Malachys Primary School Coleraine,Beresford Avenue,Coleraine,Londonderry,BT52 1HJ,Causeway Coast and Glens District,285228,431851,028 7034 3780,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Malachys Primary School Downpatrick,Kilclief Road,Strangford,Down,BT30 7PA,"Newry City, Mourne and Down District",358663,344655,028 4488 1477,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Malachys Primary School Magherafelt,Moneyhaw Road,Moneymore,Londonderry,BT45 7XR,Mid Ulster District,286295,379104,028 8673 7132,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Malachys Primary School Newry,Ballymoney Road,Kilcoo,Down,BT34 5HU,"Newry City, Mourne and Down District",328526,333274,028 4377 8331,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Marks High School Warrenpoint,Upper Dromore Road,Warrenpoint,Down,BT34 3PN,"Newry City, Mourne and Down District",314231,319250,028 4175 3366,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Marks Primary School Dunmurry,Gardenmore Road,Dunmurry,Antrim,BT17 0DF,Belfast City,327846,368660,028 9030 1714,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Martins GAC,Longfield Road,Magherafelt,Londonderry,BT45 5LR,Mid Ulster District,284901,391664,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Martins Primary School,Garrison,Enniskillen,Fermanagh,BT93 4AE,Fermanagh and Omagh District,194294,352375,028 6865 8349,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Banahger,Glenshane Road,Feeny,Londonderry,BT47 4TD,Causeway Coast and Glens District,262777,405399,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Marys Bowling Club Desertmartin,Knocknagin Road,Desertmartin,Londonderry,BT45 5LQ,Mid Ulster District,285166,392579,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Marys Boys Primary School Newry,Church Street,Rostrevor,Down,BT34 3BB,"Newry City, Mourne and Down District",318014,318527,028 4173 8450,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Boys Primary School Strabane,Melmount Road,Strabane,Tyrone,BT82 9EF,Derry City and Strabane District,234008,396478,028 7138 2422,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's College Clady,Moygall Road,Portglenone,Londonderry,BT44 8NN,Mid Ulster District,295420,403337,028 2582 1370,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's College Irvinestown,Lisnarick Road,Irvinestown,Fermanagh,BT94 1EL,Fermanagh and Omagh District,223526,358156,028 6862 1318,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Mary's College Londonderry,Fanad Drive,Derry,Londonderry,BT48 9QE,Derry City and Strabane District,242030,416691,028 7136 2154,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's GAA Club Maguiresbridge,Drumgoon,Maguiresbridge,Fermanagh,BT94 4PB,Fermanagh and Omagh District,234330,338460,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's GAC Aghagallon,Colane Road,Aghagallon,Antrim,BT67 9JT,"Armagh City, Banbridge and Craigavon District",310746,363007,028 9265 2499,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's GAC Ahoghill,Crosskeys Road,Ahoghill,Antrim,BT42 2QU,Mid and East Antrim District,303625,398621,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's GAC Faughanvale,Clooney Road,Greysteel,Londonderry,BT47 3DZ,Causeway Coast and Glens District,257465,421213,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's GAC Slaughtmanus,Ervey Road,Eglinton,Londonderry,BT47 3AT,Derry City and Strabane District,252486,415799,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's GFC Burrren,Corrags Road,Burren,Down,BT34 3PY,"Newry City, Mourne and Down District",313555,322373,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Girls Primary School,Melmount Road,Strabane,Tyrone,BT82 9EF,Derry City and Strabane District,233898,396287,028 7138 2765,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Grammar School,Castledawson Road,Magherafelt,Londonderry,BT45 6AX,Mid Ulster District,290074,390852,028 7963 2320,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Mary's Granemore GAC,Granmore,Tassagh,Armagh,BT60 2NN,"Armagh City, Banbridge and Craigavon District",288372,334548,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Hall Newcastle,Main Street,Newcastle,Down,BT33 0AE,"Newry City, Mourne and Down District",337774,331380,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's High School Belleek,Brollagh,Belleek,Fermanagh,BT93 3AH,Fermanagh and Omagh District,194370,355745,028 6665 8257,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Mary's High School Craigavon,Waring Street,Lurgan,Armagh,BT66 6DQ,"Armagh City, Banbridge and Craigavon District",307863,358384,028 3832 2446,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
St Mary's High School Downpatrick,Ardglass Road,Downpatrick,Down,BT30 9JQ,"Newry City, Mourne and Down District",342596,349846,028 4461 2515,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's High School Newry,Upper Chapel Street,Newry,Down,BT34 2DT,"Newry City, Mourne and Down District",309168,325360,028 3026 2851,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
St Mary's Indoor Bowling Club,Irish Street,Killyleagh,Down,BT30 9QS,"Newry City, Mourne and Down District",352636,352507,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Indoor Bowling Club1,The Square,Comber,Down,BT23 5DU,North Down and Ards District,346008,369235,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Marys Limavady,Irish Green Street,Limavady,Londonderry,BT49 9AN,Causeway Coast and Glens District,267267,422811,028 7776 2360,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Marys on the Hill Primary School,Carnmoney Road,Newtownabbey,Antrim,BT36 6JU,Antrim and Newtownabbey District,332013,383099,028 9083 6284,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Park Garrison,Lotone Road,Garrison,Fermanagh,BT93 4ET,Fermanagh and Omagh District,194788,350281,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Primary School  Pomeroy,Cavankeeran Road,Pomeroy,Tyrone,BT70 2RD,Mid Ulster District,269264,372408,028 8775 8541,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Marys Primary School Annalong,Glassdrumman Road,Annalong,Down,BT34 4QN,"Newry City, Mourne and Down District",337580,322081,028 4376 8254,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Primary School Ardglass,Strangford Road,Ardglass,Down,BT30 7SS,"Newry City, Mourne and Down District",357393,340243,028 4484 1766,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Mary's Primary School Aughnacloy,Caledon Road,Aughnacloy,Tyrone,BT69 6AJ,Mid Ulster District,266667,351927,028 8555 7581,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Ballygawley,Whitebridge Road,Ballygawley,Tyrone,BT70 2JH,Mid Ulster District,263127,357628,028 8556 8621,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Ballymagorry,Cloughcor Road,Ballymagorry,Tyrone,BT82 0BE,Derry City and Strabane District,237645,403776,028 7184 1237,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Banbridge,Reilly Park,Banbridge,Down,BT32 3DJ,"Armagh City, Banbridge and Craigavon District",312095,346123,028 4066 2572,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Brookeborough,Brookeborough,Enniskillen,Fermanagh,BT94 4DH,Fermanagh and Omagh District,240881,338794,028 8953 1469,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Primary School Coleraine,Agivey Road,Aghadowey,Londonderry,BT51 4AB,Causeway Coast and Glens District,289572,420525,028 7086 8139,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Primary School Craigavon,Derrymore Road,Craigavon,Armagh,BT67 0BW,"Armagh City, Banbridge and Craigavon District",308244,366605,028 9265 1556,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Cushendall,Middlepark Road,Cushendall,Antrim,BT44 0SQ,Causeway Coast and Glens District,323874,427236,028 2177 1693,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Derrylin,Teemore,Enniskillen,Fermanagh,BT92 9BL,Fermanagh and Omagh District,231438,322249,028 6774 8396,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Mary's Primary School Draperstown,Magherafelt Road,Draperstown,Londonderry,BT45 7AF,Mid Ulster District,292054,392681,028 7962 8588,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Dungannon,Maghery Road,Dungannon,Tyrone,BT71 6PA,"Armagh City, Banbridge and Craigavon District",292560,363238,028 3885 1778,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Jerrettspass,School Road,Jerrettspass,Down,BT34 1SX,"Newry City, Mourne and Down District",307685,332525,028 3082 1503,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
St Mary's Primary School Killesher,Killesher Derrylester PO,Enniskillen,Fermanagh,BT92 3ET,Fermanagh and Omagh District,220205,334059,028 6634 8577,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Killyleagh,Sloane Crescent,Killyleagh,Down,BT30 9RB,"Newry City, Mourne and Down District",352566,353242,028 4482 8542,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Kircubbin,Church Grove,Kircubbin,Down,BT22 2SU,North Down and Ards District,359651,362475,028 4273 8581,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Laught,Claragh Road,Drumquin,Tyrone,BT78 4UD,Fermanagh and Omagh District,236784,375329,028 8283 1305,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Primary School Londonderry,Monadore Road,Claudy,Londonderry,BT47 4DP,Derry City and Strabane District,259066,402456,028 7778 1384,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Primary School Lurgan,Derrytrasna Road,Lurgan,Armagh,BT66 6NR,"Armagh City, Banbridge and Craigavon District",299380,362677,028 3834 0295,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Maguiresbridge,Coolcrannell,Maguiresbridge,Fermanagh,BT94 4RG,Fermanagh and Omagh District,234912,338148,028 6772 1413,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Primary School Mullaghbawn,Maphoner Road,Newry,Down,BT35 9TP,"Newry City, Mourne and Down District",299630,318973,028 3088 8351,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Primary School Newcastle,Beechfield Park,Newcastle,Down,BT33 0BD,"Newry City, Mourne and Down District",337496,331777,028 4372 3730,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Primary School Portglenone,Ballymena Road,Portglenone,Antrim,BT44 8BL,Mid and East Antrim District,298200,403729,028 2582 1426,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Rathfriland,Downpatrick Street,Rathfriland,Down,BT34 5DQ,"Armagh City, Banbridge and Craigavon District",320167,333369,028 4063 0630,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Primary School Saintfield,Old Grand Jury Road,Saintfield,Down,BT24 7JD,"Newry City, Mourne and Down District",341019,358243,028 9751 0758,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's Primary School Tassagh,Granemore Road,Tassagh,Armagh,BT60 2NJ,"Armagh City, Banbridge and Craigavon District",288093,334660,028 3753 8018,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's GAC,Townhill Road,Rasharkin,Antrim,BT42 2QU,Causeway Coast and Glens District,303625,398621,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Mary's Star of the Sea Primary School,Shore Road,Belfast,Antrim,BT15 4HL,Belfast City,334017,379020,028 9037 0023,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Mary's University College,Falls Road,Belfast,Antrim,BT12 6FE,Belfast City,331824,373568,,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Mary's Youth Centre,Obins Street,Portadown,Armagh,BT62 1BT,"Armagh City, Banbridge and Craigavon District",300188,354236,028 3833 7524,Other,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Matthew's GAC Drumsurn,Drumsurn Road,Limavady,Londonderry,BT49 0PX,Causeway Coast and Glens District,272720,416151,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Matthew's Indoor Bowling Club,Bryson Street,Belfast,Antrim,BT5 4ES,Belfast City,335375,374324,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Matthews Primary School Belfast,Seaforde Street,Belfast,Down,BT5 4EW,Belfast City,335307,374299,028 9045 7885,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Matthews Primary School Magheramayo,Dollys Brae,Ballyward,Down,BT31 9AZ,"Armagh City, Banbridge and Craigavon District",329535,337562,028 4065 0311,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Michael's College,Chanterhill Road,Enniskillen,Fermanagh,BT74 6DG,Fermanagh and Omagh District,224823,344660,028 6632 2935,Education,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
St Michael's Community Centre,Belmore Street,Enniskillen,Fermanagh,BT74 6AA,Fermanagh and Omagh District,223765,344072,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Michael's GAC Lissan,Tullynure,Cookstown,Tyrone,BT80 9XH,Mid Ulster District,278974,382943,,Club,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
St Michael's GAC Magheralin,Ballymacbredan Road,Magheralin,Down,BT67 0QU,"Armagh City, Banbridge and Craigavon District",311832,358880,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Michael's GFC Newtownhamilton,Dundalk Road,Newtownhamilton,Armagh,BT35 0PR,"Newry City, Mourne and Down District",293186,327311,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Michael's Grammar School Lurgan,Mount St Michael,Lurgan,Armagh,BT67 9JW,"Armagh City, Banbridge and Craigavon District",308902,359988,028 3832 3192,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
St Michael's Primary School Belfast,Ravenhill Road,Belfast,Antrim,BT6 0BW,Belfast City,335070,372046,028 9049 1529,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
St Michael's Primary School Finnis,Rathfriland Road,Dromara,Down,BT25 2EE,"Armagh City, Banbridge and Craigavon District",328524,347634,028 9753 2404,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Molaise Park,Bridge Street,Irvinestown,Fermanagh,BT94 1DT,Fermanagh and Omagh District,223973,358441,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Moninna's GAC,Forkhill Road,Newry,Armagh,BT35 8QX,"Newry City, Mourne and Down District",307101,322764,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Nailes Primary School,Kinawley,Enniskillen,Fermanagh,BT92 4FJ,Fermanagh and Omagh District,223064,330806,028 6774 8371,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Nicholas  Primary School Ardglass,Downpatrick Road,Ardglass,Down,BT30 7SF,"Newry City, Mourne and Down District",355438,337866,028 4484 1343,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Nicholas  Primary School Carrickfergus,Minorca Place,Carrickfergus,Antrim,BT38 8AU,Mid and East Antrim District,340812,387318,028 9335 1149,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Olcans Primary School,Glenshesk Road,Armoy,Antrim,BT53 8RJ,Causeway Coast and Glens District,306886,432865,028 2075 1518,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
St Oliver Plunkett Beragh,Laragh Road,Beragh,Tyrone,BT79 0TH,Fermanagh and Omagh District,254025,366896,028 8075 8594,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
St Oliver Plunkett Primary School Armagh,Ballyhegan Road,Kilmore,Armagh,BT61 8PX,"Armagh City, Banbridge and Craigavon District",293313,352011,028 3889 1495,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
St Oliver Plunkett Primary School Belfast,Glen Road,Belfast,Antrim,BT11 8AY,Belfast City,328361,371555,028 9080 6777,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
