Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031299,7821.93
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031299,3117.64
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031326,97732.03
HMRC,HMRC,14/07/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031339,75026.46
HMRC,HMRC,14/07/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031339,269.11
HMRC,HMRC,14/07/2011,Project admin/plan,BT Enabling,Capita Resourcing Ltd,SL6 1DP,5100031419,25150.51
HMRC,HMRC,14/07/2011,IT Value for Money Services,Information Management Services,Specialist Computer Ctr,B11 2LE,5100031718,242257.68
HMRC,HMRC,14/07/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031745,48267.12
HMRC,HMRC,14/07/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031748,145196.23
HMRC,HMRC,14/07/2011,CHURN,Estates & Support Services,Exchequer Partnership Plc,M41 7HG,5100031752,27160.97
HMRC,HMRC,14/07/2011,Oth PFI unitary chrg,Estates & Support Services,LR Stockport Ltd,W1U 8EW,5100031756,167228
HMRC,HMRC,14/07/2011,CHURN,Estates & Support Services,Exchequer Partnership Plc,M41 7HG,5100031758,27160.97
HMRC,HMRC,14/07/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,W1U 8EW,5100031761,845381.3
HMRC,HMRC,14/07/2011,Oth PFI unitary chrg,Estates & Support Services,Cochrane Square S P V LTD,W1U 8EW,5100031765,173935.52
HMRC,HMRC,14/07/2011,Oth PFI unitary chrg,Estates & Support Services,Haymarket SPV Ltd,W1U 8EW,5100031766,170308.67
HMRC,HMRC,14/07/2011,CHURN,Estates & Support Services,Exchequer Partnership Plc,M41 7HG,5100031771,27160.97
HMRC,HMRC,14/07/2011,Filtered Mains Drinking Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031776,30213.6
HMRC,HMRC,14/07/2011,Filtered Mains Drinking Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031790,31155
HMRC,HMRC,14/07/2011,Dept forms Stock,Commercial Directorate,Paragon UK (Print) Ltd,WF10 5QS,5100031791,28308.96
HMRC,HMRC,14/07/2011,Interpretation,Customer Contact,Thebigword Interpreting,LS12 6AB,5100031826,69069.67
