Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,MEMBERSHIP SUBSCRIPTIONS,HISTORIC LIABILITIES,COMPANY BARCLAYCARD,0000179152,196.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,OUTSOURCED MANAGEMENT-ESTATES,HISTORIC LIABILITIES,ATKINS LIMITED,0000178624,"3,216.65"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,OUTSOURCED MANAGEMENT-ESTATES,HISTORIC LIABILITIES,ATKINS LIMITED,0000179096,767.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,RATES PAYABLE,HISTORIC LIABILITIES,BRITISH GAS BUSINESS,0000179010,303.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,COMMISSION CHARGES-E-COMMERCE,INDEMNITIES,STREAMLINE,0000178771,125.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,LICENSING,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,LICENSING,COMPANY BARCLAYCARD,0000179156,148.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,LICENSING,CAPGEMINI UK PLC,0000178917,"1,178.18"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,PUBLICATIONS,LICENSING,DAWSON BOOKS,0000178618,215.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CGEY SERVICE LEVEL AGREEMENT,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178917,"4,098.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,STREAMLINE,0000178771,672.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,WORLDPAY LIMITED,0000178863,326.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,BRITISH TELECOMMUNICATION,0000178851,"4,329.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178920,"6,555.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,E-COMMERCE DEVELOPMENTS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178917,"10,475.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,MINING INFORMATION COMMERCIAL,COMPANY BARCLAYCARD,0000179155,50.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,MINING INFORMATION COMMERCIAL,COMPANY BARCLAYCARD,0000179156,166.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178917,"110,000.30"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178918,215.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000178919,"1,259.33"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ORDNANCE SURVEY,0000178958,"7,829.67"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,KEY PERSONNEL GROUP LIMIT,0000179068,837.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,KEY PERSONNEL GROUP LIMIT,0000179069,882.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,KEY PERSONNEL GROUP LIMIT,0000179070,722.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,KEY PERSONNEL GROUP LIMIT,0000179091,816.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/01/2011,SITE SECURITY,MINING INFORMATION COMMERCIAL,KINGS ARMOURED SEC SERVS,0000178620,157.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,MINING INFORMATION TECHNICAL,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,MINING INFORMATION TECHNICAL,LEAPFROG DAY NURSERIES LT,0000178893,50.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,MINING INFORMATION TECHNICAL,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION TECHNICAL,STREAMLINE,0000178771,68.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/11/2010,IT SERVICES - OPERATIONS,MINING INFORMATION TECHNICAL,OCE (UK) LIMITED,0000177670,"14,850.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,MINING INFORMATION TECHNICAL,CAPGEMINI UK PLC,0000178917,"3,534.53"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,MINING INFORMATION TECHNICAL,CAPGEMINI UK PLC,0000178920,"1,655.33"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/01/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION TECHNICAL,OCE (UK) LIMITED,0000178103,"1,323.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/01/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION TECHNICAL,OCE (UK) LIMITED,0000178613,"-1,323.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION TECHNICAL,OCE (UK) LIMITED,0000178808,866.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,TRAINING AND EDUCATION,MINING INFORMATION TECHNICAL,COMPANY BARCLAYCARD,0000179141,62.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CENTRAL TRAINING BUDGET,PERSONNEL,NEBOSH CERTIFICATE IN CON,0000179037,"1,038.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CENTRAL TRAINING BUDGET,PERSONNEL,RISK & SAFETY MANAGEMENT,0000179092,595.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CHILDCARE VCHRS-SERVICE CHARGE,PERSONNEL,LEAPFROG DAY NURSERIES LT,0000179194,145.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONSULTANCY,PERSONNEL,RENOVO EMPLOYMENT GROUP,0000178715,"1,200.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,CONSULTANCY,PERSONNEL,RENOVO EMPLOYMENT GROUP,0000178756,"2,300.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CONSULTANCY,PERSONNEL,RENOVO EMPLOYMENT GROUP,0000178806,150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/02/2011,CONSULTANCY,PERSONNEL,RENOVO EMPLOYMENT GROUP,0000179040,700.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,CONSULTANCY,PERSONNEL,RENOVO EMPLOYMENT GROUP,0000179190,249.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,E-COMMERCE DEVELOPMENTS,PERSONNEL,COMPUTERS IN PERSONNEL LT,0000178916,"1,204.07"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,SALARY PROCESSING FEES,PERSONNEL,LOGICACMG UK LIMITED,0000178706,281.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,STAFF MEDICALS,PERSONNEL,RPS BUSINESS HEALTHCARE,0000179034,"1,386.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,STAFF MEDICALS,PERSONNEL,BUPA WELLNESS FINANCE,0000179184,519.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/02/2011,STAFF MEDICALS,PERSONNEL,BUPA WELLNESS FINANCE,0000179033,519.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,PLANNING & LOCAL AUTH LIAISON,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,PLANNING & LOCAL AUTH LIAISON,LEAPFROG DAY NURSERIES LT,0000178893,130.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,ANTHONY NORTHCOTE PLANNIN,0000178732,358.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,ANTHONY NORTHCOTE PLANNIN,0000178910,358.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,ANTHONY NORTHCOTE PLANNIN,0000179074,358.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - AIR,PLANNING & LOCAL AUTH LIAISON,COMPANY BARCLAYCARD,0000179156,147.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,INCIDENTALS,PLANNING & LOCAL AUTH LIAISON,COMPANY BARCLAYCARD,0000179144,24.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,PLANNING & LOCAL AUTH LIAISON,CAPGEMINI UK PLC,0000178919,"9,000.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,PLANNING & LOCAL AUTH LIAISON,BADENOCH & CLARK,0000179043,"1,401.68"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/01/2011,TRAINING AND EDUCATION,PLANNING & LOCAL AUTH LIAISON,IIR LIMITED,0000178669,"3,200.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,TRAINING AND EDUCATION,PLANNING & LOCAL AUTH LIAISON,SHEFFIELD HALLAM UNIVESRS,0000178730,"1,520.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,TRAINING AND EDUCATION,PLANNING & LOCAL AUTH LIAISON,CENTRAL LAW TRAINING,0000179030,95.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,TRAINING AND EDUCATION,PLANNING & LOCAL AUTH LIAISON,CENTRAL LAW TRAINING,0000179031,95.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,TRAINING AND EDUCATION,PLANNING & LOCAL AUTH LIAISON,YORKSHIRE CONFERENCE SERI,0000179032,445.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000178793,"3,763.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000178811,"3,296.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/12/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000178812,"4,736.40"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,DLA PIPER UK LLP,0000179012,414.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000178811,"2,562.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/12/2010,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000178812,693.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,ANDERSON STRATHERN,0000178850,977.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,OTHER CONTRACTOR COSTS,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000178792,"4,236.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,PROFESSIONAL SERVICES (WRA),PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000178798,737.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,WERNICK HIRE LIMITED,0000178654,79.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,WERNICK HIRE LIMITED,0000178655,88.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000178670,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000178670,490.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LLETTYSHENKIN CONS CO LTD,0000178685,214.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,W MARLEY AGRICULTURAL CON,0000178718,"1,280.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LOWTHER FORESTRY GROUP LI,0000179095,182.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LLETTYSHENKIN CONS CO LTD,0000179135,847.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LLETTYSHENKIN CONS CO LTD,0000179136,426.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000179200,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000179200,440.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,RSTRTN CLSED COLLRY SITE-UTLSD,PROPERTY MANAGEMENT & SALES,CRIMEFIGHTER ALARMS LTD,0000178766,"1,434.42"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,RSTRTN CLSED COLLRY SITE-UTLSD,PROPERTY MANAGEMENT & SALES,OVENDEN PLANT HIRE LIMITE,0000178898,"1,260.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,RSTRTN CLSED COLLRY SITE-UTLSD,PROPERTY MANAGEMENT & SALES,OVENDEN PLANT HIRE LIMITE,0000178899,26.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,RECORDS STORAGE,CAPGEMINI UK PLC,0000178917,"3,534.53"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,RECORD STORAGE,RECORDS STORAGE,PHS DATASHRED,0000178928,"2,363.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,SHE/CDM,COMPANY BARCLAYCARD,0000179156,173.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,HEALTH & SAFETY GROUP,SHE/CDM,CEDREC INFORMATION SYSTEM,0000179067,550.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,SHE/CDM,COMPANY BARCLAYCARD,0000179162,55.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,SHE/CDM,COMPANY BARCLAYCARD,0000179164,55.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000178807,9.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000179039,55.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,SAFETY CLOTHING,SHE/CDM,COMPANY BARCLAYCARD,0000179163,163.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - AIR,SOLICITOR,COMPANY BARCLAYCARD,0000179156,224.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000178682,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000178704,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000178762,8.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000178813,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000178862,10.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000178883,10.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000178922,32.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000179075,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,LEGAL COSTS,SOLICITOR,FEES ASSOCIATED WITH CONFERENCE,0000179090,"9,353.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000179189,12.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000179193,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000179231,8.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000179232,-5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/02/2011,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000179233,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000179234,34.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000179235,24.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/02/2011,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000179236,8.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,MEMBERSHIP SUBSCRIPTIONS,SOLICITOR,CAPITA BUSINESS SERVICES,0000178614,"1,745.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,MILEAGE PAYMENTS,SOLICITOR,COMPANY BARCLAYCARD,0000179140,-201.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,TRAINING AND EDUCATION,SOLICITOR,COMPANY BARCLAYCARD,0000179141,395.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CGEY SERVICE LEVEL AGREEMENT,SUBSIDENCE,CAPGEMINI UK PLC,0000178917,"2,561.25"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CURR YR ADDNS SUBS PMPNG STNS,SUBSIDENCE,KNOTTINGLEY TO GOWDALL ID,0000178591,"1,475.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CURR YR ADDNS SUBS PMPNG STNS,SUBSIDENCE,ASHFIELDS & WEST MOOR I.D,0000179066,"54,289.68"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LEGAL COSTS,SUBSIDENCE,DLA PIPER UK LLP,0000179012,"24,855.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,JEREMY BENN ASSOCIATES LT,0000178315,"25,371.30"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,JEREMY BENN ASSOCIATES LT,0000178316,"18,117.45"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,HATFIELD CHSE INTNL DRNGE,0000178438,"1,148.16"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,HATFIELD CHSE INTNL DRNGE,0000178439,465.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,HATFIELD CHSE INTNL DRNGE,0000178440,464.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,KNOTTINGLEY TO GOWDALL ID,0000178588,150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,KNOTTINGLEY TO GOWDALL ID,0000178589,934.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,KNOTTINGLEY TO GOWDALL ID,0000178590,265.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,NPOWER,0000178692,186.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,OUSE&DERWNT INTERN DRAING,0000178693,"4,665.12"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,OUSE&DERWNT INTERN DRAING,0000178694,"3,741.43"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/01/2011,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,OUSE&DERWNT INTERN DRAING,0000178695,"6,466.34"
