Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,GASES,FUSION,BOC LTD,5100332096,41.10
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332420,203.93
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,ARCHIVING & RECORDS,SUPPORT SERVICES,BOX-IT UK LTD,5100331806,2003.29
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,MATERIALS & SPARES,FUSION,BRAMMER UK LTD,5100331579,30.28
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PLANT SPARES,FUSION,BRITE PRECISION,5100331518,4106.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PLANT SPARES,FUSION,BRITE PRECISION,5100331756,2983.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PLANT SPARES,FUSION,BRITE PRECISION,5100331975,935.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332393,761.72
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332394,203.19
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332395,55.39
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332396,79.83
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332398,477.69
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332399,1506.59
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100332401,659.62
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,F&F,SUPPORT SERVICES,Broadstock Office Furniture Ltd,5100331913,190.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,F&F,SUPPORT SERVICES,Broadstock Office Furniture Ltd,5100332120,656.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,F&F,SUPPORT SERVICES,Broadstock Office Furniture Ltd,5100332254,-576.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,F&F,SUPPORT SERVICES,Broadstock Office Furniture Ltd,5100332662,172.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,F&F,FUSION,Broadstock Office Furniture Ltd,5100331655,832.00
