Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012505," £3,624 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012585," £35,917 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012592," £33,855 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012504," £4,964 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,External Legal Advice,International Energy & Climate Change - International Climate Change Negotiations,BANK OF ENGLAND,4012577," £4,468 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,ARGUS MEDIA LTD,4012570," £3,994 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,ARGUS MEDIA LTD,4012570," £2,056 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,ARGUS MEDIA LTD,4012570," £1,649 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012595," £38,610 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012598," £33,720 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4012552," £3,667 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4012622, £609 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,ADECCO UK LTD,4012615, £527 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012627," £1,436 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012627," £1,436 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012625," £1,286 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012626, £732 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4012668," £24,227 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE SCOTTISH GOVERNMENT,4012749," £40,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Centrally Funded Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE BDP MEDIA GROUP LTD,4012547," £9,600 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,SMARTSOURCING PLC,4012634," £2,936 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SENIOR CCS SOLUTIONS LTD,4012667," £1,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4012707, £574 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Economic Consultancy & Research,Corporate Support & Shared Services - Corporate Support & Shared Services,REDPOINT ENERGY LTD,4012368," £4,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,POSSIBILITY AS,4012410," £1,064 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Technical Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PARSONS BRINCKERHOFF LTD,4012649," £21,375 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Media Services,National Climate Change & Consumer Support - Communications,PA PHOTOS LTD T/A PRESS ASSOCIATION IMAGES,4012405," £5,640 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4012446," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012674," £1,152 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012671, £867 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012717, £759 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012672, £746 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4012660, £707 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012662, £695 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012728, £666 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012663, £662 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012665, £658 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012690, £643 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012223, £642 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012729, £639 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012719, £596 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012673, £534 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4012661, £504 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012670," £1,010 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4012732," £1,381 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4012682," £20,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4012681," £16,862 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4012684," £14,703 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4012713," £9,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4012713," £9,200 "
