Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,STAR-APIC UK,0000175399,2000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,STAR-APIC UK,0000175399,3707.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175868,105725.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175869,1166.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175869,66.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ORDNANCE SURVEY,0000176009,6623.40,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,ROYALTIES,MINING INFORMATION COMMERCIAL,NERC,0000175898,24867.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SITE SECURITY,MINING INFORMATION COMMERCIAL,KINGS ARMOURED SEC SERVS,0000175534,157.07,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION TECHNICAL,STREAMLINE,0000175628,45.53,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION TECHNICAL,CAPGEMINI UK PLC,0000175868,3450.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,MINING INFORMATION TECHNICAL,KODAK LIMITED,0000175883,2850.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION TECHNICAL,HOLLAND LIFT SERVICES LTD,0000175724,150.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION TECHNICAL,COVERGOLD LIMITED,0000176010,1244.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,OFFICE MACHINERY PURCHASED,MINING INFORMATION TECHNICAL,A2B OFFICE TECHNOLOGY LTD,0000175873,200.01,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,CENTRAL TRAINING BUDGET,PERSONNEL,RISK & SAFETY MANAGEMENT,0000176008,595.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/10/2010,CENTRAL TRAINING BUDGET,PERSONNEL,PURCHASE OF NEBOSH REVISI,0000176195,54.05,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,CENTRAL TRAINING BUDGET,PERSONNEL,RECLAIM VAT DOC 173343,31001362,-302.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,PERSONNEL,DLA PIPER UK LLP,0000175858,327.56,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,PENSION PROCESSING FEES,PERSONNEL,DWP-JOB CENTRE PLUS NO 1,0000175872,809.63,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SALARY PROCESSING FEES,PERSONNEL,LOGICACMG UK LIMITED,0000175613,281.26,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,ANTHONY NORTHCOTE PLANNIN,0000176011,358.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,ANTHONY NORTHCOTE PLANNIN,0000176012,430.43,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,PLANNING & LOCAL AUTH LIAISON,CAPGEMINI UK PLC,0000175870,66.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,RECEIPTED MEALS,PLANNING & LOCAL AUTH LIAISON,COMPANY BARCLAYCARD,0000176229,3.32,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000175678,2532.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000175680,5096.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,COOKE & ARKWRIGHT,0000176157,1999.58,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,COOKE & ARKWRIGHT,0000176158,63.28,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/09/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000175625,806.15,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,COURT HEARING FEE AND LISTING,0000175727,1100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000175857,5857.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,DLA PIPER UK LLP,0000175858,67.56,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,ANDERSON STRATHERN,0000175861,152.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/09/2010,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000175625,1809.03,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,NABARRO LLP,0000175857,2553.26,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,LEGAL FEES - SALES,PROPERTY MANAGEMENT & SALES,ANDERSON STRATHERN,0000175861,75.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,OTHER CONTRACTOR COSTS,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000175679,4085.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,OTHER CONTRACTOR COSTS,PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000175681,3296.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,OUTSOURCED MGT- PROP SALES,PROPERTY MANAGEMENT & SALES,SMITHS GORE,0000175670,232.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,OUTSOURCED MGT- PROP SALES,PROPERTY MANAGEMENT & SALES,COOKE & ARKWRIGHT,0000176159,1076.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,PROFESSIONAL SERVICES (WRA),PROPERTY MANAGEMENT & SALES,JMC ENGINEERING (UK) LTD,0000175683,1333.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000175538,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000175538,470.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,WERNICK HIRE LIMITED,0000175540,77.14,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,INTEGRATED WATER SERVICES,0000176089,7745.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,ENVIRONMENTAL SCIENTIFICS,0000176090,18.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LOWTHER FORESTRY GROUP LI,0000176163,2832.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,PROPERTY /TIP MAINTENANCE,PROPERTY MANAGEMENT & SALES,LOWTHER FORESTRY GROUP LI,0000176164,865.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,RATES PAYABLE,PROPERTY MANAGEMENT & SALES,SEVERN TRENT WATER,0000176088,16.35,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,RENTS PAYABLE,PROPERTY MANAGEMENT & SALES,BIANNUAL RENT 10 DURHAM S,0000175610,1.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,RENTS PAYABLE,PROPERTY MANAGEMENT & SALES,WEST LOTHIAN COUNCIL,0000176097,58.33,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,RSTRTN CLSED COLLRY SITE-UTLSD,PROPERTY MANAGEMENT & SALES,CRIMEFIGHTER ALARMS LTD,0000175722,1618.35,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,RSTRTN CLSED COLLRY SITE-UTLSD,PROPERTY MANAGEMENT & SALES,M T S CLEANSING SERVICES,0000176083,350.53,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,RECORDS STORAGE,CAPGEMINI UK PLC,0000175868,3450.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,RECORDS STORAGE,CAPGEMINI UK PLC,0000175870,166.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CAR HIRE,SHE/CDM,ENTERPRISE RENT A CAR,0000175710,2.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/10/2010,HEALTH & SAFETY GROUP,SHE/CDM,H & S QUIZ,31001417,100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175597,59.89,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175604,24.62,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175605,129.81,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175606,16.34,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175615,36.58,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175874,30.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175876,-12.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175882,39.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175884,38.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000175889,57.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,SAFETY CLOTHING,SHE/CDM,ARCO LIMITED,0000176096,37.12,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,SAFETY CLOTHING,SHE/CDM,COMPANY BARCLAYCARD,0000176215,21.28,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/10/2010,SAFETY CLOTHING,SHE/CDM,HEALTHY WORKSTATIONS LIMI,0000176244,45.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175552,21.56,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175553,20.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175601,10.78,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175638,38.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175685,43.12,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175771,26.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175772,16.17,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175773,5.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,SOLICITOR,ARVAL PHH,0000175774,10.78,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175775,320.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175776,8.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175777,16.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000175778,20.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,LEGAL COSTS,SOLICITOR,NABARRO LLP,0000175857,2812.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000175897,5.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176098,5.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000176121,4.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176134,16.17,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176170,5.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/10/2010,LEGAL COSTS,SOLICITOR,LAND REGISTRY,0000176241,8.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176245,5.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176246,43.02,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/10/2010,LEGAL COSTS,SOLICITOR,MDA SEARCHFLOW LTD,0000176247,21.66,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,MEMBERSHIP SUBSCRIPTIONS,SOLICITOR,PRACTISING CERTIFICATES F,0000176120,876.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,PUBLICATIONS,SOLICITOR,SWEET & MAXWELL,0000175527,631.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,BRIDGEWATER-UTILISED,SUBSIDENCE,THE BRIDGEWATER CANAL CO,0000175637,3684.06,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,BRIDGEWATER-UTILISED,SUBSIDENCE,THE BRIDGEWATER CANAL CO,0000175999,149.26,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,BRIDGEWATER-UTILISED,SUBSIDENCE,ATKINS LIMITED,0000176000,3276.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CGEY SERVICE LEVEL AGREEMENT,SUBSIDENCE,CAPGEMINI UK PLC,0000175868,2500.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,SUBSIDENCE,DLA PIPER UK LLP,0000175858,13137.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,SCOTTISH POWER PLC,0000175347,58.79,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,INTEGRATED WATER SERVICES,0000175396,154.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,INTEGRATED WATER SERVICES,0000175538,1387.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,SOUTHERN ELECTRIC,0000175573,340.28,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,SOUTHERN ELECTRIC,0000175669,735.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,EDF ENERGY 1 LIMITED,0000175703,690.70,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,EDF ENERGY 1 LIMITED,0000175704,461.44,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,EDF ENERGY 1 LIMITED,0000175781,427.17,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175782,243.70,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175783,277.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175784,421.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175785,186.18,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175786,39.01,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175787,12.11,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175788,820.47,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175789,388.19,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175790,274.83,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175791,520.22,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175792,37.52,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175812,-1090.66,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175813,-92.01,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175814,-78.84,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175815,292.01,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175816,19.29,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175823,-80.90,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175824,-81.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175825,-87.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175826,-83.08,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175827,-78.94,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175828,-93.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175829,-85.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175830,-75.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175831,-80.23,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175832,-78.04,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,SUB PUMP STATN MAINT-UTILISED,SUBSIDENCE,BRITISH GAS BUSINESS,0000175833,-79.51,,
