Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CONSULTANT LINE ARCHITECTS LTD,163845,297.73 ,,KT3 9DZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,DROPTESTKITS.COM LTD,163849,1000.00 ,,NN6 0LA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,IT Managed Service Contracts - Online,Marketing & Communications - UK Trade and Investments,CAKE SOLUTIONS LTD,163886,763.22 ,,SK5 6DA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Research and Development Costs - Inward Investment Research,Investment Group - UK Trade and Investments,DELOITTE LLP,163888,15800.00 ,,MK9 1FD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,AERODNA LTD,163889,500.00 ,,L3 5RF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Design Services - Sector Events - UK,Strategic Trade - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163890,35.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Design Services - Sector Events - UK,Strategic Trade - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163890,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Design Services - Sector Events - UK,Trade Development - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163892,280.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,TENDER MANAGEMENT CONSULTANCY LTD,163893,500.00 ,,L5 9PR,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Design Services - Sector Events - Abroad,Trade Development - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163894,70.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Design Services - Sector Events - Abroad,Trade Development - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163894,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,ASKAM CONSTRUCTION LTD,163896,500.00 ,,LA2 0HY,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,INTERCAPS FILLING SYSTEMS LTD,163897,1000.00 ,,EH28 8SY,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,163906,49697.04 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,163907,13763.65 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,163909,12075.00 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163913,265.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163913,2492.50 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Professional Subscriptions - Passport Development & Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163913,3120.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Training - General - Gateway to Global Growth,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163914,250.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Recoveries Account - Balance Sheet,Corporate Payments,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,163917,1894.68 ,,CF3 0LW,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Staff Consultants - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,ADECCO UK LTD,163834,731.29 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,THE BUSINESS JOURNALS,163840,42742.74 ,,NC 28202,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,THE BUSINESS JOURNALS,163841,42742.74 ,,NC 28202,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,VIADEO,163865,7815.55 ,,75009,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,163881,10010.00 ,,SW1H 0DJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Printing Costs - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,BELLMAN MEDIA LTD,163882,14300.00 ,,TN34 1BG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163911,16479.46 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163915,1163.23 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163915,1278.82 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Photographic Services - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,75.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Stand Space/rental costs - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,110.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Photographic Services - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,131.22 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Photographic Services - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,370.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,646.75 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,950.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,1646.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,4000.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163916,5390.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Scheme Management Charges - Export Market Research Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,163919,33333.33 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Printed Publications - Trade Development Support,Strategic Trade - UK Trade and Investments,RYGAARD LTD,163921,348.00 ,,HP5 2PN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Scheme Management Charges - Export Communications Review,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,163922,8333.33 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Printed Publications - Trade Development Support,Strategic Trade - UK Trade and Investments,BILL HENDERSON LVO MBE,163924,403.00 ,,TW16 5QP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Authoring and Copywriting Costs - Online,Marketing & Communications - UK Trade and Investments,TONY GREENWAY,163925,300.00 ,,YO19 5UQ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,MENZIES HOTELS OPERATING LTD T/A MENZIES CAMBRIDGE HOTEL AND GOLF CLUB,163926,1558.33 ,,CB23 8EU,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Event Management - Inward Missions,Trade Development - UK Trade and Investments,EMAP LTD,163929,26554.00 ,,NW1W 8DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Basic Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),163930,24000.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),163931,8160.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163932,70.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163933,630.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163934,140.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163936,175.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163937,945.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163938,140.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163939,253.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163940,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,10/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163941,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Event Management - Outward missions,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163020,1323.23 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Promotional Materials - Asia Task Force,Strategic Trade - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163735,245.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,DOW JONES & COMPANY INC,163879,33260.26 ,,08543-0300,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,GREG CORBETT ASSOCIATES LTD,163895,5322.36 ,,SW1W 0NR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,GREG CORBETT ASSOCIATES LTD,163895,26611.80 ,,SW1W 0NR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,MOTHER LONDON LTD,163942,2057.34 ,,E2 7DD,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,MOTHER LONDON LTD,163943,448.78 ,,E2 7DD,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,MOTHER LONDON LTD,163944,443.74 ,,E2 7DD,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Research and Development Costs - Trade Marketing Events,Trade Development - UK Trade and Investments,NOTTINGHAM CONSULTANTS LTD,163945,2791.67 ,,NG1 4BU,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163946,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163947,140.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163948,240.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,163949,140.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/08/2012,Professional Subscriptions - Trade Marketing Publicity,Marketing & Communications - UK Trade and Investments,THE NEWSPAPER LICENSING AGENCY LTD,163950,4894.45 ,,TN1 1NL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
