Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,3624.19,Editorial,DL1 9HB,Large,114345
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,2828.96,Editorial,DL1 9HB,Large,114351
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,2419.05,Editorial,DL1 9HB,Large,115178
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,2385.93,Editorial,DL1 9HB,Large,115185
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,1915.40,Editorial,DL1 9HB,Large,114346
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,1687.50,Editorial,DL1 9HB,Large,115184
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,134.17,Editorial,DL1 9HB,Large,118359
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,76.77,Editorial,DL1 9HB,Large,110947
Cabinet Office,Central Office of Information,15/11/2011,Print and Paper,Direct and Relationship Marketing,Jenova Ltd,10165695,26400.00,Acquisition stationery and print,RG9 1HG,SME,117410
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Direct and Relationship Marketing,Careline Services Ltd,10165696,148125.07,Other DRM expense with contractors,W4 5QB,SME,118086
Cabinet Office,Central Office of Information,15/11/2011,Print and Paper,Direct and Relationship Marketing,Jenova Ltd,10165697,66000.00,Acquisition stationery and print,RG9 1HG,SME,118211
Cabinet Office,Central Office of Information,15/11/2011,Monitoring,MMU,Kantar Media Intelligence Ltd,10165766,49999.98,Monitoring,EC2A 2JX,Large,114047
Cabinet Office,Central Office of Information,15/11/2011,Events Management,Live Events,Event Marketing Solutions Ltd,10165805,165737.05,Framework Agency Costs,CH65 4LQ,SME,117636
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,17315.28,Response handling account/systems mgt fees,SL9 0GA,Large,118517
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,16176.80,Inbound telephone handling: dedicated,SL9 0GA,Large,118517
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,1845.00,Retention outbound phone,SL9 0GA,Large,118517
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,950.00,DRM website/microsite maintenance/update,SL9 0GA,Large,118517
