Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,725.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,750.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,PPM (Project & Programme Management)-Trade Development External Advisers (Autumn Statement),Trade Group - Operations Directorate,MICHAEL BEAR DEVELOPMENTS LTD,75725,-960.00,,N3 1SP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Other Goods/Services-Trade Development Support,Trade Group - Construction,SCOTTISH ENTERPRISE GLASGOW,75729,3570.00,,G2 6HQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Other Goods/Services-Trade Development Support,Trade Group - Construction,SCOTTISH ENTERPRISE GLASGOW,75729,150603.75,,G2 6HQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Recoveries Account - Other payables-Default,Corporate Payments,UKTI OMIS SERVICE,75731,756.00,,NP10 8QQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,PREMIERE CONFERENCING IRELAND LTD,75758,183.50,,,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,ACT TELECONFERENCING LTD,75762,113.85,,HA1 1BE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,75763,4.82,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,ACT TELECONFERENCING LTD,75765,91.55,,HA1 1BE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,ACT TELECONFERENCING LTD,75767,27.07,,HA1 1BE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,ACT TELECONFERENCING LTD,75770,115.80,,HA1 1BE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Media Costs-Mid-Sized Business Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75772,2315.40,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Research and Development Expenditure-UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,OMB RESEARCH LTD,75790,16065.00,,ME19 6DZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Research and Development Expenditure-UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,OMB RESEARCH LTD,75792,4780.00,,ME19 6DZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Conference and Exhibition Services-Trade Marketing Events,Defence and Security Organisation - Business Development,EVENTS IN FOCUS LTD,75800,8500.00,,SE1 9EU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Taxi Services UK-Africa and Emerging Markets (Autumn Statement),"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75804,5.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Rail Travel UK-Africa and Emerging Markets (Autumn Statement),"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75804,22.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Staff Costs-Other Programme Costs,Trade Group - Operations Directorate,DWP (DEPARTMENT FOR WORK AND PENSIONS),75811,1394.83,,FY5 3TA,WGA ONLY,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,STEPHENSON & BLAKE LTD,75812,875.00,,S9 3QA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Current Grants To Private Sector - NPISH-TAP Solo Support Scheme,Trade Group - Partnerships & Business,MUNRO INSTRUMENTS LTD,75813,1250.00,,IG8 8EY,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Conference and Exhibition Services-Sector Events - UK,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,75814,-4570.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SCARLET INNOVATIONS LTD,75815,609.62,,BH24 1QN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Trade Marketing Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75816,199.19,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Trade Marketing Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75816,400.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Trade Marketing Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75816,628.75,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,NORTONICS FOXTAM LTD,75817,1526.97,,GU15 2QR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Office Service Costs-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75818,10878.88,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Market Visit Scheme,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75819,1960.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75819,4050.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Market Visit Scheme,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75819,8361.59,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75819,14475.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CERTIKIN INTERNATIONAL LTD,75820,2499.84,,OX28 4FJ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Mid-Sized Business Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75821,1878.79,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Marketing - Promotional Materials-Mid-Sized Business Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75821,10280.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Facilities Management Contract-Mid-Sized Business Events,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,75821,11417.51,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,WARD RECYCLING LTD,75822,1357.99,,TS6 6TX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,GOSPELWARE LTD,75823,635.62,,NE8 1AN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Other Media Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,ACT TELECONFERENCING LTD,75824,21.52,,HA1 1BE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,REDBACKS CUSHIONING LTD T/A CL-7 LTD,75825,750.00,,NN11 8PQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EDEN HALLS GREENHOUSES LTD,75833,3000.00,,GL52 7RS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other ICT Costs-UKTI Programme Admin,Chief Operating Officer - IT and Finance,DAISY COMMUNICATIONS LTD,75834,49.92,,BB9 5SR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,75836,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,75837,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MEGRONTECH LTD,75838,270.99,,SN5 7EX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MEGRONTECH LTD,75838,805.66,,SN5 7EX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ISLE UTILITIES,75847,487.39,,EC4A 2AB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ENERGYDECK LTD,75848,69.31,,EC2A 2BB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ENERGYDECK LTD,75849,457.32,,EC2A 2BB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ENERGYDECK LTD,75850,377.63,,EC2A 2BB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,DIVERCITY LONDON LTD,75852,3000.00,,N1 6NH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PLUMIS LTD,75856,807.43,,EC4Y 0HJ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CHANGE BOARD HOLDINGS LTD,75860,3000.00,,SW12 9ER,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,10EIGHTY LTD,75862,192.18,,EC4A 2AB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ISLE UTILITIES,75863,794.48,,EC4A 2AB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,NVIZIBLE LTD,75864,1644.14,,W1D 3BP,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ENERG+ LTD T/A ROISPRESSO,75865,524.57,,EC1V 4PW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hotel & Accommodation Overseas-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75872,4.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Subsistence UK-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75872,21.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Subsistence Overseas-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75872,37.70,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hotel & Accommodation Overseas-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75875,7.33,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Taxi Services Overseas-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75875,10.23,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Subsistence Overseas-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75875,38.18,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Subsistence UK-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",75878,10.50,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
