Entity,GL Date,Merchant name,Amount,Description
EA,11/04/2016,RADMORE & TUCKER,1397.89,"Stihl chainsaw, bar and chains to be held in store at Alverdiscott Depot for use by the North Devon Field Services team when undertaking treework"
EA,12/04/2016,AVS FENCING SUPPLIES L,599.76,Chestnut rails for fencing around structure at Henfield
EA,13/04/2016,WWW.REACTEC.COM,2414.4,"Hand held computer, monitor and fixing kit as part of a hand arm vibration monitoring system."
EA,13/04/2016,G & J PECK,519.7,Four industrial batteries for Earith Sluice
EA,14/04/2016,PP C TECH UNIT,2500,Survey work for new camera sites as part of a CCTV system
EA,14/04/2016,XYLEM ANALYTICS UK LTD,541.2,"Four battery packs for M9 River surveyor, two for Tewkesbury Office and two for Kidderminster"
EA,14/04/2016,CLAD SAFETY,693.9,Three pairs of  chest waders 
EA,14/04/2016,CLAD SAFETY,1156.5,Five pairs of  chest waders 
EA,14/04/2016,HIRE STATION LTD,1460.4,Two grinders and three drills for Northfleet Depot.
EA,14/04/2016,PREMIER INN44014930,994.88,Accommodation for three people for four nights whilst conducting asset inspections in the Greater Manchester Area
EA,14/04/2016,WWW.SITEMANAGEMENT,1703.99,Two days National Examination Board in Occupational Safety and Health training course for one person.
EA,14/04/2016,WWW.BBOFFICESUPPLIES.C,701.1,Ergonomic chair for member of staff following work based health assessment.
EA,14/04/2016,CIVIL SERVICE,533,Meeting room at the Civil Service Club in London for 20 people attending a National Environmental Assessment team meeting 
EA,15/04/2016,ALLENS WASTE DISPOSAL,1116.96,Skip for Altmouth pumping station to take weed from channel so that pumps can operate
EA,15/04/2016,A & M DEFENCE,576,Inspection of riverside anchor points at Salisbury and Chilhampton
EA,15/04/2016,BORDER TRAILERS,2592,"Fit out EA box trailer for carrying Robocut grass cutting machine with guards, shelving, storage boxes, gas spring and fans in roof"
EA,15/04/2016,WELCO,2160,Gas bottle store at Ely depot to comply with regulations
EA,15/04/2016,BROADBERRY DATA SYSTEM,1356,Installation and training on the configuration and use of a new storage device for use on the Geomatics Network.
EA,15/04/2016,NORTH EAST LABORATORY,786,Disposal of waste lab chemicals
EA,15/04/2016,ELSEVIER SCIENCE LTD,2132.49,Publication of jointly funded research and evaluation of fish passage efficiency for lamprey at Buttercrambe.
EA,15/04/2016,RICS COM GBP CYBS,1176,Royal Institution of Chartered Surveyors continuing professional development foundation subscription for seven subscribers.
EA,15/04/2016,WWW.FORESTFUELS.CO.UK,1176,Wood pellets for biomass water heater at Bradney Depot.
EA,15/04/2016,CREWSAVER,1152,Ten lifejackets for the environmental monitoring teams
EA,15/04/2016,A.1. ROPES & RIGG,814.98,Five adjustable grillons to be used with safety harneses
EA,15/04/2016,ABARIS INTERNATIONAL L,1275.52,Six harneses for working on Weir trash screens
EA,15/04/2016,SEPD PLC,2180.38,Electrical installations at Chippenham Ladyfield
EA,15/04/2016,ENTWISTLE,631.51,Urgent printing to meet deadline of documentation required for an appeal which could not be handled internally
EA,15/04/2016,CONFERENCE ASTON LTD,2070,"One day hire of two rooms for fifty people, including lunch and refreshments, for an air quality workshop."
EA,15/04/2016,SIG,660,Steel reinforcing for concrete flood wall Great Yarmouth Harbour
EA,15/04/2016,NORWICH INSTRUMENT SER,1456.03,Cable detection unit for use between Happishburgh and Winterton beach
EA,15/04/2016,Hilti (Gt. Britain) Lt,813.24,Two drills for Ely Field team staff to carry out fencing work
EA,15/04/2016,EXCELERTETECHNOLGY,1440,Annual license fee for video fees from two incident command vehicles
EA,15/04/2016,WWW.MPSURVEY.CO.UK,3599.94,"Renewal of Leica survey equipment firmware support, plus a new survey pole and battery"
EA,15/04/2016,BRETT AGGREGATES LTD,1461.61,Stone for use relaying pumping station road.
EA,15/04/2016,BRETT AGGREGATES LTD,1488,Stone for use relaying pumping station road.
EA,15/04/2016,STERLING GP LIMITED,1356,Reversing lights and synthetic winch rope for new lorry
EA,15/04/2016,GRAINGER TUBOLT LTD,793.61,Thirty tubular bars 3 metres long used around assets for public and operational safety.
EA,15/04/2016,BRYAN HADDOW LTD,2400,Bespoke large double metal gate created and installed at Basinghyll depot in Cumbria following damage to the previous gate.
EA,15/04/2016,SURVITEC GRIMSBY,666.42,Service and repair of 24 life jackets 
EA,15/04/2016,MACDONALD BEAR HOTEL,600,"Two days room hire for six people, including lunch and refreshments, for a monitoring services leadership team meeting."
