Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,103.83
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,103.83
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,297790,104
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,104.25
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46955,107.11
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46955,110.61
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,R.S.P LTD,302370,110.9
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,PLACE MAKING,DENTON WILDE SAPTE,301876,111.06
Communities and Local Government,Homes and Communities Agency,19/08/2010,RECORDS/TELELINKING,FINANCE & CORPORATE SERVICES,EXCEL COURIERS,301752,112.24
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,113.79
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,116.1
Communities and Local Government,Homes and Communities Agency,31/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,PORTMAN,47741,118.96
Communities and Local Government,Homes and Communities Agency,31/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,PORTMAN,47741,118.96
Communities and Local Government,Homes and Communities Agency,31/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,PORTMAN,47741,118.96
Communities and Local Government,Homes and Communities Agency,31/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,PORTMAN,47741,118.98
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,122.18
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-127.56
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-127.57
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,140.9
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46956,146.37
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,148
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,WEST MIDLANDS,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,299348,150
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,151.72
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,152.1
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,152.8
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,154
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,157.89
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,CPS FACILITIES & MAINTENANCE SERVICES,300339,158
Communities and Local Government,Homes and Communities Agency,05/08/2010,LAND MAINT-AWAITING DEV/ DISP,NORTH EAST,SHS LTD,298873,165
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,EAST COAST MAIN LINE,47532,167.5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,EAST COAST MAIN LINE,47532,167.5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,EAST COAST MAIN LINE,47532,167.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,R.S.P LTD,300422,170
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,171.22
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,173
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,187.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,NORTH EAST,LEX AUTOLEASE LTD,302402,190.37
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,191
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,193.44
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,PLACE MAKING,LEX AUTOLEASE LTD,300885,198.16
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-202.76
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-202.77
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,208
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46956,210.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,FINANCE & CORPORATE SERVICES,LEX AUTOLEASE LTD,302199,212.95
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46956,213.49
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,214.32
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46955,214.46
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,217.3
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,218.27
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,WEST MIDLANDS,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,299348,220
Communities and Local Government,Homes and Communities Agency,12/08/2010,SUBSISTENCE,EXECUTIVE OFFICE,DOLPHIN HOUSE,301592,220
Communities and Local Government,Homes and Communities Agency,26/08/2010,SUBSISTENCE,EXECUTIVE OFFICE,DOLPHIN HOUSE,303139,220
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,220.56
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,222.93
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,295460,223
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROPERTY,PLACE MAKING,EURO CAR PARKS LIMITED,299621,226.68
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,295460,229
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47545,230
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47545,234
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47545,234
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,235.2
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302577,237.72
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,SOUTH WEST,ALPHABET (GB) LTD,301045,241.18
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,298533,242.58
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,R.S.P LTD,302370,245
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,245
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,NORTH EAST,LEX AUTOLEASE LTD,302402,245.36
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,249
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,249
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47545,249
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES - DEVELOPMENT MGNT,NORTH WEST,PEOPLE - PROPERTY - SOLUTIONS,300974,249.4
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,298533,249.91
Communities and Local Government,Homes and Communities Agency,19/08/2010,VANDAL DAMAGE,SOUTH EAST,R KINGE PROPERTY MAINTENANCE LTD,300399,250
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,301373,252
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,252
Communities and Local Government,Homes and Communities Agency,19/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,TECHCLEAN SERVICES LTD,301749,252.9
Communities and Local Government,Homes and Communities Agency,19/08/2010,SUNDRIES,FINANCE & CORPORATE SERVICES,TECHCLEAN SERVICES LTD,301749,252.9
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,255.22
Communities and Local Government,Homes and Communities Agency,26/08/2010,DATA AND VOICE NETWORKS,FINANCE & CORPORATE SERVICES,VODAFONE CORPORATE,303106,258.56
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,301429,261.8
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298873,264
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,MILTON KEYNES PARTNERSHIP,LEX AUTOLEASE LTD,300738,267.88
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,PLACE MAKING,LEX AUTOLEASE LTD,300885,268.1
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,273.41
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,PLACE MAKING,MISCO,46956,274.02
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298873,275
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,275.73
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302903,280
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,281.72
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,R.S.P LTD,295460,284
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302577,286.52
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,FINANCE & CORPORATE SERVICES,LEX AUTOLEASE LTD,302199,287.71
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,300396,288.1
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,289.95
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,SOUTH WEST,ALPHABET (GB) LTD,301045,290.47
Communities and Local Government,Homes and Communities Agency,12/08/2010,RECORDS/TELELINKING,FINANCE & CORPORATE SERVICES,KPF COURIERS,301407,292.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROJ SPECIFIC FEES & PRELIMS,SOUTH EAST,DRIVERS JONAS DELOITTE,301048,297.39
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,303.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,314.24
Communities and Local Government,Homes and Communities Agency,19/08/2010,VANDAL DAMAGE,SOUTH EAST,R KINGE PROPERTY MAINTENANCE LTD,300399,315
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,319.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,319.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,326.48
Communities and Local Government,Homes and Communities Agency,19/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,EXCEL COURIERS,301752,336.71
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,337.58
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,WEST MIDLANDS,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,299348,340
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE DIAMOND TRAVEL,46823,340
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,342.31
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302577,343.42
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,343.98
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,345.16
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,345.63
Communities and Local Government,Homes and Communities Agency,12/08/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,ADJ LTD,300718,345.83
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,351.4
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,300396,352.6
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE DIAMOND TRAVEL,46823,363
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,GROSVENOR TRAVEL MANAGEMENT,302511,365.75
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,SOUTH WEST,WBC AUTOMOTIVE LTD,47874,371.43
Communities and Local Government,Homes and Communities Agency,12/08/2010,EXTERNAL BUILDING MAINTENANCE,PLACE MAKING,J W OUSBY & SON LTD,301127,381
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,WEST MIDLANDS,EVERSHEDS LLP,301428,382
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,CPS FACILITIES & MAINTENANCE SERVICES,300339,400
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS ITINERANT PREVENTION,EAST OF ENGLAND,CPS FACILITIES & MAINTENANCE SERVICES,302616,400
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS ITINERANT PREVENTION,EAST OF ENGLAND,CPS FACILITIES & MAINTENANCE SERVICES,302616,400
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,400.17
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,400.57
Communities and Local Government,Homes and Communities Agency,12/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,MPULSE LIMITED,301696,403.1
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,404.34
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302902,408.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,412.74
