SUPPLIER NAME,?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER ID
NOWCOMM LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,01/03/2013,224031,643.04,100399
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,28/03/2013,225511,642.07,101885
FORD & SLATER LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,28/03/2013,226083,641.99,101381
DST OUTPUT (NOTTINGHAM) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,28/03/2013,225850,640,101863
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225536,632.24,101890
IDOX SOFTWARE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224761,625,100738
EUROTECH ENVIRONMENTAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226091,625,100854
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,08/03/2013,224754,625,101779
RAINWORTH COMMUNITY JUDO CLUB,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORTS DEVELOPMENT & EVENTS,22/03/2013,225587,618.74,101904
INTEGRATED BUILDING MANAGEMENT SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224726,618,100227
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,LEGAL FEES COURTS,22/03/2013,225507,615.93,101891
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GAS,15/03/2013,225077,613.76,100113
LINCOLNSHIRE RESCUE KENNELS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,22/03/2013,225360,613.42,100282
GYM REPAIR SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,22/03/2013,225413,612.72,101714
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,28/03/2013,226161,612,100243
SEVERN TRENT WATER LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,METERED WATER CHARGE,15/03/2013,224964,611.82,100487
NEWARK ALARM SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,08/03/2013,224587,610,100364
ROBERT MARSHALL LANDSCAPING,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,22/03/2013,225583,610,101908
CLASSIC DRINKS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,28/03/2013,226136,608.88,100794
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,28/03/2013,225835,607.86,100840
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225627,605.49,100349
NEWARK ADVERTISER CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ADVERTISING,01/03/2013,224081,602.5,100363
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,28/03/2013,226137,600,100329
SHERWOOD SIGNMAKERS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,XPERIENCE ADVERTISING,01/03/2013,224221,600,100496
PARKS AND PLAYGROUND SOLUTIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,15/03/2013,225156,600,101034
FORD & SLATER LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,15/03/2013,224996,600,101381
WATER AT WORK (MIDLANDS) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,EQUIPMENT FOR RESALE,01/03/2013,224309,599.72,101921
JOHNSTON SWEEPERS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,28/03/2013,226081,597.9,100250
JOHNSTON SWEEPERS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,01/03/2013,224075,596.4,100250
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,EH MINOR DEFAULT WORKS,08/03/2013,224647,595,100333
BAZZOO LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,ADVERTISING,22/03/2013,225427,595,101372
JOHNSTON SWEEPERS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,28/03/2013,226074,591.9,100250
UK WASTE SOLUTIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,28/03/2013,226131,580.73,100579
GENERAL LITESEARCH LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,28/03/2013,226171,577.5,101688
SEVERN TRENT WATER LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,METERED WATER CHARGE,28/03/2013,225911,572.86,100487
WILLSONS PRINTERS (NEWARK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EXTERNAL PRINTING,08/03/2013,224678,565.63,100607
BAILEY-WHITTINGHAM,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ADVERTISING,22/03/2013,225540,560,100028
ACCESS SERVICE AND REPAIR LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224191,560,101847
6TH NEWARK SEA SCOUT GROUP,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORTS DEVELOPMENT & EVENTS,15/03/2013,224926,560,101846
ESPO,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,REPAIRS AND MAINTENANCE,28/03/2013,225992,558,100154
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACTUAL SERVICES,28/03/2013,225853,557.5,100366
GENERAL LITESEARCH LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224104,556.5,101688
COUNTY SIGN AGENCY,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ADVERTISING,15/03/2013,225016,553.75,100115
MORGAN TUCKER LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224756,550,101883
RICHARD COX MEAL VOUCHERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/03/2013,225014,549,100454
CLASSIC DRINKS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,01/03/2013,224088,548.39,100794
LINCOLNSHIRE RESCUE KENNELS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/03/2013,224148,548.08,100282
UNITED KINGDOM DODGEBALL ASSOCIATION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PARISH CNCLS AND VOL BODIES,28/03/2013,226209,548,101919
CATERSHIELD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,01/03/2013,224322,547.51,101853
CHARTERED INSTITUTE OF HOUSING,NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,PROFESSIONAL SERVICES,15/03/2013,225057,547,101480
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224716,543.29,101312
COOPER PLUMBING,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,22/03/2013,225563,540.96,100110
RICHARD COX MEAL VOUCHERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,22/03/2013,225631,540,100454
THE HELPING HAND COMPANY,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,OTHER EQUIPMENT AND TOOLS,28/03/2013,226192,538.6,101915
SWIMRITE SUPPLIES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,28/03/2013,226045,537.99,100531
FIRST FLOORING SPECIALISTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,08/03/2013,224720,537.5,101665
RICHARD COX MEAL VOUCHERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,08/03/2013,224654,537,100454
EDMUNDSON ELECTRICAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224303,535.04,101640
WILLSONS PRINTERS (NEWARK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EXTERNAL PRINTING,08/03/2013,224675,533.98,100607
DISCLOSURE & BARRING SERVICE,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,08/03/2013,224774,528,101817
SANDICLIFFE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,MATERIALS,15/03/2013,224991,522.03,100479
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,28/03/2013,226155,519,100243
JH TRAINING & DEVELOPMENT,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,22/03/2013,225356,518.4,100244
INTERSERVE FM LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,DEBTOR REFUNDS,15/03/2013,225103,516.88,101876
NEWARK ALARM SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,225120,510,100364
RICHARD COX MEAL VOUCHERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,08/03/2013,224653,510,100454
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,15/03/2013,225082,509.61,100113
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CPU DECRIM PAYMENTS,15/03/2013,225010,509,101245
OLD HALL NURSERIES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,28/03/2013,225953,506.25,100405
BLAKE LAPTHORN,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225035,500,101851
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,28/03/2013,225845,500,101857
REBEL ROOS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,28/03/2013,226123,500,101905
FERNWOOD PETANQUE CLUB,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORTS DEVELOPMENT & EVENTS,22/03/2013,225358,500,101865
TV INSTALLATION SERVICES (MANSFIELD)LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225917,499,100577
NEWARK ADVERTISER CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ADVERTISING,08/03/2013,224655,497.25,100363
NEWARK ADVERTISER CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,MARKET TOWN INITIATIVE,01/03/2013,224117,497.25,100363
TRISEC LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,225138,495,100982
MORLEY'S OF BICESTER LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,REPAIRS AND MAINTENANCE,28/03/2013,225931,490,101884
INNOVATIVE SAFETY SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,OTHER EQUIPMENT MAINTENANCE,28/03/2013,226187,487,101017
G4S CASH SOLUTIONS (UK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,22/03/2013,225618,483.37,100731
WATER AT WORK (MIDLANDS) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,EQUIPMENT FOR RESALE,01/03/2013,224306,472.12,101921
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226238,469.35,101404
CHUBB FIRE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,22/03/2013,225377,468.1,101855
J WILKINS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,01/03/2013,224022,463.83,100236
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,28/03/2013,225855,453.23,100840
NEWARK ADVERTISER CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ADVERTISING,15/03/2013,225055,450.5,100363
NEWARK ALARM SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224286,450,100364
TV INSTALLATION SERVICES (MANSFIELD)LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224734,450,100577
TV INSTALLATION SERVICES (MANSFIELD)LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,22/03/2013,225521,450,100577
IOSH,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,01/03/2013,224014,440,101877
ESPO,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CLEANING MATERIALS,15/03/2013,225137,435.5,100154
J P LENNARD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,28/03/2013,226122,433,100234
MERTRUX LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,01/03/2013,224217,431.05,100304
ADT FIRE AND SECURITY PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226257,429.71,101477
RVS GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,28/03/2013,226223,422,101676
PTS PLUMBING TRADE SUPPLIES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226243,419.94,101748
NEWARK SECURITY SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,15/03/2013,225012,417.6,100371
