Supplier,Amount,Payment Date
D CATCHESIDES LTD,22173.5,19/02/2014
DAISY COMMUNICATIONS LTD,3369.04,20/02/2014
DARTFORD METALCRAFTS,1968,03/02/2014
DARUMIAN INVESTMENT CO LTD,4000,14/02/2014
DATA CARS (DESPATCH) LTD,713.8,19/02/2014
DATA CARS (DESPATCH) LTD,629.7,19/02/2014
DATA CARS (DESPATCH) LTD,577.12,21/02/2014
DC (UK) LTD,3468,06/02/2014
DE VERE VENUES LTD,5193,21/02/2014
DERWEN COLLEGE,8299,19/02/2014
DERWEN COLLEGE,8299,19/02/2014
DISPLAY WIZARD LTD,1603.19,07/02/2014
DIVA CREATIVE LIMITED,2160,20/02/2014
DIVA UK LIMITED,585.6,03/02/2014
DIVERSE ABILITIES PLUS LTD,601.52,12/02/2014
DUKERIES HEALTHCARE LTD,3429.96,28/02/2014
DURABLE CONTRACTS LTD,66306.5,26/02/2014
DURABLE CONTRACTS LTD,63774.79,26/02/2014
EAMONN DILLON COACHING LTD,4000,06/02/2014
EASYLETT PROPERTY MANAGEMENT LIMITED,1843.13,14/02/2014
EASYMOVE E A LTD,1600.04,13/02/2014
EDF ENERGY,117588.28,11/02/2014
EDF ENERGY,35566,26/02/2014
EDF ENERGY CUSTOMERS PLC,1621.58,05/02/2014
