Resource/Capital,Budget Boundary,Category,PESA dept group (excl splits),Dept group alias (excl splits),NAC,Economic category,Code,Code description,SBI,Activity,Spending programme,April 2010 MTH,May 2010 MTH,June 2010 MTH,July 2010 MTH,August 2010 MTH,September 2010 MTH,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,S4001,Other,PIXDC56A,PIXDC56A  PIX S175560 Environmental Protection n.e.c.,SBIIX,,SBIIX Devolved spending,-710,-351,"-2,146",-452,-219,-412,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,S7001,Other,PIXDC16C,PIXDC16C  PIX S175160 General Public Service n.e.c.,SBIIX,,SBIIX Devolved spending,-2,-2,0,-2,0,0,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,W1501,Other,PIXDC11B,PIXDC11B  PIX S175111 Executive & Legislative Organs,SBIIX,,SBIIX Devolved spending,97,97,30,0,27,17,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,W1501,Other,PIXDN11H,PIXDN11H  PIX S175111 Executive & Legislative Organs,SBIIX,,SBIIX Devolved spending,0,47,59,0,0,36,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,W4001,Other,PIXDCRRF,PIXDCRRF PIX S177200 RRI Borrowing - Interest,SBIIX,,SBIIX Devolved spending,0,0,0,0,"19,403",0,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,W9001,Other,PIXDCRAC,PIXDCRAC PIX S177100 Regional Rates,SBIIX,,SBIIX Devolved spending,"-46,965","-46,965","-46,965","-46,965","-46,965","-46,965",,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,W9001,Other,PIXDCRRA,PIXDCRRA  PIX S177200 Reinvestment & Reform Initiative,SBIIX,,SBIIX Devolved spending,0,0,0,0,0,0,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,X1601,Other,PIXDC31A,PIXDC31A PIX S175310 Police Services,SBIIX,,SBIIX Devolved spending,0,0,0,0,38,-38,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,X1601,Other,PIXDC82A,PIXDC82A  PIX S175820 Cultural Services,SBIIX,,SBIIX Devolved spending,0,-10,0,9,-1,0,,,
Resource,DEL,Prog,Northern Ireland Executive,Northern Ireland Executive,X1601,Other,PIXDN31A,PIXDN31A PIX S175310 Police Services,SBIIX,,SBIIX Devolved spending,0,0,0,-3,22,-128,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,A1501,Pay,P4016DP0,P40The Saville Inquiry DEL programme,SBI40,ACT0601,SBI40 ACT06 Bloody Sunday Inquiry,13,13,15,0,1,0,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,A1501,Pay,P4003DP0,P40Political Directorate DEL programme,SBI40,ACT0801,SBI40 ACT08 Other,181,160,211,185,195,99,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,A1501,Pay,P4031XP0,P40Northern Ireland Human Rights Commission Non-budget,SBI40,ACT0801,SBI40 ACT08 Other,0,160,88,90,94,72,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B3501,Gross current procurement,P4016DP0,P40The Saville Inquiry DEL programme,SBI40,ACT0601,SBI40 ACT06 Bloody Sunday Inquiry,154,263,101,191,301,84,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B3501,Gross current procurement,P4003DP0,P40Political Directorate DEL programme,SBI40,ACT0801,SBI40 ACT08 Other,525,"1,107",711,884,608,927,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B3501,Gross current procurement,P4031XP0,P40Northern Ireland Human Rights Commission Non-budget,SBI40,ACT0801,SBI40 ACT08 Other,0,95,21,38,26,61,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B3502,Income from sales of goods and services,P4003DP0,P40Political Directorate DEL programme,SBI40,ACT0801,SBI40 ACT08 Other,393,-484,-72,-14,-45,-52,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B3502,Income from sales of goods and services,P4031XP0,P40Northern Ireland Human Rights Commission Non-budget,SBI40,ACT0801,SBI40 ACT08 Other,0,0,-33,-1,0,0,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B9001,Depreciation ,P4016DP0,P40The Saville Inquiry DEL programme,SBI40,ACT0601,SBI40 ACT06 Bloody Sunday Inquiry,0,0,2,-2,0,0,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B9001,Depreciation ,P4003DP0,P40Political Directorate DEL programme,SBI40,ACT0801,SBI40 ACT08 Other,25,25,25,25,26,26,,,
Resource,DEL,Prog,Northern Ireland Office,Northern Ireland Office,B9001,Depreciation ,P4031XP0,P40Northern Ireland Human Rights Commission Non-budget,SBI40,ACT0801,SBI40 ACT08 Other,0,10,8,7,4,6,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDACL1,PSXAgricultural Services,SBISX,,SBISX Devolved spending,"2,089","2,090","2,093","2,122","2,126","2,122",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDADA1,PSXAgriculture & Fisheries Basic Research,SBISX,,SBISX Devolved spending,"1,316","1,316","1,316","1,316","1,428","1,428",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDADEA,PSXFishing and Hunting,SBISX,,SBISX Devolved spending,0,0,0,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDBAB1,PSXLandscape Protection - SNH & NPs Resource,SBISX,,SBISX Devolved spending,"3,503","2,443","2,408","2,439","2,414","2,505",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDBBC1,PSXEnvironmental Protection - CG,SBISX,,SBISX Devolved spending,480,480,480,492,492,492,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDCAA5,PSXOther Social Housing Development - CG,SBISX,,SBISX Devolved spending,266,280,280,280,280,280,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDDAE2,PSXEducation - LTS & SQA Resource,SBISX,,SBISX Devolved spending,"1,970",0,0,745,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDDAG1,PSXEducation n.e.c. - CG,SBISX,,SBISX Devolved spending,"1,250","1,250","1,250","1,242","1,254","1,252",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDDBF2,PSXScottish Social Services Council Resource,SBISX,,SBISX Devolved spending,0,0,400,650,0,400,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDEAAA,"PSXCultural Organisations Resource - incl NGS, NLS, NMS",SBISX,,SBISX Devolved spending,"2,964","2,964","3,096","2,964","2,964","3,107",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDEAC3,PSXSportscotland Resource,SBISX,,SBISX Devolved spending,341,341,341,341,341,341,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDEAD6,PSXVisit Scotland Resource,SBISX,,SBISX Devolved spending,595,595,595,595,595,595,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDEAF1,PSXScottish Museums Council,SBISX,,SBISX Devolved spending,"2,290","2,290","2,290","2,290","2,350","2,350",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFAF1,PSXStudent Awards Agency Scotland & SL,SBISX,,SBISX Devolved spending,263,263,263,263,263,263,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFBD1,PSXScottish Higher Education Funding Council Resource,SBISX,,SBISX Devolved spending,204,285,193,216,246,262,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFCD1,PSXScottish Further Education Funding Council Resource,SBISX,,SBISX Devolved spending,204,285,193,216,246,262,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFDF1,PSXScottish Enterprise Resource,SBISX,,SBISX Devolved spending,"3,558","3,558","3,558","3,558","3,558","3,558",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFEF1,PSXHighlands & Islands Enterprise Resource,SBISX,,SBISX Devolved spending,928,928,928,928,928,928,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDFOK3,PSXSkills Development Scotland Ltd (formerly SUfi),SBISX,,SBISX Devolved spending,"7,000","4,400","6,600","6,600","6,600","6,600",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDIAAA,PSXHealth - NHS Boards & Hospital Services,SBISX,,SBISX Devolved spending,"498,177","498,169","498,169","498,169","498,169","498,175",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDIOBB,PSXNursing & Convalescent Home Services,SBISX,,SBISX Devolved spending,"2,519","2,517","2,517","2,517","2,517","2,517",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJAA1,"PSXScottish Law Courts, Commissions & Tribunals",SBISX,,SBISX Devolved spending,"5,329","4,710","4,816","4,723","4,718","10,765",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJAB1,PSXLegal Aid & SCRA Resource,SBISX,,SBISX Devolved spending,"2,374","2,374","2,374","2,374","2,374","2,374",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJCA1,PSXPrisons,SBISX,,SBISX Devolved spending,"17,862","17,863","17,863","17,863","17,863","17,863",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJDE1,PSXPolice Services - CG,SBISX,,SBISX Devolved spending,"1,444","1,453","1,444","1,444","1,527","1,527",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJDE3,PSXScottish Police Services - Resource,SBISX,,SBISX Devolved spending,"8,883","8,883","8,883","8,883","8,883","8,883",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJEA1,PSXFire Protection Services,SBISX,,SBISX Devolved spending,55,57,57,57,57,57,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJHC1,PSXPublic Order and Safety n.e.c. - CG,SBISX,,SBISX Devolved spending,235,235,235,235,235,235,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDJHC7,PSXPublic Order and Safety - SCCRC & PLRC Resource,SBISX,,SBISX Devolved spending,112,32,32,112,32,32,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDKAAA,PSXAdministration & Associated Depts,SBISX,,SBISX Devolved spending,"17,645","17,648","17,662","13,950","17,690","17,689",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDNAA1,PSXELL & FCSD general public services,SBISX,,SBISX Devolved spending,380,380,380,380,406,406,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDNCD4,PSXMiscellaneous Committees And Commissions,SBISX,,SBISX Devolved spending,13,28,29,18,23,23,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDPAA1,PSXCrown Office,SBISX,,SBISX Devolved spending,"5,755","5,751","5,749","5,940","6,099","5,910",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDQAA1,PSXForestry Commission Policy Reg & Admin - Goods & Services,SBISX,,SBISX Devolved spending,420,420,420,460,440,440,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDRAA1,PSXFood Standards Agency,SBISX,,SBISX Devolved spending,213,213,213,213,216,216,,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDSAA1,PSXScottish Parliament Wages & Salaries,SBISX,,SBISX Devolved spending,"3,476","3,476","3,475","3,471","3,500","3,506",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXDZJC2,PSXScottish Courts Service - Judicial Salaries,SBISX,,SBISX Devolved spending,"2,495","2,495","2,495","2,495","2,495","2,495",,,
Resource,DEL,Prog,Scotland,Scottish Executive,A1501,Pay,PSXNBBA1,PSXSEPA Resource,SBISX,,SBISX Devolved spending,"4,000",0,0,"2,000","3,500","4,500",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDABE1,PSXLandscape Protection,SBISX,,SBISX Devolved spending,14,15,14,15,14,15,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDABJ2,PSXResearch & Development - Agriculture,SBISX,,SBISX Devolved spending,250,250,323,350,350,700,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDACC1,PSXRBG Resource,SBISX,,SBISX Devolved spending,0,0,0,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDACL1,PSXAgricultural Services,SBISX,,SBISX Devolved spending,"1,699","1,460","1,805","1,552","1,168",989,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDADA1,PSXAgriculture & Fisheries Basic Research,SBISX,,SBISX Devolved spending,"7,410","1,934","7,755","1,934","7,755","1,934",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDADEA,PSXFishing and Hunting,SBISX,,SBISX Devolved spending,328,655,904,655,654,905,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDBAB1,PSXLandscape Protection - SNH & NPs Resource,SBISX,,SBISX Devolved spending,"4,484","3,440","2,445","2,440","2,445","3,530",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDBBB1,PSXWaste Management - CG,SBISX,,SBISX Devolved spending,"1,039","1,541","1,128","1,379","1,299","1,112",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDBBC1,PSXEnvironmental Protection - CG,SBISX,,SBISX Devolved spending,"2,627","2,422","2,702","5,553","2,584","11,335",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDBBG1,PSXPollution Abatement - CG,SBISX,,SBISX Devolved spending,0,0,0,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDCAA5,PSXOther Social Housing Development - CG,SBISX,,SBISX Devolved spending,"5,911","5,911","5,911","5,911","5,911","5,911",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDCAIA,PSXResearch & Development - Housing - CG,SBISX,,SBISX Devolved spending,467,457,457,457,457,457,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDCCA1,PSXCommunity Development - CG,SBISX,,SBISX Devolved spending,211,206,409,181,201,214,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDCCC1,PSXSocial Protection n.e.c. - CG,SBISX,,SBISX Devolved spending,260,260,230,290,268,238,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDCZA1,PSXEconomic Affairs n.e.c.,SBISX,,SBISX Devolved spending,3,0,0,105,19,57,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDDAE2,PSXEducation - LTS & SQA Resource,SBISX,,SBISX Devolved spending,"3,600",0,"1,870",725,600,600,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDDAG1,PSXEducation n.e.c. - CG,SBISX,,SBISX Devolved spending,346,351,346,343,343,381,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDDBF2,PSXScottish Social Services Council Resource,SBISX,,SBISX Devolved spending,0,0,"2,000",0,0,"2,000",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAAA,"PSXCultural Organisations Resource - incl NGS, NLS, NMS",SBISX,,SBISX Devolved spending,"6,648","6,648","6,711","6,648","6,648","6,722",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAC1,PSXRecreational & Sporting Services (CG),SBISX,,SBISX Devolved spending,300,300,300,300,300,300,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAC3,PSXSportscotland Resource,SBISX,,SBISX Devolved spending,"2,442","2,442","2,442","2,442","2,442","2,442",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAD6,PSXVisit Scotland Resource,SBISX,,SBISX Devolved spending,"2,905","2,905","2,905","2,905","2,905","2,905",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAF1,PSXScottish Museums Council,SBISX,,SBISX Devolved spending,"8,906","5,230","6,319","6,729","5,850","7,027",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDEAF8,PSXBroadcasting and Publishing Services,SBISX,,SBISX Devolved spending,398,398,398,398,398,398,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFAF1,PSXStudent Awards Agency Scotland & SL,SBISX,,SBISX Devolved spending,"1,117",683,669,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFBD1,PSXScottish Higher Education Funding Council Resource,SBISX,,SBISX Devolved spending,105,120,99,111,107,116,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFCD1,PSXScottish Further Education Funding Council Resource,SBISX,,SBISX Devolved spending,105,120,99,111,107,116,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF1,PSXScottish Enterprise Resource,SBISX,,SBISX Devolved spending,"2,065","2,065","2,065","2,065","2,065","2,065",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF3,PSXScottish Enterprise Growing Business (Manufacturing),SBISX,,SBISX Devolved spending,834,834,834,834,834,834,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF4,PSXScottish Enterprise Growing Business (R&D Manufacturing),SBISX,,SBISX Devolved spending,"4,167","4,167","4,167","4,167","4,167","4,167",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF5,PSXScottish Enterprise Growing Business (R&D Other),SBISX,,SBISX Devolved spending,150,150,150,150,150,150,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF6,PSXScottish Enterprise Growing Business (Business Growth),SBISX,,SBISX Devolved spending,"4,388","4,388","4,388","4,388","4,388","4,388",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFDF9,PSXScottish Enterprise Global Connections (Economic Affairs),SBISX,,SBISX Devolved spending,500,500,500,500,500,500,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFEF1,PSXHighlands & Islands Enterprise Resource,SBISX,,SBISX Devolved spending,344,345,345,345,345,345,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFEF2,PSXHighlands & Islands Enterprise Strengthening Communities (R&D Gen public…,SBISX,,SBISX Devolved spending,41,41,41,41,42,42,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFEF4,PSXHighlands & Islands Enterprise Growing Business (Hotels & restaurants),SBISX,,SBISX Devolved spending,175,175,175,175,175,175,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFEF6,PSXHighlands & Islands Enterprise Growing Business (Business Growth),SBISX,,SBISX Devolved spending,"1,356","1,356","1,356","1,356","1,357","1,357",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFEF7,PSXHighlands & Islands Enterprise Global Connections (Industry),SBISX,,SBISX Devolved spending,"1,084","1,084","1,084","1,084","1,083","1,083",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOB1,PSXInnovation Support,SBISX,,SBISX Devolved spending,360,480,390,270,180,60,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOD1,PSXSQA Vocational Qualifications and Skills,SBISX,,SBISX Devolved spending,0,0,0,866,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOJ1,PSXResearch & Development - General Economic,SBISX,,SBISX Devolved spending,0,0,0,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOK3,PSXSkills Development Scotland Ltd (formerly SUfi),SBISX,,SBISX Devolved spending,"8,000","5,600","8,400","8,400","8,400","8,400",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOM1,PSXSubsidiary Services to Education,SBISX,,SBISX Devolved spending,814,"2,774","1,246","1,199","1,061","2,124",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOP1,PSXELL General Economic,SBISX,,SBISX Devolved spending,405,405,506,767,505,506,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOT1,PSXEducation - Subsidiary Services to Education,SBISX,,SBISX Devolved spending,2,2,1,10,15,3,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOU1,PSXEconomic Affairs - Electricity (CG),SBISX,,SBISX Devolved spending,42,42,42,42,42,42,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFOYH,PSXEducation not definable by Student Support,SBISX,,SBISX Devolved spending,0,0,8,0,0,0,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDFZC1,PSXEducation Business Partnerships And Publicity,SBISX,,SBISX Devolved spending,39,39,326,391,39,365,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDHAA1,PSXRailway Transport Services - CG,SBISX,,SBISX Devolved spending,75,75,75,75,75,75,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDHEK1,PSXRoad Transport - CG,SBISX,,SBISX Devolved spending,"2,515","2,515","2,515","2,515","2,515","2,515",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDHFA1,PSXMotorways & Trunk Roads - CG,SBISX,,SBISX Devolved spending,51,"7,364","9,808","8,482","8,482","10,921",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIAAA,PSXHealth - NHS Boards & Hospital Services,SBISX,,SBISX Devolved spending,"235,876","235,861","235,861","235,861","235,861","235,861",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIAAG,PSXHealth - Pharmaceutical products,SBISX,,SBISX Devolved spending,"15,550","15,550","15,550","15,550","15,550","15,550",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIACA,PSXHealth - Outpatient Services,SBISX,,SBISX Devolved spending,"94,530","94,524","94,524","94,524","94,524","94,524",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIAIA,PSXHealth - NHS Health Scotland,SBISX,,SBISX Devolved spending,"1,775","1,775","1,775","1,775","1,775","1,775",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIECC,PSXHealth - Medical Services,SBISX,,SBISX Devolved spending,"17,192","17,175","17,175","17,175","17,175","17,175",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIEEA,PSXHealth - Research & Development,SBISX,,SBISX Devolved spending,"5,658","5,660","5,660","5,660","5,660","5,660",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDIEGB,PSXHealth - Miscellaneous,SBISX,,SBISX Devolved spending,937,940,940,940,940,940,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJAA1,"PSXScottish Law Courts, Commissions & Tribunals",SBISX,,SBISX Devolved spending,"1,889","1,895","1,895","1,895","1,895","8,193",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJAB1,PSXLegal Aid & SCRA Resource,SBISX,,SBISX Devolved spending,"13,543","13,543","13,543","13,543","13,543","13,543",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJCA1,PSXPrisons,SBISX,,SBISX Devolved spending,"7,621","7,625","7,625","7,625","7,625",799,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJDE1,PSXPolice Services - CG,SBISX,,SBISX Devolved spending,"8,871","8,844","8,844","9,159","8,844","8,844",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJDE3,PSXScottish Police Services - Resource,SBISX,,SBISX Devolved spending,"1,795","1,795","1,795","1,795","1,795","1,795",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJEA1,PSXFire Protection Services,SBISX,,SBISX Devolved spending,"1,194","1,194","1,194","1,194","1,194","1,194",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJFB1,PSXSocial exclusion n.e.c. excl personal services - CG,SBISX,,SBISX Devolved spending,"3,105","2,067","3,098","2,200","2,245","3,104",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJHA1,PSXEmergency Planning,SBISX,,SBISX Devolved spending,399,399,399,399,399,399,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJHC1,PSXPublic Order and Safety n.e.c. - CG,SBISX,,SBISX Devolved spending,"1,604","1,603","1,603","1,603","1,606","1,606",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDJHC7,PSXPublic Order and Safety - SCCRC & PLRC Resource,SBISX,,SBISX Devolved spending,72,19,19,72,19,19,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDKAAA,PSXAdministration & Associated Depts,SBISX,,SBISX Devolved spending,"13,544","8,468","5,121","8,512","10,693","9,774",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDNAA1,PSXELL & FCSD general public services,SBISX,,SBISX Devolved spending,283,284,283,284,283,284,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDNCD4,PSXMiscellaneous Committees And Commissions,SBISX,,SBISX Devolved spending,"3,523","4,508","1,687","3,690","1,909",707,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDPAA1,PSXCrown Office,SBISX,,SBISX Devolved spending,"3,066","3,066","3,066","3,066","3,066","3,066",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDQAA1,PSXForestry Commission Policy Reg & Admin - Goods & Services,SBISX,,SBISX Devolved spending,"2,220","2,220","2,220","2,220","2,220","2,220",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDRAA1,PSXFood Standards Agency,SBISX,,SBISX Devolved spending,431,469,692,631,562,596,,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXDSAA1,PSXScottish Parliament Wages & Salaries,SBISX,,SBISX Devolved spending,"2,369","2,662","2,661","2,486","2,637","3,040",,,
Resource,DEL,Prog,Scotland,Scottish Executive,B3501,Gross current procurement,PSXNBBA1,PSXSEPA Resource,SBISX,,SBISX Devolved spending,50,0,0,250,250,250,,,
