?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255270,13593.26,BRONBURY SERVICES LTD,100060
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,HYBRID MAIL,03/10/2014,254142,5941.90,CANON (UK) LTD,101374
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PRINTING,10/10/2014,254560,3618.88,CANON (UK) LTD,101374
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PRINTING,03/10/2014,254155,764.75,CANON (UK) LTD,101374
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,17/10/2014,254784,986.62,CATERSHIELD LTD,101853
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MATERIALS,17/10/2014,254447,1000.08,CHEVIN FLEET SOLUTIONS,101344
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,10/10/2014,254598,1418.50,CITY HYGIENE SERVICES LTD,101590
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,COMPUTER SOFTWARE MAINTENANCE,10/10/2014,254530,17276.06,CIVICA LTD,100092
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENSED BAR PROVISIONS,17/10/2014,254761,769.03,CLASSIC DRINKS,100794
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENSED BAR PROVISIONS,17/10/2014,254762,465.38,CLASSIC DRINKS,100794
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,AGENCY STAFF,17/10/2014,254869,3606.29,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,17/10/2014,254869,2908.49,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,24/10/2014,255173,2294.16,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,31/10/2014,255509,2267.45,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,10/10/2014,254442,2214.01,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,AGENCY STAFF,31/10/2014,255509,2019.36,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,AGENCY STAFF,24/10/2014,255173,1981.60,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,AGENCY STAFF,03/10/2014,254199,1763.80,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,03/10/2014,254199,1305.91,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,AGENCY STAFF,10/10/2014,254442,1007.76,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,03/10/2014,254205,1798.00,COOPER PLUMBING,100110
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,DEPARTMENTAL HARDWARE,24/10/2014,255188,4369.14,CORBEL SOLUTIONS LTD,102107
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,GAS,17/10/2014,254838,767.33,CORONA ENERGY,100113
