Purchased quantities of eating out food & drink by income quintile Averages per person per week Quintile 1	Code	Description			Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	eo290206			Fruit cake	g	0	1	0	0	0	0	0	0	0	0	0	0	0
	eo290207			Other sponge cakes or desserts (not cream cakes)	g	3	3	3	2	3	3	3	2	2	3	2	2	2
	eo290208			Custard desserts or sweet soufflé	g	0	0	0	1	0	0	0	0	0	0	0	1	0
	eo290209			Meringue desserts including pavlova	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo290210			Cheesecake	g	0	0	0	0	0	0	0	0	1	0	0	0	0
	eo290211			Fool, trifle and mousse desserts	g	0	0	0	1	0	1	0	0	0	0	0	0	0
	eo290212			Jelly	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo290213			Milk and rice puddings including tapioca, semolina	g	1	0	0	1	1	1	0	0	1	0	0	0	0
	eo290214			Other cakes and desserts, unspecified 'cake' or 'dessert'	g	2	1	1	1	1	1	2	1	1	2	3	2	2
	eo2903		Waffles and pancakes		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo290401		Teacakes, scones, currant buns, iced buns		g	2	2	2	2	2	2	2	2	2	1	1	1	1
	eo300101		Fully-coated chocolate biscuits or wafers		g	1	1	1	0	0	1	0	0	0	0	1	0	0
	eo300102		Sweet biscuits including half-coated chocolate biscuits		g	1	1	1	1	1	1	1	1	1	1	1	1	0
	eo300103		Cereal bars and cereal based cakes		g	0	0	0	0	1	1	0	0	0	0	1	0	0
	eo300104		Savoury biscuits		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo310101			Nuts, nut products and seeds	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo310102			Potato crisps or snacks including unspecified 'crisps', prawn crackers	g	6	5	6	5	5	4	4	3	3	3	3	3	2
	eo310103			Cornsnacks, based on maize	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo310104			Wheat based savoury snack	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo310201		Popcorn		g	0	0	1	0	0	0	0	0	0	0	0	0	0
	eo310301		Other savoury snacks (including hors d'oeuvres)		g	0	0	0	0	0	0	0	0	0	0	0	0	0
