Department Family,Entity,Payment Date,Expense Area,Expense Type,Supplier,System Transaction Number,Amount
Ministry of Justice,National Offender Management Service,20/04/2011,Wymott,"New structural works, structural maintenance and equipment",WILLIAM PYE LTD,3981374,"34,554.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,SWALE BOROUGH COUNCIL,3958229,"34,424.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,SWALE BOROUGH COUNCIL,3958229,"34,419.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Leyhill,Contracted-out Probation Trusts,AVON AND SOMERSET PROBATION TRUST,3972440,"34,365.29"
Ministry of Justice,National Offender Management Service,18/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",F P S (FIRE PROTECTION) LTD,3978967,"34,326.60"
Ministry of Justice,National Offender Management Service,07/04/2011,Sheppey Clustered Services,Electricity,EDF ENERGY,3964721,"34,310.09"
Ministry of Justice,National Offender Management Service,12/04/2011,Manchester,Gas,CORONA ENERGY RETAIL 4 LTD,3970564,"33,967.67"
Ministry of Justice,National Offender Management Service,06/04/2011,Rye Hill,Contracted-out operation of prisons and detention centres,ONLEY PRISON SERVICES LTD,3962312,"33,943.06"
Ministry of Justice,National Offender Management Service,20/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964545,"33,916.25"
Ministry of Justice,National Offender Management Service,08/04/2011,Leeds,"New structural works, structural maintenance and equipment",DB DENTAL EQUIPMENT,3966075,"33,833.76"
Ministry of Justice,National Offender Management Service,20/04/2011,Offender Employment Skills & Services Group,Raw Materials - ESS/LBA Industries ,JIANGSU SAINTY CORP LTD,3974018,"33,795.30"
Ministry of Justice,National Offender Management Service,18/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",F P S (FIRE PROTECTION) LTD,3978770,"33,739.20"
Ministry of Justice,National Offender Management Service,18/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",F P S (FIRE PROTECTION) LTD,3978968,"33,739.20"
Ministry of Justice,National Offender Management Service,13/04/2011,Wandsworth,Gas,CORONA ENERGY RETAIL 4 LTD,3973386,"33,713.00"
Ministry of Justice,National Offender Management Service,19/04/2011,Bure,Gas,CORONA ENERGY RETAIL 4 LTD,3935016,"33,657.77"
Ministry of Justice,National Offender Management Service,28/04/2011,Bullingdon,Other - Acquisitions,RENAULT,3988883,"33,580.80"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Professional Advice,WYG GROUP,3955794,"33,563.40"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,MEDWAY COUNCIL,3974161,"33,558.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,MEDWAY COUNCIL,3974161,"33,553.00"
Ministry of Justice,National Offender Management Service,19/04/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3979289,"33,364.14"
Ministry of Justice,National Offender Management Service,12/04/2011,Highdown,Gas,CORONA ENERGY RETAIL 4 LTD,3970532,"33,359.32"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,EAST STAFFORDSHIRE BOROUGH COUNCIL,3958274,"33,341.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,EAST STAFFORDSHIRE BOROUGH COUNCIL,3958274,"33,341.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Holme House,Gas,CORONA ENERGY RETAIL 4 LTD,3973392,"33,338.14"
Ministry of Justice,National Offender Management Service,01/04/2011,East Midlands Estates,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3941249,"33,316.80"
Ministry of Justice,National Offender Management Service,01/04/2011,East Midlands Estates,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3941265,"33,316.80"
Ministry of Justice,National Offender Management Service,06/04/2011,Channings Wood,Contracted-out Probation Trusts,DEVON AND CORNWALL PROBATION TRUST,3962011,"33,273.62"
Ministry of Justice,National Offender Management Service,05/04/2011,East of England Regional NOMS Office,Structural works / maintenance - Fees & professional services,ANGLIAN INSULATION LTD,3959204,"33,248.94"
Ministry of Justice,National Offender Management Service,04/04/2011,Bullingdon,Other - Acquisitions,COLT SERVICE LTD,3957843,"33,238.74"
Ministry of Justice,National Offender Management Service,06/04/2011,Wealstun,Other - Acquisitions,RENAULT,3962535,"33,183.36"
Ministry of Justice,National Offender Management Service,07/04/2011,Risley,Electricity,EDF ENERGY,3964609,"33,154.42"
Ministry of Justice,National Offender Management Service,12/04/2011,Garth,Water and Sewage,UNITED UTILITIES WATER PLC,3970280,"33,095.70"
Ministry of Justice,National Offender Management Service,18/04/2011,Bullingdon,Counselling & Advisory Costs,R A P T,3977174,"33,041.50"
Ministry of Justice,National Offender Management Service,01/04/2011,Channings Wood,Other - Acquisitions,HOMAG UK LTD,3944098,"33,015.60"
Ministry of Justice,National Offender Management Service,13/04/2011,Featherstone,Gas,CORONA ENERGY RETAIL 4 LTD,3973329,"33,009.49"
Ministry of Justice,National Offender Management Service,12/04/2011,Bristol,General Maintenance Materials,OPTIONS ELECTRICAL SERVICES LTD,3955684,"32,806.80"
Ministry of Justice,National Offender Management Service,12/04/2011,Belmarsh,Gas,CORONA ENERGY RETAIL 4 LTD,3970372,"32,796.01"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,WYCHAVON DISTRICT COUNCIL,3958201,"32,692.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,WYCHAVON DISTRICT COUNCIL,3958201,"32,687.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Pentonville,Contracted-out Probation Boards,LONDON PROBATION TRUST,3963225,"32,664.26"
Ministry of Justice,National Offender Management Service,01/04/2011,Risley,"New structural works, structural maintenance and equipment",NATIONWIDE DENTAL CONSTRUCTION LTD,3954121,"32,620.19"
Ministry of Justice,National Offender Management Service,05/04/2011,Long Lartin,"New structural works, structural maintenance and equipment",BIF SERVICES LTD,3958513,"32,606.69"
Ministry of Justice,National Offender Management Service,11/04/2011,Glen Parva,Contracted-out Probation Trusts,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3967961,"32,556.42"
Ministry of Justice,National Offender Management Service,26/04/2011,Littlehey,Recreation,SERVICESPORT UK LTD,3958448,"32,184.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Leyhill,Other - Acquisitions,RENAULT,3962598,"32,151.60"
Ministry of Justice,National Offender Management Service,06/04/2011,Leyhill,Other - Acquisitions,RENAULT,3962599,"32,151.60"
Ministry of Justice,National Offender Management Service,06/04/2011,Usk,Other - Acquisitions,RENAULT,3962534,"32,129.04"
Ministry of Justice,National Offender Management Service,05/04/2011,East of England Regional NOMS Office,Other - Acquisitions,VINCI CONSTRUCTION UK LTD,3958706,"32,002.80"
Ministry of Justice,National Offender Management Service,06/04/2011,Glen Parva,Training Courses,TRACKWORK LTD,3961128,"32,000.00"
Ministry of Justice,National Offender Management Service,15/04/2011,Yorkshire and Humberside DOMS Office,Training and Further Education Courses,OFFICE FOR PUBLIC MANAGEMENT LTD,3976341,"32,000.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Leyhill,Other - Acquisitions,RENAULT,3962532,"31,970.40"
Ministry of Justice,National Offender Management Service,07/04/2011,Bullingdon,Electricity,EDF ENERGY,3964730,"31,821.18"
Ministry of Justice,National Offender Management Service,20/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964538,"31,814.64"
Ministry of Justice,National Offender Management Service,06/04/2011,Feltham,Other - Acquisitions,RENAULT,3962596,"31,729.80"
Ministry of Justice,National Offender Management Service,13/04/2011,Leyhill,Gas,CORONA ENERGY RETAIL 4 LTD,3973364,"31,651.72"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3948509,"31,644.77"
Ministry of Justice,National Offender Management Service,06/04/2011,Springhill,Other - Acquisitions,RENAULT,3962595,"31,627.44"
Ministry of Justice,National Offender Management Service,07/04/2011,Learning and Development Group,Office Equipment Purchases Under £10k,DSGI BUSINESS EQUANET,3964429,"31,563.84"
Ministry of Justice,National Offender Management Service,18/04/2011,Estates Capacity,Consultancy,DRIVERS JONAS DELOITTE,3976759,"31,548.02"
Ministry of Justice,National Offender Management Service,07/04/2011,Woodhill,Electricity,EDF ENERGY,3964601,"31,460.94"
Ministry of Justice,National Offender Management Service,06/04/2011,Bristol,Specialist Contractors,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP N H S TRUST,3948917,"31,294.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Brixton,Contracted-out Probation Trusts,LONDON PROBATION TRUST,3963229,"31,261.35"
Ministry of Justice,National Offender Management Service,07/04/2011,Full Sutton,Electricity,EDF ENERGY,3964589,"31,201.82"
Ministry of Justice,National Offender Management Service,01/04/2011,MOJ Shared Services NOMS Delivery,Rates and Ground Rents,CYNCOED PROPERTY (CARDIFF) LTD,3956311,"31,200.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Moorland,Office Equipment Purchases Under £10k,SERVICESPORT UK LTD,3958455,"31,020.00"
Ministry of Justice,National Offender Management Service,20/04/2011,MOJ Shared Services NOMS Delivery,Contracted-out Catering Services,ESS SUPPORT SERVICES WORLDWIDE,3967068,"30,965.16"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,SALFORD CITY COUNCIL,3974238,"30,960.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,SALFORD CITY COUNCIL,3974238,"30,955.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Nottingham,Counselling & Advisory Costs,PHOENIX FUTURES,3952996,"30,848.70"
Ministry of Justice,National Offender Management Service,26/04/2011,Business and Service Development Group,Rates and Ground Rents,EAST STAFFORDSHIRE BOROUGH COUNCIL,3983426,"30,743.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Haverigg,Gas,CORONA ENERGY RETAIL 4 LTD,3973330,"30,649.34"
Ministry of Justice,National Offender Management Service,14/04/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3973966,"30,561.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,RUTLAND DISTRICT COUNCIL,3974234,"30,531.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,RUTLAND DISTRICT COUNCIL,3974234,"30,526.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Highpoint,Inter-Unit Charge (IUC),NORFOLK AND SUFFOLK PROBATION TRUST,3964219,"30,519.34"
Ministry of Justice,National Offender Management Service,06/04/2011,South East DOMS Office,Secondments,SURREY & SUSSEX PROBATION TRUST,3962655,"30,515.46"
Ministry of Justice,National Offender Management Service,12/04/2011,Sheppey Clustered Services,Contracted-out Building Maintenance,CAPITAL DENTAL EQUIPMENT,3969603,"30,460.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Bristol,Contracted-out Library,BRISTOL CITY COUNCIL,3961832,"30,435.00"
Ministry of Justice,National Offender Management Service,11/04/2011,Belmarsh,Electricity,EDF ENERGY,3968753,"30,378.42"
Ministry of Justice,National Offender Management Service,05/04/2011,East of England Regional NOMS Office,Secondments,ESSEX PROBATION TRUST,3935138,"30,331.24"
Ministry of Justice,National Offender Management Service,06/04/2011,Probation Trust Unit,Miscellaneous,PROBATION CHIEFS ASSOCIATION,3960119,"30,000.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Business and Service Development Group,Professional Advice,UNIVERSITY OF SHEFFIELD,3966935,"30,000.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Verne (The),Other - Acquisitions,RENAULT,3962597,"29,927.40"
Ministry of Justice,National Offender Management Service,19/04/2011,Highdown,Counselling & Advisory Costs,R A P T,3977178,"29,821.59"
Ministry of Justice,National Offender Management Service,12/04/2011,Dover,Gas,CORONA ENERGY RETAIL 4 LTD,3970563,"29,771.74"
Ministry of Justice,National Offender Management Service,06/04/2011,Onley,Contracted-out Library,NORTHAMPTONSHIRE COUNTY COUNCIL,3962204,"29,733.48"
Ministry of Justice,National Offender Management Service,04/04/2011,East of England Regional NOMS Office,Structural works / maintenance - Fees & professional services,INDUSTRIAL BOILER SERVICES LTD,3958667,"29,653.20"
Ministry of Justice,National Offender Management Service,01/04/2011,Manchester,Other - Acquisitions,B M M WESTON LTD,3936398,"29,647.20"
Ministry of Justice,National Offender Management Service,12/04/2011,Birmingham,Gas,CORONA ENERGY RETAIL 4 LTD,3970506,"29,530.12"
Ministry of Justice,National Offender Management Service,07/04/2011,Highpoint,Electricity,EDF ENERGY,3964553,"29,484.14"
Ministry of Justice,National Offender Management Service,04/04/2011,Frankland,"New structural works, structural maintenance and equipment",COLT SERVICE LTD,3955877,"29,460.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Woodhill,Contracted-out Probation Boards,THAMES VALLEY PROBATION TRUST,3959711,"29,451.04"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,WIGAN COUNCIL,3958194,"29,444.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,DURHAM COUNTY COUNCIL,3958264,"29,444.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,WIGAN COUNCIL,3958194,"29,444.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,DURHAM COUNTY COUNCIL,3958264,"29,444.00"
Ministry of Justice,National Offender Management Service,11/04/2011,Wormwood Scrubs,Electricity,EDF ENERGY,3964544,"29,425.37"
Ministry of Justice,National Offender Management Service,05/04/2011,Usk,Contracted-out Probation Trusts,WALES PROBATION TRUST,3960446,"29,391.64"
Ministry of Justice,National Offender Management Service,12/04/2011,Ranby,Gas,CORONA ENERGY RETAIL 4 LTD,3970512,"29,088.26"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,CHORLEY BOROUGH COUNCIL,3958206,"29,011.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,CHORLEY BOROUGH COUNCIL,3958206,"29,011.00"
Ministry of Justice,National Offender Management Service,15/04/2011,Hull,Training and Further Education Courses,OFFICE FOR PUBLIC MANAGEMENT LTD,3976340,"29,000.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Lindholme,Gas,CORONA ENERGY RETAIL 4 LTD,3970559,"28,976.58"
Ministry of Justice,National Offender Management Service,12/04/2011,Woodhill,Gas,CORONA ENERGY RETAIL 4 LTD,3970520,"28,940.38"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,BRIDGEND COUNTY BOROUGH COUNCIL,3974146,"28,890.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BRIDGEND COUNTY BOROUGH COUNCIL,3974146,"28,890.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Estates Capacity,Professional Advice,WYG GROUP,3955795,"28,842.16"
Ministry of Justice,National Offender Management Service,13/04/2011,Wayland,Other Fuels,COAL 4 ENERGY LTD,3972482,"28,834.20"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION CONSTRUCTION LTD,3959543,"28,798.81"
Ministry of Justice,National Offender Management Service,07/04/2011,NOMIS Programme,Secondments,SURREY & SUSSEX PROBATION TRUST,3961345,"28,786.32"
Ministry of Justice,National Offender Management Service,08/04/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3964561,"28,696.64"
Ministry of Justice,National Offender Management Service,07/04/2011,Holme House,Electricity,EDF ENERGY,3964600,"28,576.92"
Ministry of Justice,National Offender Management Service,12/04/2011,Stoke Heath,Gas,CORONA ENERGY RETAIL 4 LTD,3970385,"28,561.03"
Ministry of Justice,National Offender Management Service,04/04/2011,Isis,Victualling,HAMILTON AND POLLOCK LTD,3954990,"28,560.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3973339,"28,346.90"
Ministry of Justice,National Offender Management Service,12/04/2011,Hewell,Gas,CORONA ENERGY RETAIL 4 LTD,3970509,"28,316.52"
Ministry of Justice,National Offender Management Service,13/04/2011,Durham,Communications,BT PAYPHONES,3971438,"28,240.09"
Ministry of Justice,National Offender Management Service,06/04/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",LINDUM GROUP LTD,3963450,"28,165.18"
Ministry of Justice,National Offender Management Service,07/04/2011,Wakefield,Electricity,EDF ENERGY,3964591,"28,087.30"
Ministry of Justice,National Offender Management Service,13/04/2011,Mount (The),Gas,CORONA ENERGY RETAIL 4 LTD,3973397,"28,029.59"
Ministry of Justice,National Offender Management Service,11/04/2011,Sheppey Clustered Services,Contracted-out Building Maintenance,CAPITAL DENTAL EQUIPMENT,3969604,"28,009.60"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMIS Programme,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3972678,"27,982.54"
Ministry of Justice,National Offender Management Service,05/04/2011,Kirkham,Other - Acquisitions,SEV GROUP LTD,3960525,"27,979.20"
Ministry of Justice,National Offender Management Service,06/04/2011,Gloucester,"New structural works, structural maintenance and equipment",AIRMEC (H20) LTD,3963499,"27,968.40"
Ministry of Justice,National Offender Management Service,13/04/2011,Leeds,Gas,CORONA ENERGY RETAIL 4 LTD,3973301,"27,884.12"
Ministry of Justice,National Offender Management Service,08/04/2011,Norwich,Contracted-out Probation Trusts,NORFOLK AND SUFFOLK PROBATION TRUST,3964324,"27,878.21"
Ministry of Justice,National Offender Management Service,07/04/2011,Hewell,Electricity,EDF ENERGY,3964723,"27,739.74"
Ministry of Justice,National Offender Management Service,07/04/2011,Sudbury,Other Fuels,TOTAL BUTLER,3952953,"27,699.12"
Ministry of Justice,National Offender Management Service,01/04/2011,Yorkshire and Humberside DOMS Office,Secondments,WEST YORKSHIRE PROBATION TRUST,3931649,"27,651.79"
Ministry of Justice,National Offender Management Service,13/04/2011,Nottingham,Gas,CORONA ENERGY RETAIL 4 LTD,3973338,"27,562.12"
Ministry of Justice,National Offender Management Service,08/04/2011,Belmarsh,Contracted-out Probation Boards,LONDON PROBATION TRUST,3963231,"27,522.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3962315,"27,472.42"
Ministry of Justice,National Offender Management Service,06/04/2011,East Midlands Estates,General Maintenance Materials,PENDRICH HEIGHT SERVICES LTD,3961549,"27,429.60"
Ministry of Justice,National Offender Management Service,20/04/2011,Long Lartin,Miscellaneous,HENDERSON-CAMPBELL LTD,3931078,"27,422.40"
Ministry of Justice,National Offender Management Service,05/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957756,"27,408.58"
Ministry of Justice,National Offender Management Service,11/04/2011,Coldingley,Miscellaneous,CROWN FLOORING LTD,3960236,"27,383.94"
Ministry of Justice,National Offender Management Service,07/04/2011,Mount (The),Electricity,EDF ENERGY,3964674,"27,308.13"
Ministry of Justice,National Offender Management Service,05/04/2011,Transport Group,Other Fuels,HARVEST ENERGY LTD,3957222,"27,303.80"
Ministry of Justice,National Offender Management Service,11/04/2011,Wales Prisons Estate Management Group (WPEMG),General Maintenance Materials,FEWELL ENGINEERING LIMITED,3969746,"27,300.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Norwich,Gas,CORONA ENERGY RETAIL 4 LTD,3970478,"27,237.19"
Ministry of Justice,National Offender Management Service,01/04/2011,Garth,"New structural works, structural maintenance and equipment",SETSQUARE LTD,3956081,"27,119.62"
Ministry of Justice,National Offender Management Service,07/04/2011,Leeds,Electricity,EDF ENERGY,3964628,"27,077.03"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BLABY DISTRICT COUNCIL,3958178,"27,063.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,BLABY DISTRICT COUNCIL,3958178,"27,058.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Wymott,Water and Sewage,UNITED UTILITIES WATER PLC,3970274,"27,047.89"
Ministry of Justice,National Offender Management Service,06/04/2011,Holloway,Contracted-out Probation Trusts,LONDON PROBATION TRUST,3963228,"27,039.20"
Ministry of Justice,National Offender Management Service,04/04/2011,Long Lartin,General Maintenance Materials,FOLKNOLL SERVICES,3960316,"27,036.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Shepton Mallet,Works,IAN WILLIAMS LTD,3963468,"27,000.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Styal,Contracted-out Probation Boards,CHESHIRE PROBATION TRUST,3960247,"26,994.03"
Ministry of Justice,National Offender Management Service,05/04/2011,Probation Trust Unit,Secondments,LONDON PROBATION TRUST,3957741,"26,806.84"
Ministry of Justice,National Offender Management Service,13/04/2011,Gartree,Contracted-out Probation Boards,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3967962,"26,782.75"
Ministry of Justice,National Offender Management Service,06/04/2011,East Midlands DOMS Office,Training and Further Education Courses,OFFICE FOR PUBLIC MANAGEMENT LTD,3963214,"26,690.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Onley,Gas,CORONA ENERGY RETAIL 4 LTD,3970522,"26,619.83"
Ministry of Justice,National Offender Management Service,08/04/2011,Wandsworth,Pin Phone Suspense,BT PAYPHONES,3966183,"26,605.96"
Ministry of Justice,National Offender Management Service,13/04/2011,Wormwood Scrubs,Hard-Charged Clothing,BGL RIEBER LTD,3942786,"26,604.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Edmunds Hill,Inter-Unit Charge (IUC),NORFOLK AND SUFFOLK PROBATION TRUST,3964220,"26,574.55"
Ministry of Justice,National Offender Management Service,13/04/2011,Sudbury,Other Fuels,TOTAL BUTLER,3972784,"26,520.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Sudbury,Other Fuels,TOTAL BUTLER,3899567,"26,502.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Estates Capacity,Structural works / maintenance - Fees & professional services,COMMUNITIES AND LOCAL GOVERMENT,3960495,"26,437.50"
Ministry of Justice,National Offender Management Service,07/04/2011,Estates Capacity,Structural works / maintenance - Fees & professional services,COMMUNITIES AND LOCAL GOVERMENT,3960497,"26,437.50"
Ministry of Justice,National Offender Management Service,12/04/2011,Moorland,Gas,CORONA ENERGY RETAIL 4 LTD,3970544,"26,378.14"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Professional Fees,RIDER LEVETT BUCKNALL UK LTD,3962700,"26,272.38"
Ministry of Justice,National Offender Management Service,05/04/2011,Moorland,Fencing,ECO ENVIRONMENTAL SERVICES LTD,3959857,"26,265.82"
Ministry of Justice,National Offender Management Service,12/04/2011,Whitemoor,Gas,CORONA ENERGY RETAIL 4 LTD,3970536,"26,139.73"
Ministry of Justice,National Offender Management Service,13/04/2011,Woodhill,Contracted-out Catering Services,ARAMARK LTD,3970455,"26,134.03"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3969578,"26,072.40"
Ministry of Justice,National Offender Management Service,07/04/2011,Long Lartin,Electricity,EDF ENERGY,3964663,"26,006.73"
Ministry of Justice,National Offender Management Service,14/04/2011,TSS West Midlands Area,"New structural works, structural maintenance and equipment",SHAYLOR CONSTRUCTION LTD,3966301,"25,987.45"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,AYLESBURY VALE DISTRICT COUNCIL,3958154,"25,980.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,AYLESBURY VALE DISTRICT COUNCIL,3958154,"25,980.00"
Ministry of Justice,National Offender Management Service,21/04/2011,NOMIS Programme,Specialist Contractors,ALPINE RESOURCING LIMITED,3962892,"25,806.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BASSETLAW DISTRICT COUNCIL,3958156,"25,764.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,BASSETLAW DISTRICT COUNCIL,3958156,"25,759.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Ford,Gas,CORONA ENERGY RETAIL 4 LTD,3970513,"25,685.83"
Ministry of Justice,National Offender Management Service,04/04/2011,Sudbury,General Maintenance Materials,TOTAL BUTLER,3874118,"25,649.40"
Ministry of Justice,National Offender Management Service,26/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",LINK INTEGRATED SERVICES LTD,3984228,"25,592.76"
Ministry of Justice,National Offender Management Service,28/04/2011,Isle of Wight,Counselling & Advisory Costs,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3986869,"25,562.36"
Ministry of Justice,National Offender Management Service,04/04/2011,Long Lartin,"New structural works, structural maintenance and equipment",BURTON ENVIRONMENTAL SERVICES LTD,3957339,"25,560.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Haverigg,Water and Sewage,UNITED UTILITIES WATER PLC,3973325,"25,543.09"
Ministry of Justice,National Offender Management Service,20/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964566,"25,448.91"
Ministry of Justice,National Offender Management Service,07/04/2011,Isle of Wight,Other - Acquisitions,P M R PRODUCTS LTD,3933976,"25,445.80"
Ministry of Justice,National Offender Management Service,08/04/2011,Littlehey,Electricity,EDF ENERGY,3966928,"25,440.86"
Ministry of Justice,National Offender Management Service,06/04/2011,Manchester,Office Equipment Purchases Under £10k,M D LAUNDRY MACHINES (KENDAL) LTD,3962172,"25,430.40"
Ministry of Justice,National Offender Management Service,21/04/2011,Isle of Wight,"New structural works, structural maintenance and equipment",JOHN NICHOLSON LTD,3968677,"25,392.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Manchester,Pin Phone Suspense,BT PAYPHONES,3966087,"25,233.51"
Ministry of Justice,National Offender Management Service,04/04/2011,Wealstun,Other - Acquisitions,PHOTOBASE LTD,3959444,"25,200.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,DONCASTER MET DIST COUNCIL,3958231,"25,114.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,DONCASTER MET DIST COUNCIL,3958231,"25,114.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Public Protection and Mental Health Group,Secondments,SOUTH YORKSHIRE PROBATION TRUST,3957791,"25,112.90"
Ministry of Justice,National Offender Management Service,12/04/2011,Isle of Wight,Gas,CORONA ENERGY RETAIL 4 LTD,3970369,"25,088.71"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,NEWPORT CITY COUNCIL,3974231,"25,038.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,NEWPORT CITY COUNCIL,3974231,"25,038.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Maidstone,Gas,CORONA ENERGY RETAIL 4 LTD,3970539,"25,012.18"
Ministry of Justice,National Offender Management Service,19/04/2011,Kingston,Contracted-out Library,PORTSMOUTH CITY COUNCIL,3922161,"25,003.00"
