"OA11CD","LAD11NM","PM252013me"
"E00024070","Westminster",17.390011560349
"E00023848","Westminster",19.152862916913
"E00023849","Westminster",16.463193844526
"E00024078","Westminster",17.499977672801
"E00024079","Westminster",17.260460535685
"E00175212","Westminster",18.24510791255
"E00175210","Westminster",17.355776290894
"E00175211","Westminster",17.195024783795
"E00175216","Westminster",17.379967825753
"E00175217","Westminster",17.580416805339
"E00175214","Westminster",19.565241934548
"E00175218","Westminster",20.152254667438
"E00175219","Westminster",18.785655172248
"E00023526","Westminster",19.632938480377
"E00023527","Westminster",18.254256828972
"E00023524","Westminster",20.992883586884
"E00023525","Westminster",18.712004326485
"E00023522","Westminster",18.658992303384
"E00023523","Westminster",21.100098874834
"E00023521","Westminster",19.394105308934
"E00023528","Westminster",18.394605318705
"E00023476","Westminster",17.099449101616
"E00023716","Westminster",16.904203663702
"E00023797","Westminster",16.681277328067
"E00023717","Westminster",16.959336598714
"E00023796","Westminster",16.403552703857
"E00023715","Westminster",16.974822651256
"E00023794","Westminster",16.769162114461
"E00023793","Westminster",16.522352773247
"E00023712","Westminster",17.797079722087
"E00023792","Westminster",16.494709459941
"E00023713","Westminster",17.112569028681
"E00023791","Westminster",16.647737256942
"E00023710","Westminster",17.293708324432
"E00023790","Westminster",16.580357960292
"E00023711","Westminster",16.943767238308
"E00023799","Westminster",16.467786208443
"E00023718","Westminster",17.335107803345
"E00023626","Westminster",18.014789498371
"E00023627","Westminster",19.329170644283
"E00023624","Westminster",17.64959137528
"E00023623","Westminster",18.973838960802
"E00023621","Westminster",17.720480442047
"E00023628","Westminster",18.893588027954
"E00023629","Westminster",18.402671064649
"E00023906","Westminster",16.642635557387
"E00023987","Westminster",17.763020255349
"E00024136","Westminster",18.701339516273
"E00023907","Westminster",17.203123612837
"E00023986","Westminster",17.930120722453
"E00024137","Westminster",18.572433560394
"E00023904","Westminster",17.770518762094
"E00023985","Westminster",17.605113710676
"E00024134","Westminster",18.765343567421
"E00023905","Westminster",16.979651529281
"E00024135","Westminster",18.237200072317
"E00023902","Westminster",16.868210262722
"E00023903","Westminster",16.788738362929
"E00023982","Westminster",17.718994140625
"E00024133","Westminster",18.96057929649
"E00023900","Westminster",16.873414198558
"E00023981","Westminster",17.503620624542
"E00024130","Westminster",18.88968362864
"E00023901","Westminster",16.641005897522
"E00023980","Westminster",17.912853399913
"E00023909","Westminster",16.940623949159
"E00023988","Westminster",17.200660705566
"E00023856","Westminster",16.315810367979
"E00023857","Westminster",16.20888197422
"E00024046","Westminster",17.267505479896
"E00023854","Westminster",16.26851976568
"E00024047","Westminster",17.203003525734
"E00023855","Westminster",16.376200437546
"E00024044","Westminster",17.086008616856
"E00023852","Westminster",16.213924773196
"E00024045","Westminster",17.652894020081
"E00023853","Westminster",16.293990355272
"E00024043","Westminster",17.231413560755
"E00023851","Westminster",16.259472703934
"E00024040","Westminster",17.173584657557
"E00024041","Westminster",17.086972045898
"E00023859","Westminster",16.632915769305
"E00024048","Westminster",18.455220937729
"E00023446","Westminster",16.512476774362
"E00023447","Westminster",16.43204843733
"E00023444","Westminster",17.284672446873
