Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
105152409000N,"Greengate Workingmen'S,","Greengate W M Club Car Park, Paradise Street, Barrow In Furness, Cumbria, LA14 2HS",2500
105154000070N,Orange Retail Ltd,"7, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1HX",43750
105154000090N,Leto Limited,"9, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",42000
105154000100N,Max Spielmann Limited,"10, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",28000
105154000180N,New Look Retailers Ltd,"18-22, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",215000
105154000191N,John David Group Plc,"19-21, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",87500
105154000230N,Game (Stores) Ltd (In Administration),"23, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",47000
105154000240N,River Island Clothing Co Ltd,"24, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",78000
105154000250N,Waterstones Booksellers Ltd,"25, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",55500
105154000260N,A Levy And Son Ltd T/A Blue Inc,"26, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",68000
105154000340N,Bodyshop International Plc,"34, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",35750
105154000360N,Mr Sweets Ltd T/A The Sweet Emporium,"36, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",33500
105154000380N,W H Smith Limited,"38-42,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",109000
105154000440N,British Heart Foundation,"44-48, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",62500
105154000510N,Kingswood Foundation,"50-52, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",42250
105154000560N,Barrow Borough Council,"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",16750
105154009000N,Barrow Borough Council,"Outdoor Market, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",2400
105154100015N,Got It Covered Ltd,"Unit 1 The Ginnell, Portland Crescent, Barrow In Furness, Cumbria, LA14 1DB",4650
105154500750N,"Central Working Men'S Club,","Central Working Men'S Club, Preston Street, Barrow In Furness, Cumbria, LA14 1LA",13750
105160909140N,Envirocasting Ltd,"Envirocasting Ltd, St Georges Square, Barrow In Furness, Cumbria, LA14 2JQ",8500
105161609010N,Cumbria County Council,"St George'S Church Of England Primary School And Nursery, School Street, Barrow In Furness, Cumbria, LA14 2JN",52500
105162300570N,Unipart Automotive Ltd (Post Admin),"Partco Ltd, 57, School Street, Barrow In Furness, Cumbria, LA14 1EW",6700
105162300711N,Barrow & District Disability Assoc,"71-79, School Street, Barrow In Furness, Cumbria, LA14 1EJ",18250
105162300870N,A Holden'S Ltd,"87, School Street, Barrow In Furness, Cumbria, LA14 1EJ",5000
105163209043N,Eclipse Signs Ltd,"Unit 8,, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",5700
105163209047N,Fieldgate Data Services Ltd,"Unit 7,, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",5400
105165350010N,Fishbowl Aquatics Ltd,"10, Stephen Street, Barrow In Furness, Cumbria, LA14 1HQ",7200
105165359100N,Department For Work And Pensions,"Phoenix House, Stephen Street, Barrow In Furness, Cumbria, LA14 1BY",98000
105165809140N,Development Division,"Car Park Adj High Level Bridge, Strand, Barrow In Furness, Cumbria, LA14 2HF",12500
105176100101N,Guney Ltd,"10, William Street, Barrow In Furness, Cumbria, LA14 1LD",3650
105179401600N,Jcdecaux Uk Limited,"Advertising Right, St Georges Square, Barrow In Furness, Cumbria, LA14 2JQ",990
105179402080N,Clear Channel Uk Ltd,"Adshell 1902 0007, Adj 12, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",480
105218200021N,Barrow Jiu-Jitsu Club,"2-6, Derry Street, Barrow In Furness, Cumbria, LA14  2EF",6500
105253570007N,Nw Total Engineered Solutions,"2, Andrews Court, Andrews Way, Barrow In Furness, Cumbria, LA14 2UD",39750
105253570018N,E K Motor Factors Ltd,"Units 18 & 20, Andrews Way, Barrow In Furness, Cumbria, LA14 2UE",28250
105253570040N,Optech Fibres Ltd,"Unit 4, Andrews Way, Barrow In Furness, Cumbria, LA14 2UD",12500
105253570060N,Plastic Man Ltd,"Unit 6, Andrews Way, Barrow In Furness, Cumbria, LA14 2UD",18250
105253570081N,Furness Fluid Power Ltd,"Unit 8 & Unit 10 , Andrews Way, Barrow In Furness, Cumbria, LA14 2UD",30000
105253570121N,Nw Pump And Valve Ltd,"Units 12 & 14, Andrews Way, Barrow In Furness, Cumbria, LA14 2UE",29500
105261600212N,Clear Channel Uk Ltd,"Adshel 1902 0090 Opposite, 21, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",480
105261600372N,Clear Channel Uk Ltd,"Adshel 1902 0089 Opposite, 37, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AG",480
105261609130N,"Salthouse Bowling Club,","Salthouse Bowling Club, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AN",880
105301300103N,Rocket Asset Management Ltd,"10, Allison Street, Barrow In Furness, Cumbria, LA14 1DT",5400
105301309011N,"Crooks-Suzuki Ltd,","17, Allison Street, Barrow In Furness, Cumbria, LA14 1EE",2200
105311601240N,Designa Frames Ltd,"124, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",3000
105311601427N,Grove Veterinary Centre Limited,"Car Spaces 1 To 5 Site Of, 142-144, Cavendish Street, Barrow In Furness, Cumbria, LA14 1AR",750
105314400410N,Kutz (Barrow) Ltd,"41, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3750
105314400450N,Cumbria Sew/Craft Ctre Ltd,"45, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",5700
105314400540N,Acacia Taxis Ltd,"54, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3800
105314400610N,Blue Lamp (Cumbria) Limited,"The Blue Lamp, 57, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",12400
105327600761N,Furness Dental Lab Ltd,"76, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",3250
105328909050N,Development Division,"Hall St Car Park, Allison Street, Barrow In Furness, Cumbria, LA14 1DR",49250
105457301091N," Barrow Taxi Drivers Assoc,","109, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",1050
105457301111N,T & J Photographic Ltd,"111, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",1750
105457301130N,Christophers Corner Limited,"113, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",2250
105457701140N,Twilight Years Ltd,"114, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",6000
105457701680N,Harmony Windows Ltd,"166a, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DQ",2400
105457701730N,G.S.A. Ltd,"173, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3150
105457701771N,83 Furness Limited,"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3500
105457701950N,Dev'S Plaice Ltd,"195, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",2850
105457701970N,Tracy Wells Hair Ltd,"197, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3000
105457702070N,Animal Welfare (Furness),"207, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3250
105457702230N,Phx Training Ltd,"223-229, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DW",16000
105457702312N,Grove Veterinary Centre Ltd,"231-239, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DW",17250
105462300640N,"M I N D,","M I N D In Furness, 64, School Street, Barrow In Furness, Cumbria, LA14 1EW",6600
105462300670N,Identityco Limited,"67-69, School Street, Barrow In Furness, Cumbria, LA14 1EJ",3350
106101009130N,Ats Euromaster Ltd,"149-151, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BB",8500
106251200331N,Oxford Street Clinic Ltd,"33, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",3200
106251200931N,Clear Channel Uk Ltd,"Adshell 1902 0039, Opp 93, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",300
106251200990N,Cumbrian Co-Op Society,"97-101, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",16500
106251201230N,Jemoro Ltd T/A Ardent Dental Practice,"123, Oxford Street, Barrow In Furness, Cumbria, LA14 5QH",3600
106362109391N,Multiple Sclerosis Society,"Richard Cave Centre,, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",2450
106362109392N,Multiple Sclerosis Society,"Previously Barrow & District Dial A Ride, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",1275
106362109410N,Enterprise Inns Ltd,"Tally Ho, Schneider Road, Barrow In Furness, Cumbria, LA14 5DN",17000
106362309312N,Lakeland Fudge Ltd,"Lakeland Fudge, Schneider Road, Barrow In Furness, Cumbria, LA14 5ER",5300
106379402090N,Clear Channel Uk Ltd,"Adshell 1902 0002, Adj 76, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",300
106405400001N, Builders Supply Co Ltd (Barrow),"The Builders Supply Company (Barrow), Bank Lane, Barrow In Furness, Cumbria, LA14 4QY",54500
106507669006N,British Telecommunications,"British Telecommunications Plc, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RE",15750
106507669007N,Shanks Group Plc,"Southern Resource Park, Sowerby Woods Industrial Estate, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",322500
106507669010N,Bardon Concrete,"Bardon Concrete, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",16500
106507669020N,Cumbria County Council,"Amey Infrastructure, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",39250
106507669040N,Burlington Aggregates Ltd,"Neil Price Ltd, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",24750
106507669080N,Enterprise Managed Services Ltd,"Compound Opp Neil Price Ltd, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",10000
106507669203N,Vodafone Ltd,"Vodafone Site 35975, Neil Martin Ltd Compound, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",6000
106542720442N,J N Murray Ltd,"42-44, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",7600
106542969000N,Cumbria County Council,"Family Centre, Millstone Avenue, Barrow In Furness, Cumbria, LA14 4BP",9700
106552700131N,K Salisbury Etc Ltd,"Unit 15, Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",2950
106552700133N,Cumbria Car Centre Ltd,"Unit 16 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",5400
106552700134N,Furness Tile Supplies Ltd,"Unit 17, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",3650
106552700135N,Furness Tile Supplies Ltd,"Unit 18, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",3650
106552700139N,Searle Audio Ltd,"Units 23 24 & 25, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",14500
106552700211N,Larkin Engineering Services Limited,"Units 21 & 22 , Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",6300
106552700363N,Clear Channel Uk Ltd,"Adshel 1902 0085 Opposite, 36-42, Park Road, Barrow In Furness, Cumbria, LA14 4RH",300
106552709014N,Gilmour Fabrications Ltd,"Units 1,2 & R/O Unit 3, Meetings Ind Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",12750
106552709020N,Kimberley-Clark Ltd,"Barrow Mill, Park Road, Barrow In Furness, Cumbria, LA14 4QX",1110000
106552709030N,Lumier Ltd,"Lumier Ltd, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",7600
106552709050N,Robert Mcbride Ltd,"Robert Mcbride Ltd West Side Factory, Park Road, Barrow In Furness, Cumbria, LA14 4QS",262500
106552709083N,Kendall Bros Ltd,"Unit 10 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4TL",4450
106552709086N,Mike Hughes Kitchens And Bedrooms Limited,"Units 7 & 8, Meetings Industrial Estate, Park Road, Barrow-In-Furness, Cumbria, LA14 4TL",9800
106552709100N,Wax Lyrical Limited,"Colony Gift Corporation Ltd, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4BG",96000
106552709153N,"Sovereign Chemicals Ltd,","Sovereign Chemicals Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4QU",60500
106552709154N,Impra Wood Protection Limited,"Csi Wood Protection Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4QU",34000
106552709161N,"County Coach Builders Ltd,","County Coachbuilders Ltd (Top Car Park ), Park Road, Barrow In Furness, Cumbria, LA14 4EQ",11500
106552709163N,Deemon Dance Studios,"Deemon Dance Studio, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",16750
106552709171N,"Handmark Engineering Co Ltd,","Unit 4, Park Road, Barrow In Furness, Cumbria, LA14 4QS",50000
106552709173N,Enterprise Rent A Car,"Enterprise Rent A Car At County Coachbuilders Lmtd, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",2800
106552709175N,Wicks Services Ltd,"Unit 1 Powder Works, Park Road, Barrow In Furness, Cumbria, LA14 4QS",39500
106552709177N,Handmark Engineering Ltd,"Unit 2 Powder Works, Park Road, Barrow In Furness, Cumbria, LA14 4QS",30000
106552709178N,Wicks Services Ltd,"Unit 3 Powder Works, Park Road, Barrow In Furness, Cumbria, LA14 4QS",32000
106552709187N,Waites Pressings Ltd,"Waites Pressings Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",34750
106552709190N,"Booker Plc,","Booker Cash & Carry, Park Road, Barrow In Furness, Cumbria, LA14 4RB",78500
106552709212N,Wicks Lindel Ltd,"Wicks Lindel Ltd., Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4QR",64500
106552709213N,H. Wicks (Lindal) Limited,"Unit 1 Wicks Yard, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4QR",15000
106552709233N,Boulting Group Ltd,"Unit 3c, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",7800
106552709251N,Oil States Barrow A Division Of Oil States Industries (Uk) L,"Oil States Mcs Ltd, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4HB",31750
106552709265N,Speedier Scaffolding Ltd,"Kay Scaffolding Ltd, Sowerby Woods Business Park, Scarth Road, Barrow-In-Furness, Cumbria, LA14 4RF",8300
106552709271N,Freelance Mechanics Ltd,"Unit 3d,, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",7900
106552709278N,Larkin Engineering Services Limited,"Unit 3e, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",8400
106552709300N,Irvs Vw Restorations Ltd,"Cosy Seal Insulation Co Ltd, Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",5300
106552709310N,"Wolseley Uk Ltd,","Plumb Centre, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",20750
106552709360N,Mr R Armstrong T/A Pka Company,"Pka Company, Sowerby Wood Ind Est, Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",7500
106552709364N,Oil States Barrow A Division Of Oil States Industries (Uk) L,"Oil States Mcs Ltd (Compound), Scarth Road, Barrow In Furness, Cumbria, ",14500
106552709377N,J Duffy Ltd T/A P&W Confidential Business Services,"P & W Confidential., Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",16250
106552709386N,Gyrodata Ltd,"Gyrodata Drilling Automation Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4TL",47000
106552709390N,Joss Engineering Ltd,"Joss Engineering Ltd,, Sowerby Woods Industrial Estate, Scarth Road, Barrow In Furness, Cumbria, LA14 4QR",25000
106552709391N,Moduflow Fan Systems Ltd,"Moduflow,, Sowerby Woods Industrial Estate, Scarth Road, Barrow In Furness, Cumbria, LA14 4QR",8700
106552709414N,Steeles Removals,"Pearce Bentley Training, Sowerby Woods Business Park, Park Road, Barrow-In-Furness, Cumbria, LA14 4EQ",5700
106552709415N,Jacksons Timber Ltd,"Jacksons Timber Ltd, County Park Road, Barrow In Furness, Cumbria, LA14 4BQ",54000
106552709419N,Steeles Removals,"Steeles Removals, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",57000
106552709460N,Joss Engineering Ltd,"Units 3-5 Meetings Industrial Estate, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",15500
106552709593N,Jjc Properties Ltd,"J J C Ltd,, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",33750
107100102431N,Clear Channel Uk Ltd,"Adshell 1902 0082, Opp, 243/245, Abbey Road, Barrow In Furness, Cumbria, LA14 5JY",480
107100109355N,Abbey Rd Enterprises Ltd,"295-301, Abbey Road, Barrow In Furness, Cumbria, LA14 5LG",9100
107100109360N,West Mount Tennis & Bowling Club,"West Mount Lawn Tennis & Bowling, Abbey Road, Barrow In Furness, Cumbria, LA14 5LF",1750
107100109371N,Clear Channel Uk Ltd,"Adshell 1902 0013, Adj Lakeland Motor S, Abbey Road, Barrow In Furness, Cumbria, LA14 4HD",480
107100109372N,Euro Garages Limited,"Lakeland Shell, Abbey Road, Barrow In Furness, Cumbria, LA14 4HD",54500
107151209040N,Furness Cricket Club,"Furness Cricket Club, Oxford Street, Barrow In Furness, Cumbria, LA14 5PR",8500
107200100831N,Clear Channel Uk Ltd,"Adshell 1902 0012, Adj 83, Abbey Road, Barrow In Furness, Cumbria, LA14 5ES",480
107200101292N,Clear Channel Uk Ltd,"Adshell 1902 0034, Opp 129, Abbey Road, Barrow In Furness, Cumbria, LA14 5EY",480
107212200010N,Halo Housing Association,"1-1a, Cheltenham Street, Barrow In Furness, Cumbria, LA14 5HP",4900
107212200420N,The Family Bakery Ltd,"42a, Cheltenham Street, Barrow In Furness, Cumbria, LA14 5HW",2550
107238500013N,Coral Racing Ltd,"1-3, Lincoln Street, Barrow In Furness, Cumbria, LA14 5HS",9400
107239000275N,A Holden'S Ltd,"27, Longreins Road, Barrow In Furness, Cumbria, LA14 5AL",2425
107279401020N,Jcdecaux Uk Limited,"Adj Central Sawmills &, Opp 154 & 156, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650
107279401030N,Jcdecaux Uk Limited,"Opp 150 & 152, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",1850
107279402030N,Clear Channel Uk Ltd,"Adshell 1902 0003, Adj 60, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",300
107300101420N,Royal Mail Group Plc,"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650
107300102001N,Clear Channel Uk Ltd,"Adshell 1902 0014, Adj Arlington House, Abbey Road, Barrow In Furness, Cumbria, LA14 5LD",480
107300109810N,Greene King Pub Co.,"Strawberry Hotel, Abbey Road, Barrow In Furness, Cumbria, LA14 5LD",58750
107300109966N,Continental Landscapes Ltd,"Workshop Adj Council Store, Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",2150
107300109967N,Barrow Borough Council,"Council Store In Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",2150
107300109970N,Royal Mail Group Plc,"Post Office, 142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",46750
107352609000N,"26th Barrow Extn Scout Group,","17, Park Drive, Barrow In Furness, Cumbria, LA13 9BA",1250
107352609001N,Furness Academy,"Furness Academy, Park Drive, Barrow In Furness, Cumbria, LA13 9BB",540000
107379300140N,Hollingarth Ltd,"Hollingarth, Prospect Road, Barrow In Furness, Cumbria, LA13 9HZ",15750
107379300190N,Cumbria Partnership Nhs Foundation Trust,"2-6, Fairfield Lane, Barrow In Furness, Cumbria, LA13 9AH",13500
107379300250N,Cumbria Partnership Nhs Foundation Trust,"Fairfield Clinic, Fairfield Lane, Barrow In Furness, Cumbria, LA13 9AJ",27250
107427601951N,Clear Channel Uk Ltd,"Adshell 1902 0076, Opposite 195, Greengate Street, Barrow In Furness, Cumbria, LA13 9BT",300
107427609051N,Leisure And Tourism Commitee,"The Park Leisure Centre, Greengate Street, Barrow In Furness, Cumbria, LA13 9DT",262500
107427609052N,Clear Channel Uk Ltd,"Adshell 1902 0077, Outside Leisure Centre, Greengate Street, Barrow In Furness, Cumbria, LA13 9DT",300
107427609060N,Parkside Ggi Academy,"Parkside Ggi Academy, Greengate Street, Barrow In Furness, Cumbria, LA13 9BY",17250
107427609061N,Clear Channel Uk Ltd,"Adshel 1902 0092 Opp Leisure Centre, Greengate Street, Barrow In Furness, Cumbria, LA13 9DT",300
108100209304N,Abbots Vale Users Association,"Abbots Vale Community Centre, Abbots Vale, Barrow In Furness, Cumbria, LA13  9PA",6500
108110609020N,Cumbria County Council,"Abbotsmead Schools, Cambridge Street, Barrow In Furness, Cumbria, LA13 9RP",28750
108111409081N,Bw Power Boat Racing Club,"Barrow Powerboat Racing Club, Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2TB",2000
108111409082N,Furness Diving Club,"Furness Diving Club, Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2TB",690
108111409121N,Barrow Borough Council,"Ship Workers Caravans At Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA13 0DJ",11000
108111409200N,Dong Energy Power Uk Ltd.,"Land On The South Side Of Ramsden Dock, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2XA",72000
108124609163N,Foundry St Garage Ltd,"Repair Garage, Foundry Street, Barrow In Furness, Cumbria, LA14 2BB",4000
108243709010N,Lloyds Motor Services Barrow Ltd,"Lloyds Motor Services, Durham Street, Barrow In Furness, Cumbria, LA13 9SW",4850
108243809011N,Dsl Heating Ltd,"Dsl Heating,, Moorfield Street, Barrow In Furness, Cumbria, LA13 9RS",3250
108247409280N,Harries Motor Repairs Ltd,"The Workshop, Briggs Street, Barrow In Furness, Cumbria, LA12 2BE",1575
108356609013N,The Garage Inc. Ltd,"2, Raglan Street, Barrow In Furness, Cumbria, LA14 2AS",5400
108356609031N,Network Rail,"Nos 2,3 & 4 Archways, Raglan Street, Barrow In Furness, Cumbria, LA14 2AP",3250
108359009031N,Cumbrian Co-Op Society,"Barrow Co-Op Society, , Roose Road, Barrow In Furness, Cumbria, LA13 9RJ",27500
108359009032N,Cumbrian Co-Op Society,"Atm Site At, Barrow Co-Op Society Ltd, Roose Road, Barrow In Furness, Cumbria, LA13 9RJ",8300
108359009050N,Cumbria County Council,"Branch Library, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",9100
108359009150N,Roose Car Wash Ltd T/A Smart Safe Ltd,"S-Mart Convenience Store, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",11500
108361609716N,Pickering Scaffolding Limited,"Pickerings Scaffolding, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",21500
108361609719N,Barrow Borough Council,"Unit 2 At Horrocks And  Cross, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",10500
108361609732N,Barrow Borough Council,"Bbc Land Frm Weatherguard & Fbm, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",19750
108361609760N,Barrow Borough Council,"Gap Scaffolding Ltd, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",10250
108361609764N,Barrow Borough Council,"Compound 3, North West Electricity, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",2900
108361609765N,Barrow Borough Council,"United Utilities, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",16250
108361609767N,Biffa Waste Services Limited,"Biffa Waste Services Ltd, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",38000
108379402070N,Clear Channel Uk Ltd,"Adshell 1902 0010, Adj 228, Roose Road, Barrow In Furness, Cumbria, LA13 OEH",480
108408609010N,Barrow Amateur Boxing Club,"Barrow Amateur Boxing Club, Brook Street, Barrow In Furness, Cumbria, LA13 9SU",2950
109100109461N,Clear Channel Uk Ltd,"Adshell 1902 0083, Adj 369-371, Abbey Road, Barrow In Furness, Cumbria, LA13 9JS",480
109117200201N,Clear Channel Uk Ltd,"Adshell 1902 0047 Outside Bay Horse Adj 20,, Dalton Lane, Barrow In Furness, Cumbria, LA14 4LE",480
109117409020N,B C S Social Club,"B C S Social Club, Dane Avenue, Barrow In Furness, Cumbria, LA14 4JS",3750
109118508013N,Furness Rovers Foot. Club,"Former Barrow Afc Ground, Devonshire Road, Barrow In Furness, Cumbria, LA14 5UQ",1600
109118508014N,"Barrow Afc Supporters Club,","The Soccer Bar Barrow Football Supporters Club, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UQ",12250
109118509010N,Development Division,"Cemetery & Crematorium, Devonshire Road, Barrow In Furness, Cumbria, LA14 5PD",57500
109118509020N,Clear Channel Uk Ltd,"Adshel 1902 0086 Outside Cemetery Gates, Devonshire Road, Barrow In Furness, Cumbria, LA14 5PD",300
109118509030N,Clear Channel Uk Ltd,"Adshel 1902 0087 Opposite Cemetery Gates, Devonshire Road, Barrow In Furness, Cumbria, LA14 5PD",300
109118509060N,Victoria Academy,"Victoria Academy, Devonshire Road, Barrow In Furness, Cumbria, LA14 5NE",25250
109179300255N,Clear Channel Uk Ltd,"Adshell 1902 0046 Opp Dunmail Raise,, Dalton Lane, Barrow In Furness, Cumbria, LA14 4PL",480
109251201890N,Corporate Care Furness Ltd,"189a, Oxford Street, Barrow In Furness, Cumbria, LA14 5QF",2300
109251201895N,Clear Channel Uk Ltd,"Adshell 1902 0051 Opp 189,, Oxford Street, Barrow In Furness, Cumbria, LA14 5QF",300
109251209025N,Cumbria County Council,"Victoria Infant School, Oxford Street, Barrow In Furness, Cumbria, LA14 5QN",28500
109269809031N,Hoops Basketball Centre," , Hoops Basketball Centre, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QA",37000
109269809032N,Cumbria Partnership Nhs Foundation Trust,"Nhs Cumbria Hoops Basketball Ctr, R/O Thorncliffe School, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QP",5800
109269809050N,Mobile Broadband Ntwk. Ltd,"Mercury P C Thorncliffe School, Playing Fields, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QP",5900
109322409000N,Lakes Parade Stores Ltd,"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",7500
109322409010N,Tangeo Management Ltd T/A Grange Bakery,"2 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",3600
109322409020N,Leto Limited,"3 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",3600
109456800017N,Paul French Salon Ltd,"Paul French Salon 1,, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4LG",4750
109456809010N,Barrow Golf Club,"Barrow Golf Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",35000
109456809050N,Holker Old Boys' Club,"Holker Old Boys' Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",10250
109463709000N,Cumbria County Council,"Dane Ghyll Cty Primary School, Skelwith Drive, Barrow In Furness, Cumbria, LA14 4PG",23500
109463709010N,Hawcoat Community Centre Users Group,"Hawcoat Community Centre, Skelwith Drive, Barrow In Furness, Cumbria, LA14 4SA",4150
110100109722N,Chetwynde School Ltd,"Our Ladys Chetwynde School, Rating Lane, Barrow In Furness, Cumbria, LA13 0NZ",162000
110219250000N,"Risedale Retirement Home,","Abbey Meadow, Duchy Court, Barrow-In-Furness, Cumbria, LA13  OBF",15000
110223650280N,Mullberry Homes Ltd,"28, Farnham Close, Barrow-In-Furness, Cumbria, LA13 0GP",9300
